Openingstijden;Openingstijden;UUID
03-14 07:30;03-14 07:30;6f3e0cd325ed4915915d3c9a226e20be
03-14 08:00;03-14 08:00;6f3e0cd325ed4915915d3c9a226e20be
03-14 08:30;03-14 08:30;6f3e0cd325ed4915915d3c9a226e20be
03-14 09:00;03-14 09:00;6f3e0cd325ed4915915d3c9a226e20be
03-14 09:30;03-14 09:30;6f3e0cd325ed4915915d3c9a226e20be
03-14 10:00;03-14 10:00;6f3e0cd325ed4915915d3c9a226e20be
03-14 10:30;03-14 10:30;6f3e0cd325ed4915915d3c9a226e20be
03-14 11:00;03-14 11:00;6f3e0cd325ed4915915d3c9a226e20be
03-14 11:30;03-14 11:30;6f3e0cd325ed4915915d3c9a226e20be
03-14 12:00;03-14 12:00;6f3e0cd325ed4915915d3c9a226e20be
03-14 12:30;03-14 12:30;6f3e0cd325ed4915915d3c9a226e20be
03-14 13:00;03-14 13:00;6f3e0cd325ed4915915d3c9a226e20be
03-14 13:30;03-14 13:30;6f3e0cd325ed4915915d3c9a226e20be
03-14 14:00;03-14 14:00;6f3e0cd325ed4915915d3c9a226e20be
03-14 14:30;03-14 14:30;6f3e0cd325ed4915915d3c9a226e20be
03-14 15:00;03-14 15:00;6f3e0cd325ed4915915d3c9a226e20be
03-14 15:30;03-14 15:30;6f3e0cd325ed4915915d3c9a226e20be
03-14 16:00;03-14 16:00;6f3e0cd325ed4915915d3c9a226e20be
03-14 16:30;03-14 16:30;6f3e0cd325ed4915915d3c9a226e20be
03-14 17:00;03-14 17:00;6f3e0cd325ed4915915d3c9a226e20be
03-14 17:30;03-14 17:30;6f3e0cd325ed4915915d3c9a226e20be
03-14 18:00;03-14 18:00;6f3e0cd325ed4915915d3c9a226e20be
03-14 18:30;03-14 18:30;6f3e0cd325ed4915915d3c9a226e20be
03-14 19:00;03-14 19:00;6f3e0cd325ed4915915d3c9a226e20be
03-14 19:30;03-14 19:30;6f3e0cd325ed4915915d3c9a226e20be
03-14 20:00;03-14 20:00;6f3e0cd325ed4915915d3c9a226e20be
03-14 20:30;03-14 20:30;6f3e0cd325ed4915915d3c9a226e20be
03-14 21:00;03-14 21:00;6f3e0cd325ed4915915d3c9a226e20be
03-14 07:30;03-14 07:30;35abba36eca7485c89e82b2917633ae7
03-14 08:00;03-14 08:00;35abba36eca7485c89e82b2917633ae7
03-14 08:30;03-14 08:30;35abba36eca7485c89e82b2917633ae7
03-14 09:00;03-14 09:00;35abba36eca7485c89e82b2917633ae7
