Openingstijden;Openingstijden;UUID
03-14 07:30;03-14 07:30;94356d22e87d4f54aa1de54b21482af5
03-14 08:00;03-14 08:00;94356d22e87d4f54aa1de54b21482af5
03-14 08:30;03-14 08:30;94356d22e87d4f54aa1de54b21482af5
03-14 09:00;03-14 09:00;94356d22e87d4f54aa1de54b21482af5
03-14 09:30;03-14 09:30;94356d22e87d4f54aa1de54b21482af5
03-14 10:00;03-14 10:00;94356d22e87d4f54aa1de54b21482af5
03-14 10:30;03-14 10:30;94356d22e87d4f54aa1de54b21482af5
03-14 11:00;03-14 11:00;94356d22e87d4f54aa1de54b21482af5
03-14 11:30;03-14 11:30;94356d22e87d4f54aa1de54b21482af5
03-14 12:00;03-14 12:00;94356d22e87d4f54aa1de54b21482af5
03-14 12:30;03-14 12:30;94356d22e87d4f54aa1de54b21482af5
03-14 13:00;03-14 13:00;94356d22e87d4f54aa1de54b21482af5
03-14 13:30;03-14 13:30;94356d22e87d4f54aa1de54b21482af5
03-14 14:00;03-14 14:00;94356d22e87d4f54aa1de54b21482af5
03-14 14:30;03-14 14:30;94356d22e87d4f54aa1de54b21482af5
03-14 15:00;03-14 15:00;94356d22e87d4f54aa1de54b21482af5
03-14 15:30;03-14 15:30;94356d22e87d4f54aa1de54b21482af5
03-14 16:00;03-14 16:00;94356d22e87d4f54aa1de54b21482af5
03-14 16:30;03-14 16:30;94356d22e87d4f54aa1de54b21482af5
03-14 17:00;03-14 17:00;94356d22e87d4f54aa1de54b21482af5
03-14 17:30;03-14 17:30;94356d22e87d4f54aa1de54b21482af5
03-14 18:00;03-14 18:00;94356d22e87d4f54aa1de54b21482af5
03-14 18:30;03-14 18:30;94356d22e87d4f54aa1de54b21482af5
03-14 19:00;03-14 19:00;94356d22e87d4f54aa1de54b21482af5
03-14 19:30;03-14 19:30;94356d22e87d4f54aa1de54b21482af5
03-14 20:00;03-14 20:00;94356d22e87d4f54aa1de54b21482af5
03-14 20:30;03-14 20:30;94356d22e87d4f54aa1de54b21482af5
03-14 21:00;03-14 21:00;94356d22e87d4f54aa1de54b21482af5
03-15 07:30;03-15 07:30;94356d22e87d4f54aa1de54b21482af5
03-15 08:00;03-15 08:00;94356d22e87d4f54aa1de54b21482af5
03-15 08:30;03-15 08:30;94356d22e87d4f54aa1de54b21482af5
03-15 09:00;03-15 09:00;94356d22e87d4f54aa1de54b21482af5
03-15 09:30;03-15 09:30;94356d22e87d4f54aa1de54b21482af5
03-15 10:00;03-15 10:00;94356d22e87d4f54aa1de54b21482af5
03-15 10:30;03-15 10:30;94356d22e87d4f54aa1de54b21482af5
03-15 11:00;03-15 11:00;94356d22e87d4f54aa1de54b21482af5
03-15 11:30;03-15 11:30;94356d22e87d4f54aa1de54b21482af5
03-15 12:00;03-15 12:00;94356d22e87d4f54aa1de54b21482af5
03-15 12:30;03-15 12:30;94356d22e87d4f54aa1de54b21482af5
03-15 13:00;03-15 13:00;94356d22e87d4f54aa1de54b21482af5
03-15 13:30;03-15 13:30;94356d22e87d4f54aa1de54b21482af5
03-15 14:00;03-15 14:00;94356d22e87d4f54aa1de54b21482af5
03-15 14:30;03-15 14:30;94356d22e87d4f54aa1de54b21482af5
03-15 15:00;03-15 15:00;94356d22e87d4f54aa1de54b21482af5
03-15 15:30;03-15 15:30;94356d22e87d4f54aa1de54b21482af5
03-15 16:00;03-15 16:00;94356d22e87d4f54aa1de54b21482af5
03-15 16:30;03-15 16:30;94356d22e87d4f54aa1de54b21482af5
03-15 17:00;03-15 17:00;94356d22e87d4f54aa1de54b21482af5
03-15 17:30;03-15 17:30;94356d22e87d4f54aa1de54b21482af5
03-15 18:00;03-15 18:00;94356d22e87d4f54aa1de54b21482af5
03-15 18:30;03-15 18:30;94356d22e87d4f54aa1de54b21482af5
03-15 19:00;03-15 19:00;94356d22e87d4f54aa1de54b21482af5
03-15 19:30;03-15 19:30;94356d22e87d4f54aa1de54b21482af5
