Verkiezing;;Gemeenteraad Midden-Groningen 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Midden-Groningen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1952;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Huis van Cultuur en Bestuur;De Reensche Compagnie;Baptistenkerk Beukemastraat;Wijkcentrum Spokie;Dorpshuis Westerbroek;Multi Functioneel Centrum Foxhol;Scoutinggebouw De Trappers;Voormalige J. Albrondaschool;Wijkcentrum De Kern;Wijkcentrum 't Spinneweb;Zalencentrum Brandpunt;Vredekerk;Wijkcentrum Woldwijck;Brandweermuseum Hoogezand-Sappemeer;BWRI Molenraai;De Houtstek;MFC Schildwolde;MFC Siddeburen;MFC Velemansdroom;Dorpshuis De Pompel;De Borgstee;Dorpshuis Mainschoar;Ruitenvelder;Sportcafé Kuper;'t Hof van Scharmer;De Graankorrel;De Menterne;De Zijlen, locatie de Gilde;MFC de Noordsuythoeve;Gebouw Muziekvereniging;De Broeckhof;MFA Meeden;Huis van Cultuur en Bestuur;Huis van Cultuur en Bestuur;Wijkcentrum 't Spinneweb;Wijkcentrum 't Spinneweb;De Houtstek;De Houtstek;De Menterne;De Menterne
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40
Postcode;;;;;9603 AE;9602 PJ;9601 BN;9602 AE;9608 PK;9607 RJ;9606 PB;9605 PL;9601 XD;9611 EE;9611 AA;9602 VT;9602 KD;9611 JJ;9611 TH;9621 AC;9626 AX;9628 CG;9939 PC;9625 PJ;9617 BN;9615 AB;9619 PL;9628 TK;9616 TE;9617 AB;9649 BX;9649 DA;9635 AZ;9636 CL;9636 BS;9651 AG;9603 AE;9603 AE;9611 EE;9611 EE;9621 AC;9621 AC;9649 BX;9649 BX
;opgeroepenen;;;49844;2731;2546;2582;2627;859;970;1404;774;2006;1566;1429;2175;2760;1951;1936;1580;1430;1581;377;490;1264;1112;891;1392;754;824;2094;1922;1553;1755;1077;1432;0;0;0;0;0;0;0;0
;geldige stempas;;;20390;1001;646;793;727;392;317;695;320;630;510;403;422;914;606;579;598;599;787;176;231;623;513;399;342;311;485;682;429;602;616;703;693;518;756;186;296;188;250;193;259
;geldig volmachtbewijs;;;2679;213;64;86;74;48;48;91;46;59;62;41;75;121;75;82;67;79;130;27;35;74;80;57;50;41;78;96;53;90;67;83;88;57;91;19;32;27;22;25;26
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;23069;1214;710;879;801;440;365;786;366;689;572;444;497;1035;681;661;665;678;917;203;266;697;593;456;392;352;563;778;482;692;683;786;781;575;847;205;328;215;272;218;285
;geldige stembiljetten;;;22932;1208;705;875;805;434;364;781;365;681;568;444;491;1025;678;660;662;677;911;200;263;693;591;454;385;352;560;775;480;681;678;781;772;574;841;205;326;215;272;218;282
;blanco stembiljetten;;;81;6;1;3;2;3;1;4;1;3;2;0;4;5;1;3;1;1;5;2;2;3;2;0;4;0;3;0;0;6;1;3;5;0;1;0;0;0;0;0;3
;ongeldige stembiljetten;;;56;0;2;0;1;3;0;1;0;5;2;0;2;4;1;1;2;0;1;1;1;0;0;2;2;0;0;3;2;5;4;1;4;1;3;0;2;0;0;0;0
;aangetroffen stembiljetten;;;23069;1214;708;878;808;440;365;786;366;689;572;444;497;1034;680;664;665;678;917;203;266;696;593;456;391;352;563;778;482;692;683;785;781;575;845;205;328;215;272;218;285
;meer stembiljetten dan toegelaten kiezers;;;10;0;0;0;7;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;10;0;2;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;8;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
