Verkiezing;;Gemeenteraad Oldambt 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Oldambt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1895;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;De Boschpoort;Leger des Heils;Botanica-Hof;Kindcentrum Beukenlaan;SOB kazerne;Speeltuinvereniging Bovenburen;De Renselheerdt;Tennishal Hoorntjesweg;Het Parkholt;Campus Winschoten 1;Campus Winschoten 2;Brasserie Slag bij Heiligerlee;Dorpshuis De Tille;Eextahal Scheemda;Kantine SC Scheemda;Dependance gemeentehuis;Kantine vv Oldambtster Boys;Dorpshuis 't Trefpunt;De Schakel;Brede school De Meerkant;Party Centrum Finnewold;MFC De Hardenberg;OBS De Uilenburcht;Kantine Lubbert Bruins Sportpark;Akkerschans;Heerlijke Streken;Leger des Heils 14-03-2022;Dorpshuis De Tille 14-03-2022;Dorpshuis 't Trefpunt  14-03-2022;Party Centrum Finnewold 14-03-2022;Leger des Heils 15-03-2022;Dependance gemeentehuis 15-03-2022;Brede school De Meerkant 15-03-2022;Akkerschans 15-03-2022
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;30;31;32;33;40;41;42;43
Postcode;;;;;9671 GB;9671 CC;9671 KZ;9674 CC;9675 HJ;9675 JW;9675 AB;9675 NB;9675 JA;9673 GS;9673 GS;9677 PB;9678 PR;9679 HA;9679 KM;9679 BR;9943 PA;9944 AG;9681 AL;9682 PB;9684 CL;9684 AM;9686 NG;9688 RE;9693 BS;9685 AW;9671 CC;9678 PR;9944 AG;9684 CL;9671 CC;9679 BR;9682 PB;9693 BS
;opgeroepenen;;;32096;1579;1325;1457;1061;1408;1447;1125;1134;1319;1190;1772;1247;1207;1641;1261;1212;386;1139;1799;1053;985;996;1688;564;1174;927;0;0;0;0;0;0;0;0
;geldige stempas;;;13195;643;359;595;413;610;455;436;270;644;415;435;529;497;644;258;609;181;393;725;402;396;309;577;213;349;364;264;95;58;90;434;327;111;95
;geldig volmachtbewijs;;;1578;57;32;77;46;72;63;40;38;84;41;37;48;78;75;42;68;17;43;88;52;80;44;73;35;47;36;39;8;2;11;42;41;13;9
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;14773;700;391;672;459;682;518;476;308;728;456;472;577;575;719;300;677;198;436;813;454;476;353;650;248;396;400;303;103;60;101;476;368;124;104
;geldige stembiljetten;;;14677;694;388;664;453;680;515;475;306;728;452;469;572;573;711;298;673;193;432;811;453;475;352;640;248;394;396;303;102;60;101;475;365;123;103
;blanco stembiljetten;;;54;1;4;2;2;2;2;0;1;0;3;2;5;2;2;1;2;2;3;2;1;0;0;8;0;1;3;0;0;0;0;2;0;0;1
;ongeldige stembiljetten;;;36;5;0;0;4;0;1;1;1;0;1;1;0;0;6;1;2;3;1;0;0;1;0;1;0;1;1;0;1;0;0;0;3;1;0
