Verkiezing;;Gemeenteraad Stadskanaal 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Stadskanaal;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0037;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Sportzaal Margrietlaan;De Rank Oosterkadekerk;Gossen dans- en partycentrum;Sportzaal Aziëlaan;De Lichtbron;De Spont;Sportzaal Mr. Neuteboomstraat;Tennisvereniging Stadskanaal;MFA Noordstee;Buurthuis 't Lange End;Parochiehuis;Sporthal de Veenhorst;Sportzaal Fr. Nanningstraat;Tennisclub MTC;Chr Gereformeerde Kerk  Mussel;d'Ekkelkaamp;Brinkhof Dorpsstraat 5;De Drijscheer;De Spont;De Spont;Sporthal de Veenhorst;Sporthal de Veenhorst;Brinkhof Dorpsstraat 5;Brinkhof Dorpsstraat 5
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25
Postcode;;;;;9501 SZ;9503 KA;9503 HN;9501 CR;9501 EB;9501 VJ;9501 DB;9502 CR;9502 WB;9501 HN;9501 NP;9581 JD;9581 CZ;9581 BL;9581 EJ;9584 AR;9591 AH;9591 AR;9661 TV;9501 DB;9501 DB;9581 CZ;9581 CZ;9591 AR;9591 AR
;opgeroepenen;;;26068;1270;1404;1362;1080;1216;1462;1877;1351;1242;1429;1953;1836;1375;1536;1107;1217;1270;1118;963;0;0;0;0;0;0
;geldige stempas;;;9736;539;436;294;256;451;544;442;583;383;585;480;374;316;349;291;586;554;493;351;362;622;69;162;76;138
;geldig volmachtbewijs;;;1185;51;50;33;20;61;56;55;53;53;80;52;66;42;43;32;92;53;64;50;41;77;13;30;5;13
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;10921;590;486;327;276;512;600;497;636;436;665;532;440;358;392;323;678;607;557;401;403;699;82;192;81;151
;geldige stembiljetten;;;10868;584;485;324;276;506;600;493;631;434;663;532;439;359;391;323;670;605;555;400;397;698;82;191;81;149
;blanco stembiljetten;;;29;3;0;2;0;4;0;1;3;1;2;0;0;0;0;0;5;3;1;1;1;1;0;0;0;1
;ongeldige stembiljetten;;;27;2;1;1;0;2;0;4;2;1;0;0;1;0;1;0;4;0;1;0;4;1;0;1;0;1
;aangetroffen stembiljetten;;;10924;589;486;327;276;512;600;498;636;436;665;532;440;359;392;323;679;608;557;401;402;700;82;192;81;151
;meer stembiljetten dan toegelaten kiezers;;;5;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
;geen verklaring;;;4;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;ChristenUnie;;;2108;77;57;69;43;88;159;48;118;55;72;46;54;43;37;27;383;210;209;30;53;111;10;26;31;52
;;1;van Beek, A.H.;917;29;23;32;20;43;65;24;54;17;20;15;30;29;24;16;232;49;59;7;26;54;9;17;6;17
;;2;Sterenborg-Kooij, I.J.;381;14;8;15;9;12;19;3;18;10;19;2;11;0;6;2;37;77;56;7;7;18;1;3;10;17
;;3;van der Veen, J.;84;6;5;5;0;5;6;5;8;3;2;4;1;0;1;1;13;3;1;0;5;9;0;0;1;0
;;4;van der Heide, F.;221;7;1;2;0;3;5;3;3;0;1;3;5;0;1;2;29;63;63;7;0;5;0;0;8;10
;;5;Tamsma, A.;7;0;0;1;1;0;2;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0
;;6;de Vries-Doornbos, M.T.;53;2;0;0;0;4;2;0;1;0;1;5;2;13;1;4;3;6;4;2;0;1;0;2;0;0
;;7;van der Heide-van Asselt, G.;20;1;0;0;0;0;0;1;0;0;2;0;0;0;0;0;1;3;7;1;1;1;0;0;0;2
;;8;Elzen, R.;21;0;0;1;0;0;2;0;5;0;1;0;0;0;0;0;0;1;3;1;0;2;0;1;2;2
;;9;Schaap, E.;61;4;3;2;0;3;16;0;1;3;2;6;1;0;0;0;2;4;5;1;3;4;0;0;0;1
;;10;Moes, T.;53;0;3;3;1;3;7;0;1;0;6;3;1;0;0;0;12;0;1;2;1;5;0;0;3;1
;;11;Stuursma-Boersma, A.;44;0;0;3;3;6;11;1;2;7;8;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;12;Dijkstra, O.J.;15;0;0;0;1;1;2;1;0;0;0;0;1;0;2;0;7;0;0;0;0;0;0;0;0;0
;;13;Hageman, B.G.;19;2;2;1;3;0;0;3;0;0;0;0;0;0;0;0;3;0;0;0;3;0;0;2;0;0
;;14;Joosten-Wever, R.B.;27;0;1;0;3;0;1;1;1;2;0;0;1;0;0;0;3;3;9;1;0;0;0;0;1;0
;;15;Klein, J.;9;2;2;1;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Fennema-Veenhuizen, I.;19;1;0;0;0;1;0;0;2;0;0;0;1;0;1;0;13;0;0;0;0;0;0;0;0;0
;;17;Wijlhuizen, P.H.;11;0;0;0;0;0;2;0;1;5;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
;;18;Meems-Buist, A.;21;0;2;0;0;0;0;1;0;0;0;1;0;0;0;0;16;0;0;0;0;1;0;0;0;0
;;19;Pijlman, J.;8;0;2;0;1;0;2;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;20;Schuurman-Marsman, R.H.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0
;;21;Kloeze, H.;12;1;3;0;0;1;1;0;2;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0
;;22;Douwstra, T.;5;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;23;Heeling, A.B.;31;4;1;0;0;3;5;1;9;2;2;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0
