Verkiezing;;Gemeenteraad Leeuwarden 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Leeuwarden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0080;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Obe;Zalen Schaaf;Stadsschouwburg De Harmonie;Wijkgebouw De Toekomst;Pelikaankerk;M.f.c. Westenkwartier;NHL Stenden Hogeschool;Stembureau Tylkedam;Wijkcentrum Bilgaard;Adventkerk;M.f.c. Westeinde;Piter Jelles !mpulse;Cultureel Centrum Mahatma Gandhi;De Fontein;Autobedrijf Haaima Hylkema;Autobedrijf Haaima Hylkema;MG Rehoboth;Wijkgebouw Cambuursterhoek;Emmastate;Wijkgebouw Insulinde;Wijkcentrum Schieringen;M.f.c. Camminghastins;Gymlokaal IKC Trianova;De Schakel;Gymlokaal Algraschool;Gymlokaal De Wielen;Gymlokaal Menno van Coehoorn;Buurthuis It Skiphûs;Wijkcentrum 't Knooppunt;Gymlokaal Drachtsterweg;Husmaherne;Hollanderhuuske;Wijkgebouw Gerard Dou;Cultuurcentrum Leeuwarden;Wijkcentrum Nijlân;Piter Jelles YnSicht;Leeuwarder Lyceum;Leeuwarder Lyceum;Wijkcentrum Froskenburch;Wijkcentrum Froskenburch;Lekkum Dorpshuis De Weeme;Hempens Dorpshuis de Bining;Goutum Dorpshuis Ien en Mien;Wirdum Dorpshuis de Golle;Wytgaard Parochiezaal RK Kerk;M.f.c. Màrkant;Oranje Hotel;Provinciehuis;MG Rehoboth;M.f.c. Camminghastins;Het Buiten-land Pitch & Putt;Goutum Dorpshuis Ien en Mien;Parkkerk;Gymlokaal Wollegaastdam;NHL Stenden Hogeschool;Gymlokaal Telemannstraat;Hotel Van der Valk;Bethelkerk;Grou Sporthal de Twine;Grou Sint Piterkerk;Grou Het Theehuis;Warten Gereformeerde kerk;Wergea Us Doarpshûs;Reduzum Gymlokaal Trije Doarpen Skoalle;Jirnsum M.f.c. It Kattehûs;Stiens It Span;Stiens M.f.c. de Skalm;Koarnjum De Bining;Hijum Dorpshuis de Kampioen;Britsum Gereformeerde kerk;Stiens De Hege Stins;Stiens Sportcentrum It Gryn;Stiens Sportcentrum It Gryn;Alde Leie Us Gebou;Mantgum M.f.c. De Wjukken;Baard De Greidefûgel;Weidum Dorpshuis;Stadsschouwburg De Harmonie;NHL Stenden Hogeschool;M.f.c. Westeinde;Emmastate;M.f.c. Camminghastins;Hollanderhuuske;Wijkcentrum Froskenburch;Hempens Dorpshuis de Bining;Goutum Dorpshuis Ien en Mien;Provinciehuis;Grou Het Theehuis;Wergea Us Doarpshûs;Stiens It Span;Mantgum M.f.c. De Wjukken;Stadsschouwburg De Harmonie;NHL Stenden Hogeschool;M.f.c. Westeinde;Emmastate;M.f.c. Camminghastins;Hollanderhuuske;Wijkcentrum Froskenburch;Hempens Dorpshuis de Bining;Goutum Dorpshuis Ien en Mien;Provinciehuis;Grou Het Theehuis;Wergea Us Doarpshûs;Stiens It Span;Mantgum M.f.c. De Wjukken
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;57;58;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;76;77;78;79;80;1001;1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1012;1013;1014;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Postcode;;;;;8911 DP;8911 GJ;8911 BP;8913 GL;8916 AE;8915 CD;8917 DD;8918 LW;8918 HV;8918 AA;8915 DZ;8915 HA;8922 AC;8922 CP;8923 EL;8923 EL;8921 HA;8921 TL;8921 AG;8924 AS;8924 EJ;8925 CK;8926 NA;8925 AZ;8925 AG;8925 GZ;8921 BJ;8937 AP;8933 GS;8934 BV;8934 BL;8932 ET;8932 JG;8932 CT;8931 CX;8931 EG;8935 AB;8935 AB;8935 SC;8935 SC;9081 AS;9086 CH;9084 BB;9088 AP;9089 BG;8939 CC;8911 AG;8911 KZ;8921 HA;8925 CK;8939 DA;9084 BB;8932 DD;8918 GE;8917 DD;8915 CC;8941 BR;8934 BK;9001 LB;9001 AA;9001 BG;9003 MG;9005 PL;9008 TB;9011 VJ;9051 BC;9051 BR;9056 PW;9054 KK;9055 MG;9051 ER;9051 LP;9051 LP;9071 XG;9022 BD;8834 XM;9024 EL;8911 BP;8917 DD;8915 DZ;8921 AG;8925 CK;8932 ET;8935 SC;9086 CH;9084 BB;8911 KZ;9001 BG;9005 PL;9051 BC;9022 BD;8911 BP;8917 DD;8915 DZ;8921 AG;8925 CK;8932 ET;8935 SC;9086 CH;9084 BB;8911 KZ;9001 BG;9005 PL;9051 BC;9022 BD
;opgeroepenen;;;101870;1484;1643;1625;1774;1738;1495;1358;1418;1270;1519;1507;1530;1530;1495;1571;1844;1290;1243;1526;1289;1536;1362;1487;1408;1429;1409;1386;1393;1641;1593;1026;1544;1380;1502;1603;1608;1335;1629;1313;1416;540;1545;1439;912;497;1246;1227;1717;1334;1417;1485;1448;1232;1149;1608;1041;1780;1127;1484;1738;1450;755;1497;1023;1082;1249;1249;705;455;781;1243;942;1461;210;1128;631;894;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geldige stempas;;;47226;511;526;840;1093;1019;451;687;340;678;510;850;268;380;548;311;620;404;476;479;349;422;493;596;629;529;909;359;192;618;267;462;543;720;420;662;579;564;525;515;506;327;581;681;526;305;653;416;820;373;471;716;667;567;221;455;303;755;447;906;540;570;372;676;535;503;432;677;360;200;458;693;534;488;84;516;375;469;305;265;213;140;263;211;226;149;231;187;210;80;185;88;453;389;334;215;447;222;266;175;308;290;304;110;299;139
;geldig volmachtbewijs;;;4766;47;33;73;124;98;38;84;26;73;63;87;42;27;32;25;80;33;44;27;29;35;60;63;57;53;99;36;16;59;21;52;38;58;28;40;41;62;56;54;49;32;67;91;67;37;78;27;68;31;35;76;101;54;25;45;28;116;41;110;41;67;49;77;75;49;47;73;48;19;47;66;58;55;11;61;36;61;29;21;21;8;26;18;27;16;16;11;14;8;18;15;30;50;28;15;36;25;24;20;32;33;24;17;30;23
;geldige kiezerspas;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;51993;558;559;913;1217;1117;489;771;366;751;573;937;310;407;580;336;700;437;520;506;378;457;553;659;686;582;1008;395;208;677;288;514;581;778;448;702;620;626;581;569;555;359;648;772;593;342;731;443;888;404;506;793;768;621;246;500;331;871;488;1016;581;637;421;753;610;552;479;750;408;219;505;759;592;543;95;577;411;530;334;286;234;148;289;229;253;165;247;198;224;88;203;103;483;439;362;230;483;247;290;195;340;323;328;127;329;162
;geldige stembiljetten;;;51723;551;556;910;1217;1111;487;766;365;744;570;934;310;402;579;333;700;432;518;500;372;451;547;654;683;581;1005;391;205;672;287;513;577;774;439;700;613;625;579;569;556;356;645;770;591;341;728;439;880;403;503;788;768;617;245;497;329;864;484;1012;578;635;417;747;607;552;476;747;406;219;502;752;592;542;94;572;408;529;332;285;234;148;286;228;252;165;246;196;224;88;201;103;477;439;362;228;481;247;289;195;340;322;326;125;329;162
;blanco stembiljetten;;;165;5;2;4;0;4;1;2;0;3;0;1;0;2;1;0;0;4;2;4;4;5;4;5;3;1;1;4;2;3;1;1;2;1;7;0;5;0;0;0;0;3;1;1;0;1;1;4;4;2;3;4;0;2;0;2;1;5;4;4;3;2;0;1;0;0;3;2;2;0;2;5;0;0;0;2;2;1;0;0;0;0;1;0;1;0;0;2;0;0;2;0;1;0;0;1;1;0;1;0;0;1;1;2;0;0
;ongeldige stembiljetten;;;91;2;1;0;0;2;1;2;1;4;3;2;0;3;0;3;0;1;0;2;2;1;2;0;0;0;2;0;1;2;0;0;2;3;2;2;1;1;2;0;0;0;1;1;2;0;2;0;2;0;0;1;0;2;0;2;1;0;0;0;0;0;2;4;2;0;0;1;0;0;1;1;0;1;1;3;1;0;2;1;0;0;2;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0
