Verkiezing;;Gemeenteraad Súdwest-Fryslân 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Súdwest-Fryslân;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1900;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Waltaplein;Doarpshûs It Nije Formidden;ROC Friese Poort (achteringang);Ut Wykje;Wijkgebouw De Eekmolen;VBG De Bron Bureau I;"PKN Oosterkerk (ingang ""De Schutse"")";Gymzaal vm Sperkhemschool;VBG De Bron Bureau II;Gymzaal It Rak;Brede School Duinterpen I  (sporthal);Wijkgebouw De Schuttersheuvel Bureau I;Wijkgebouw De Spil;"Wijkgebouw ""De Watertoren""";'t Convenant;Wijkgebouw De Schuttersheuvel Bureau II;Brede School Duinterpen II (sporthal);"Café Restaurant ""De Kajuit""";Vergaderzaal achter het Witte Kerkje;Wijkgebouw de Zwetser (ingang via parkeerterrein);Wijkgebouw It Roefke;Museum en Werkplaats Houtstad-IJlst;De Eehof;MFC De Driuwpôlle;MFC It Heechhûs;MFC De Mande;MFC It Joo;Dorpshuis Scharnegoutum Bureau I;MFC It Harspit;Dorpshuis Oan it Far;De Freonskip;Dorpshuis It Himsterhûs;Dorpshuis Us Doarpshûs;Camping Mounewetter;Dorpshuis De Nije Bân;Herberg de Gekroonde Leeuw;MFC Piers' Stee;"Kerkelijk Centrum ""Het Anker""";Van Doniakerk;Dorpshuis It Doniahûs;Dorpshuis De Fûke;Dorpshuis It Waltahûs;Dorpshuis 't Honk;Johannes de Doperkerk;Dorpshuis De Nije Haven;"Dorpshuis ""De Utwyk""";Dorpshuis It String;Oer de Toer Bureau I;Kultuerhús Klameare;Dorpshuis It Swaeigat;Gemeenschapscentrum De Foeke;Doarpskultuerhûs De Spylder;Dorpshuis De Klink Bureau I;'t Swannenêst (De Doarpskeamer);MFC De Kaap;"Dorpshuis ""de Begine""";Dorpshuis De Klink Bureau II;Martinikerk Bureau I;Sporthal De Middelzee Bureau I;Sporthal De Middelzee Bureau II;Martinikerk Bureau II;Sporthal De Middelzee Bureau III;Centrum Gasthuiskerk;Doarpshûs De Trijesprong;Sporthal It Mingeltsje;Brede School Duinterpen III (sporthal);Oer de Toer Bureau II;café restaurant It Reade Hynder;"Partycentrum “It Dielshûs""";MFC De Tysker;Verenigingsgebouw “De Skoalleseize”;Dorpshuis Scharnegoutum Bureau II;Dorpshuis De Wier;Rondvaartboot Toerist VI;Waltaplein;Wijkgebouw De Schuttersheuvel Bureau I;MFC It Heechhûs;Camping Mounewetter;Kultuerhús Klameare;Dorpshuis De Klink Bureau I;Centrum Gasthuiskerk;"Partycentrum “It Dielshûs""";Waltaplein;Wijkgebouw De Schuttersheuvel Bureau I;MFC It Heechhûs;Camping Mounewetter;Kultuerhús Klameare;Dorpshuis De Klink Bureau I;Centrum Gasthuiskerk;"Partycentrum “It Dielshûs"""
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;69;70;71;72;73;74;75;76;101;112;125;135;150;154;164;171;201;212;225;235;250;254;264;271
Postcode;;;;;8601 CR;8633 JA;8602 JX;8607 BG;8606 EJ;8604 BH;8603 CJ;8606 CC;8604 BH;8605 CR;8607 GM;8602 TM;8608 WD;8608 CX;8602 XW;8602 TM;8607 GM;8605 CP;8601 GP;8603 BP;8605 AV;8651 NE;8651 EH;8551 NW;8621 CT;8771 RS;8614 JK;8629 RL;8625 HE;8622 XV;8615 LL;8618 NK;8611 JP;8748 DT;8749 GV;8822 VB;8821 LC;8754 CX;8754 CZ;8742 KR;8757 JW;8765 LJ;8759 LE;8763 MK;8823 SP;8746 NH;8751 TH;8711 CL;8711 CL;8724 LH;8713 JN;8721 GM;8723 CW;8722 HR;8715 JC;8584 VC;8723 CW;8701 HG;8701 LV;8701 LV;8701 HG;8701 LV;8701 BL;9012 DH;8647 SG;8607 GM;8711 CL;8731 BB;8731 BK;9021 CE;8734 GS;8629 RL;8626 GA;;8601 CR;8602 TM;8621 CT;8748 DT;8711 CL;8723 CW;8701 BL;8731 BK;8601 CR;8602 TM;8621 CT;8748 DT;8711 CL;8723 CW;8701 BL;8731 BK
;opgeroepenen;;;72350;1148;691;1078;1216;1100;1434;1317;1214;1231;954;1127;1052;1406;2176;1075;1379;1247;1492;727;1363;1114;1150;1275;1377;1801;841;620;862;1234;745;632;835;228;1428;489;819;448;1502;1521;413;391;424;430;436;275;594;172;1327;1189;263;684;628;1176;281;798;469;976;1348;1458;1438;1552;1027;1233;725;1026;1279;1101;1036;1145;874;1309;1030;495;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geldige stempas;;;36004;553;421;447;291;443;685;584;389;544;318;549;411;637;556;348;402;506;729;399;818;524;670;666;727;750;465;362;621;688;392;379;366;150;488;250;400;214;840;575;190;186;227;244;205;156;274;91;403;727;154;368;343;353;143;416;254;408;457;530;551;389;589;654;402;540;529;273;411;554;390;594;265;243;137;288;271;110;127;210;138;280;108;401;403;144;160;325;190;411;231
;geldig volmachtbewijs;;;4223;42;40;61;42;50;65;50;32;53;27;76;41;68;52;40;36;63;91;34;99;33;92;95;98;87;47;43;83;69;53;46;48;24;51;27;68;31;110;55;30;29;24;33;39;16;37;16;57;97;32;44;37;64;22;48;40;49;46;63;69;49;68;64;37;51;70;25;44;64;49;86;40;36;11;35;41;4;5;17;9;30;7;51;57;19;23;34;21;42;20
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;40227;595;461;508;333;493;750;634;421;597;345;625;452;705;608;388;438;569;820;433;917;557;762;761;825;837;512;405;704;757;445;425;414;174;539;277;468;245;950;630;220;215;251;277;244;172;311;107;460;824;186;412;380;417;165;464;294;457;503;593;620;438;657;718;439;591;599;298;455;618;439;680;305;279;148;323;312;114;132;227;147;310;115;452;460;163;183;359;211;453;251
;geldige stembiljetten;;;40078;594;460;507;329;490;746;633;418;592;345;622;447;703;601;383;435;567;820;423;916;557;760;760;825;837;511;405;702;756;443;425;411;174;534;275;466;245;950;626;220;213;250;277;244;172;311;107;456;822;186;410;379;416;165;463;290;457;503;586;618;437;657;714;438;588;598;296;453;614;437;680;302;279;148;320;312;114;132;226;147;309;115;452;457;163;183;359;210;449;251
;blanco stembiljetten;;;98;1;1;1;1;1;2;1;2;4;0;0;5;0;4;4;2;4;0;8;1;0;1;1;0;0;0;0;2;1;1;0;3;0;3;2;2;0;0;2;0;0;0;0;0;0;0;0;4;1;0;2;0;0;0;0;4;0;0;4;2;0;0;2;1;0;0;1;2;2;1;0;1;0;0;2;0;0;0;1;0;1;0;0;3;0;0;0;0;4;0
;ongeldige stembiljetten;;;41;0;0;0;4;2;2;0;1;1;0;0;0;0;3;1;1;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;3;0;1;0;1;0;1;0;1;0;2;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
