Verkiezing;;Gemeenteraad Waadhoeke 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Waadhoeke;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1949;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Martinikerk;Sportcomplex De Trije;Sjaerdemastate;Gemeentehuis Waadhoeke;CSG Anna Maria van Schurman;De Driesprong;Sportcomplex De Trije;Dorpshuis De Rede;Dorpshuis Ús Doarpshûs;Dorpshuis De Singel;Doarpshûs De Moeting;Dorpshuis It Waed;De Klang;Gemeenschapscentrum It Mienskar;Scouting Andromeda Franeker;Buurthuis De Terp;Gemeentehuis Waadhoeke 2;Lambertus Kerk;MFA d 'Ald Skoalle;Parochiehuis;Doarpshus 't Heechhout;Hervormd Centrum;Martinus Tsjerke;De Molewjuk;Dorpshuis Nij Franjum;It Holt;Dorpshuis Op Healwei;d' Ald Skoalle;Dorpshuis Skerne Wibe;Dorpshuis It String;Lambertuskerk;Yn'e Stâl;MFC Ons Huis;R.K. Kerk, de Skúl;Dorpshuis De Utwyk;MFC 't Beerdhuus;Verenigingsgebouw de Spitsroeden;MFC Froubuurt;Aerden Plaats Julianakerk;MFA de Doarpsfinne;De Bining;van Harenskerk, St.-Annaparochie;Dorpshuis Yn'e Mande;MFC De Helling;Gemeentehuis Waadhoeke;Hervormd Centrum;Yn'e Stâl;MFC Ons Huis;Gemeentehuis Waadhoeke;MFA de Doarpsfinne;Dorpshuis It Waed;MFC Ons Huis;Mobiel stembureau 1;Mobiel stembureau 2
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;41;42;43;44;45;46;47;48;49;50;56;57;80;81;82;83;84;85;86;87;88;89
Postcode;;;;;8801 LZ;8801 ET;8801 HS;8801 PA;8802 RX;8801 AZ;8801 ET;8811 HD;8812 JJ;8806 KL;8804 RG;8855 HL;8851 EL;8854 AG;8801 JT;8802 XZ;8801 PA;9036 MH;9035 AZ;9035 AJ;9041 EC;9041 AA;9044 ME;9045 PE;9034 GZ;9033 WH;8816 HT;9043 VP;9038 TG;9031 XW;9036 MH;9035 AD;9076 DA;9076 EA;9072 AL;9079 KG;9079 NG;9077 SN;9078 WD;9047 JR;9076 BT;9076 BS;8842 LE;8831 XS;8801 PA;9041 AA;9035 AD;9076 DA;8801 PA;9047 JR;8855 HL;9076 DA;;
;opgeroepenen;;;37258;1247;1210;862;1187;1024;537;1359;706;435;656;874;1471;1165;482;1079;989;1182;1334;832;702;1037;985;622;733;851;873;149;164;294;406;851;1102;925;947;537;1164;427;552;778;1381;803;790;506;1048;0;0;0;0;0;0;0;0;0;0
;geldige stempas;;;16944;542;321;375;447;495;367;401;232;163;282;395;462;423;201;259;480;379;468;685;253;490;314;294;367;401;434;100;97;150;230;455;306;315;380;238;395;181;219;343;518;310;268;218;522;376;114;166;151;467;78;125;181;76;35
;geldig volmachtbewijs;;;1841;62;29;29;53;46;48;36;27;22;48;57;55;50;22;25;44;46;45;91;25;40;43;30;41;39;66;13;7;12;19;55;29;42;40;30;35;16;29;28;49;33;23;31;75;28;12;14;22;28;16;10;21;4;1
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;18785;604;350;404;500;541;415;437;259;185;330;452;517;473;223;284;524;425;513;776;278;530;357;324;408;440;500;113;104;162;249;510;335;357;420;268;430;197;248;371;567;343;291;249;597;404;126;180;173;495;94;135;202;80;36
;geldige stembiljetten;;;18670;602;349;402;497;533;415;430;258;181;324;451;516;472;223;284;513;424;509;774;278;528;357;322;406;437;496;113;101;162;244;509;335;356;419;266;426;195;244;369;565;342;289;245;593;402;126;179;173;492;94;135;202;78;35
;blanco stembiljetten;;;71;1;0;1;2;7;0;7;1;2;3;0;0;1;0;0;4;1;2;2;0;2;0;2;2;0;1;0;3;0;5;0;0;0;1;2;2;0;2;2;1;1;2;3;3;0;0;0;1;0;0;0;0;1;1
;ongeldige stembiljetten;;;43;1;1;1;1;1;0;0;0;2;3;1;1;0;0;0;7;0;2;0;0;0;0;0;0;3;1;0;0;0;0;1;0;1;0;0;2;2;2;0;1;0;0;1;1;2;0;1;0;3;0;0;0;1;0
;aangetroffen stembiljetten;;;18784;604;350;404;500;541;415;437;259;185;330;452;517;473;223;284;524;425;513;776;278;530;357;324;408;440;498;113;104;162;249;510;335;357;420;268;430;197;248;371;567;343;291;249;597;404;126;180;174;495;94;135;202;80;36
;meer stembiljetten dan toegelaten kiezers;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;geen verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;CDA;;;3627;136;66;75;118;120;87;106;46;26;62;117;156;84;35;60;124;99;66;158;61;92;77;46;71;20;36;11;16;14;26;62;59;60;61;65;47;13;47;41;144;63;57;83;164;109;31;38;27;119;16;42;37;20;11
;;1;de Pee, C.M.;1891;90;50;48;65;80;63;59;26;18;39;37;81;67;20;34;86;45;29;44;31;48;38;13;17;6;24;4;4;2;13;26;18;27;36;28;24;6;13;19;85;27;33;42;38;75;18;14;17;83;9;29;25;14;4
;;2;Greidanus, S.;213;3;1;2;1;5;2;2;1;1;2;25;11;0;0;0;3;5;0;6;1;1;2;5;4;2;2;1;0;2;4;2;1;1;1;3;0;0;3;0;4;1;1;5;86;1;0;2;0;2;0;2;0;2;2
;;3;Venema, M.H.;209;18;10;7;20;10;6;20;2;0;9;1;3;0;0;9;14;23;4;8;0;1;1;1;1;0;1;1;3;1;0;3;1;5;2;0;0;0;0;1;0;2;3;2;0;7;0;0;1;7;0;0;0;1;0
;;4;de Groot-Krikke, Y.;186;1;0;0;0;1;1;0;0;0;4;0;0;0;0;0;0;0;1;3;0;1;6;16;40;4;1;0;1;7;4;1;1;13;1;6;5;0;23;9;11;6;6;5;0;0;2;1;2;0;0;0;3;0;0
;;5;Kamerling, K.J.M.;170;10;4;12;9;12;6;17;0;1;2;1;23;2;0;4;1;16;5;3;0;3;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;3;2;0;0;0;11;0;2;0;9;0;7;0;0;0
;;6;Vlaar-Vroonland, T.J.;46;1;1;2;4;1;2;0;0;1;1;1;0;2;0;0;4;2;0;3;1;0;1;1;0;1;3;0;0;0;1;0;0;1;0;2;0;0;0;1;0;0;0;1;0;3;0;0;0;4;0;0;1;0;0
;;7;Wijkhuijs, T.A.;87;4;0;0;9;2;1;2;1;0;0;1;5;0;0;4;3;2;6;0;0;0;2;2;0;0;0;0;0;0;2;3;0;0;5;0;9;0;0;0;6;2;0;2;1;5;0;2;0;5;0;0;1;0;0
;;8;Miedema, T.;96;0;0;0;1;0;0;3;2;0;0;5;0;0;0;0;0;0;3;1;0;7;9;0;2;0;2;0;3;0;0;2;2;5;4;5;2;2;1;1;6;16;5;1;0;0;0;0;3;1;0;0;2;0;0
;;9;van der Spek, R.M.;30;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;10;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
;;10;Zijlstra, J.J.;220;4;0;0;2;0;0;3;1;0;0;2;0;0;2;4;0;1;10;73;26;3;0;3;0;1;0;0;3;0;1;12;29;0;1;0;0;0;1;1;2;1;1;6;1;1;5;13;0;2;4;0;0;0;1
;;11;IJkema, J.;52;0;0;1;6;4;1;0;2;0;0;0;18;1;1;1;3;2;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;2;0;0;0;0;0;0;2;1;0;0;0;0;3;0;0;0
;;12;Wijnia, T.J.;66;0;0;2;0;1;0;0;0;0;0;37;7;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;6;1;0;0;0;0;3;1;0;0;0;1
;;13;Sijtsma, O.;5;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;14;van Tuinen, J.;65;0;0;1;0;1;0;0;0;0;2;1;2;1;0;0;0;0;2;2;0;9;3;1;4;0;0;0;2;0;0;2;0;0;2;0;2;0;2;5;3;1;1;4;0;1;4;0;2;0;0;0;2;0;3
;;15;Wijbenga-Heslinga, J.;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;2;0;1;0;0;0;0;0;0;2;3;0;18;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
;;16;Jorritsma, J.;44;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;34;0;0;0;0;2;0;0;0;0;0
;;17;Verroen, S.L.;14;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;3;1;0;0;1;0;0;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Andringa, S.G.;38;0;0;0;0;3;1;0;0;0;0;0;4;4;9;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;5;0;0;3;1;1;0;0;1;1;0;0;0;1;0
;;19;Bartlema, W.A.;14;2;0;0;0;0;2;0;0;1;0;0;0;0;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
;;20;Joostema, J.;62;0;0;0;0;0;0;0;10;2;0;0;2;4;1;0;0;0;1;4;0;1;2;0;0;0;0;3;0;2;0;0;1;0;1;0;4;2;0;0;17;0;1;0;0;0;0;0;0;0;2;1;1;0;0
;;21;Talsma-van der Valk, A.;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;1;1;0;0;0;0;0;0;0;0;0
;;22;Appelhof, E.P.;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;3;0;0;0;0;0;1;0
;;23;Wijbenga, H.O.;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;7;3;0;0;0;1;0;2;1;0;0;0;0;0;1;0;0;0;1;0;0
;;24;Wijnia, J.;11;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;3;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;25;de Haan, T.;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0
;;26;Postma, M.;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
