Verkiezing;;Gemeenteraad De Wolden 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente De Wolden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1690;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis Zuidwolde;Ontmoetingscentrum De Boerhoorn;Dorpshuis 't Markehuus;Dorpshuis Buddingehof (1);Dorpshuis De Kolonie;Streekcentrum De Snikke;Dorpshuis Linde;Dorpshuis 't Drogterhuus;Buitencentrum De Poort;Sportcafé De Marse;Dorpshuis Bastogne;Dorpshuis De Schakel;Welzijncentrum Havezate (1);Welzijncentrum De Havezate (2);Dorpshuis D' Olde Karke;Dorpshuis De Alke;Dorpshuis Buddingehof (2);Dorpshuis De Veldhoek;De Ontmoetingskerk;Gemeentehuis Zuidwolde;Dorpshuis Buddingehof;Welzijncentrum Havezate (1);Buitencentrum De Poort;Gemeentehuis Zuidwolde;Dorpshuis Buddingehof;Welzijncentrum Havezate (1);Buitencentrum De Poort
Gebiednummer;;;;;1;2;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28
Postcode;;;;;7921 GD;7921 GB;7924 PP;7961 AM;7961 NH;7924 RD;7925 PB;7705 PH;7963 AH;7963 BZ;7964 KK;7958 SB;7957 AW;7957 AW;7932 PP;7927 TC;7961 AM;7958 RC;7921 AH;7921 GD;7961 AM;7957 AW;7963 AH;7921 GD;7961 AM;7957 AW;7963 AH
;opgeroepenen;;;19971;1546;1638;865;1012;774;602;628;351;1508;1303;566;1470;1161;1264;330;1348;1133;844;1628;0;0;0;0;0;0;0;0
;geldige stempas;;;10976;1077;491;287;435;480;286;227;222;387;809;283;851;464;468;210;626;507;259;526;307;182;176;178;453;292;268;225
;geldig volmachtbewijs;;;1267;138;62;27;49;58;26;32;22;58;91;32;113;52;48;24;92;66;25;67;31;15;10;13;47;27;20;22
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;12243;1215;553;314;484;538;312;259;244;445;900;315;964;516;516;234;718;573;284;593;338;197;186;191;500;319;288;247
;geldige stembiljetten;;;12199;1208;552;311;476;537;312;258;242;445;894;315;963;515;515;233;715;571;284;593;338;196;185;191;499;318;286;247
;blanco stembiljetten;;;23;4;1;3;2;0;0;1;0;0;3;0;2;1;0;1;1;1;0;0;0;0;0;1;0;0;2;0
;ongeldige stembiljetten;;;24;3;0;0;6;1;0;0;2;1;3;0;0;0;1;0;2;1;0;0;0;1;1;0;1;1;0;0
;aangetroffen stembiljetten;;;12246;1215;553;314;484;538;312;259;244;446;900;315;965;516;516;234;718;573;284;593;338;197;186;192;500;319;288;247
