Verkiezing;;Gemeenteraad Enschede 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Enschede;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0153;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stadhuis Enschede;Stadskantoor;De Grote Kerk;Bibliotheek Centrum;Villa de Bank;Performance Factory;Performance Factory;Stadsbank Oost Nederland;Dansschool Dekker;Stichting Vierkwart;Saxion;Goed Nieuws Gemeente;RKSV Vogido;Bonhoeffer College Van der Waalslaan;De Roef;Ontmoetingskerk;Drive In parkeerplaats Diekmanhal;Drive In parkeerplaats Diekmanhal;Tubanters;ROC van Twente;'t Nije Terphoes;St. Jan Kerk;Speeltuin Boswinkel;Immanuelkerk;De Stedelijke Mavo;Pathmoshal;Speeltuin Stadsveld;Thomaskerk;Thomaskerk;Zone College;Stichting Enschedese Speeltuinen;'t Proathuus;Opstandingskerk;Clubgebouw EMOS;Stedelijk Lyceum Kottenpark;Prismare;Prismare;Ons Huis Het Achtervoort;Ons Huis De Dollard;Het Kompas;Deppenbroekhal;U.T. De Bastille (Atrium);U.T. De Bastille (Atrium);Sparta Enschede;Voetbalvereniging VOSTA;De Kom;De Kom;Tent nabij OBS Park Stokhorst;Sportzaal Stroinkslanden;Stroinkshuis;Stroinkshuis;Tent nabij BSO De Knalhut;Tent nabij BSO De Knalhut;Gymzaal Het Riet;Speeltuin Tuindorp;OBS De Broekheurne;FC Aramea;Tent Kinderboerderij De Wesseler;De Magneet;Mediant Helmerzijde;Sportzaal Helmerhoek;Sportzaal Helmerhoek;Buurthuis Bultsweg;Parochiehuis;Sporthal De Brug;Sporthal De Brug;Protestantse Gemeente Glanerbrug;Buurthuis Dolphia;Drive In parkeerplaats Avanti;Drive In parkeerplaats Avanti;Dorpshuis Lonneker;LSV Lonneker;Eetcafé de Buren;Eetcafé de Buren;Oude Usselerschool;De Grote Kerk;Drive In parkeerplaats Diekmanhal;Thomaskerk;Opstandingskerk;Het Kompas;De Kom;Sportzaal Stroinkslanden;De Magneet;Sportzaal Helmerhoek;Sporthal De Brug;Dorpshuis Lonneker;Eetcafé de Buren;De Grote Kerk;Drive In parkeerplaats Diekmanhal;Thomaskerk;Opstandingskerk;Het Kompas;De Kom;Sportzaal Stroinkslanden;De Magneet;Sportzaal Helmerhoek;Sporthal De Brug;Dorpshuis Lonneker;Eetcafé de Buren;Ariënstaete / Klaaskateplein;De Eschpoort / Floraparkstraat;Bruggerbosch / Ariënshuis;De Hatteler / De Posten;Broekheurnerstede / Broekheurnerborg;Lippink's hof / De Cromhoff
Gebiednummer;;;;;1;2;3;4;31;32;33;51;52;61;71;101;111;112;121;131;132;133;134;201;202;211;212;231;241;251;252;261;262;311;312;313;314;411;412;421;422;441;442;443;444;461;462;501;502;511;512;521;601;611;612;621;622;631;632;641;651;652;661;671;672;673;801;812;821;822;823;871;881;882;901;902;911;912;961;10003;10132;10261;10314;10443;10511;10601;10661;10672;10821;10901;10911;20003;20132;20261;20314;20443;20511;20601;20661;20672;20821;20901;20911;30001;30002;30003;30004;30005;30006
Postcode;;;;;7511 HC;7514 AK;7511 GB;7511 GM;7511 CM;7511 ZA;7511 ZA;7512 DX;7512 AW;7513 DT;7513 AL;7533 XW;7535 CJ;7535 CN;7535 BZ;7512 EK;7541 BR;7541 BR;7541 BK;7543 BK;7543 WB;7545 GH;7543 XT;7545 XP;7545 BN;7545 LZ;7545 MN;7545 BK;7545 BK;7521 AG;7521 JH;7521 DX;7521 HD;7522 KS;7522 GK;7523 BM;7523 BM;7523 KA;7523 GN;7523 HK;7523 GD;7522 NL;7522 NL;7531 AT;7531 AX;7531 CE;7531 CE;7531 EC;7542 LR;7542 GT;7542 GT;7542 WR;7542 WR;7544 HH;7544 GG;7544 LR;7544 RB;7544 RP;7544 DC;7546 TA;7546 EE;7546 EE;7532 XR;7532 AT;7534 CR;7534 CR;7534 AT;7532 PH;7534 AM;7534 AM;7524 CK;7524 DV;7548 BG;7548 BG;7545 PD;7511 GB;7541 BR;7545 BK;7521 HD;7523 HK;7531 CE;7542 LR;7544 DC;7546 EE;7534 CR;7524 CK;7548 BG;7511 GB;7541 BR;7545 BK;7521 HD;7523 HK;7531 CE;7542 LR;7544 DC;7546 EE;7534 CR;7524 CK;7548 BG;7523 ET;7511 AD;7534 AM;7545 BB;7544 NZ;7543 EH
;opgeroepenen;;;127874;2113;1977;1506;2110;1766;1736;1303;1820;2130;2085;2025;2093;1616;1757;1634;1519;1809;0;1129;1793;1586;1360;1528;1913;1593;1932;1832;2050;1947;1989;1962;1985;2005;1684;1847;1809;1602;1663;1845;1645;1938;2025;0;1687;1674;1938;0;1889;1583;1727;1865;1748;1624;1987;1982;1966;2147;1707;1981;1991;2375;2385;1245;1632;1707;1527;1763;1772;1942;1857;1473;1207;1818;1108;906;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geldige stempas;;;51767;994;958;1170;260;858;374;370;617;457;612;838;562;414;417;840;523;315;309;325;179;362;660;689;641;782;405;493;466;497;183;319;491;1047;795;837;832;899;444;554;554;298;711;805;378;708;313;336;1224;673;406;444;580;595;269;327;593;357;653;567;711;757;684;197;550;592;527;310;228;523;787;933;138;671;546;261;596;254;325;234;246;282;304;369;301;314;188;250;943;416;457;413;405;452;378;491;390;518;297;360;108;138;46;104;108;86
;geldig volmachtbewijs;;;6266;97;107;83;30;79;44;38;61;43;73;78;73;52;41;118;51;64;38;33;26;31;85;96;81;88;39;54;64;59;26;30;56;126;82;104;99;106;55;67;78;44;58;61;49;75;32;48;139;85;65;76;74;89;30;48;112;59;109;106;114;105;74;28;63;89;78;47;40;85;130;157;21;90;65;35;59;24;28;17;43;35;49;54;24;34;25;22;60;45;54;39;47;42;41;70;61;47;38;42;3;6;3;6;7;6
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;58033;1091;1065;1253;290;937;418;408;678;500;685;916;635;466;458;958;574;379;347;358;205;393;745;785;722;870;444;547;530;556;209;349;547;1173;877;941;931;1005;499;621;632;342;769;866;427;783;345;384;1363;758;471;520;654;684;299;375;705;416;762;673;825;862;758;225;613;681;605;357;268;608;917;1090;159;761;611;296;655;278;353;251;289;317;353;423;325;348;213;272;1003;461;511;452;452;494;419;561;451;565;335;402;111;144;49;110;115;92
;geldige stembiljetten;;;57704;1081;1056;1244;290;936;413;404;674;496;679;908;633;465;456;954;572;378;346;357;203;389;743;779;721;866;442;545;530;552;209;346;544;1160;873;939;927;1003;498;620;626;340;764;859;425;779;342;382;1354;750;467;519;650;676;293;373;696;416;759;670;822;860;755;224;608;678;603;356;267;608;911;1090;159;758;612;297;651;277;353;249;289;315;349;420;322;348;213;271;994;455;510;452;449;494;416;550;445;558;334;398;110;141;49;107;115;91
;blanco stembiljetten;;;179;4;4;7;0;1;3;2;3;2;5;4;2;1;1;3;2;1;1;1;0;1;2;5;2;1;0;1;0;3;0;2;3;4;1;2;2;1;1;1;2;1;4;5;1;2;2;2;9;6;1;0;3;5;1;0;3;0;2;0;3;1;1;0;5;0;1;0;0;0;5;1;0;1;0;0;3;0;0;0;0;1;2;0;2;0;0;0;6;1;0;0;1;0;3;2;1;5;1;2;1;1;0;0;0;1
;ongeldige stembiljetten;;;154;5;5;2;0;0;1;2;1;1;1;3;0;0;1;2;0;0;0;0;2;3;0;1;1;3;2;1;0;1;0;1;1;10;3;0;1;1;0;0;2;1;1;1;1;3;1;0;2;3;3;1;2;0;5;1;6;0;1;3;0;1;1;1;0;3;1;1;1;0;2;1;0;2;1;0;1;0;0;2;0;1;2;3;1;0;0;1;3;5;1;0;2;0;0;9;6;2;0;2;0;2;0;4;0;0
;aangetroffen stembiljetten;;;58037;1090;1065;1253;290;937;417;408;678;499;685;915;635;466;458;959;574;379;347;358;205;393;745;785;724;870;444;547;530;556;209;349;548;1174;877;941;930;1005;499;621;630;342;769;865;427;784;345;384;1365;759;471;520;655;681;299;374;705;416;762;673;825;862;757;225;613;681;605;357;268;608;918;1092;159;761;613;297;655;277;353;251;289;317;353;423;325;348;213;272;1003;461;511;452;452;494;419;561;452;565;335;402;111;144;49;111;115;92
;meer stembiljetten dan toegelaten kiezers;;;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0
