Verkiezing;;Gemeenteraad Haaksbergen 2022;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Haaksbergen;;;;;;;;;;;;;;;;;;;;;
Nummer;;0158;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Theater de Kappen;De Trefkoel,Buurse;'t Meuken,Isidorushoeve;Basisschool Holthuizen bureau 5;De Oude Molen;Het Schuttershoes;Montessorischool;Het Bakkershuis;Basisschool de Kameleon;Basisschool Dr. Ariens;Sporthal de Els;Basisschool Los Hoes;Gemeentehuis;Gemeentehuis;'t Meuken,Isidorushoeve;De Trefkoel,Buurse;Het Saalmerink;De Wiedenhof
Gebiednummer;;;;;1;2;3;4;5;6;7;9;10;11;12;13;14;15;16;17;18;19;20
Postcode;;;;;7481 EB;7481 EB;7481 RP;7482 ST;7482 ET;7481 BG;7481 VP;7481 BC;7481 GL;7482 TW;7482 ZK;7482 VX;7483 CT;7481 EB;7481 EB;7482 ST;7481 RP;7481 EN;7481 CB
;opgeroepenen;;;19791;1757;1702;1290;1335;2688;1114;1013;1625;1317;1122;1452;1331;1851;0;0;0;0;97;97
;geldige stempas;;;9744;798;479;570;593;1197;414;407;796;654;552;555;652;843;430;532;119;116;34;3
;geldig volmachtbewijs;;;1207;108;62;82;111;120;38;56;119;74;58;69;77;103;57;50;16;7;0;0
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;10951;906;541;652;704;1317;452;463;915;728;610;624;729;946;487;582;135;123;34;3
;geldige stembiljetten;;;10894;896;539;649;701;1315;451;462;909;720;610;623;720;940;485;579;135;123;34;3
;blanco stembiljetten;;;34;7;0;1;1;1;0;1;4;5;0;1;5;4;1;3;0;0;0;0
;ongeldige stembiljetten;;;23;3;2;2;2;1;1;0;2;3;0;0;4;2;1;0;0;0;0;0
