Verkiezing;;Gemeenteraad Losser 2022;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Losser;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0168;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;'t Lossers hoes;"Drive In Steenfabriek ""de Werklust""";Gymzaal de Havezate;Zwembad Brilmansdennen;Gymzaal De Vlasakker;Sporthal De Fakkel;Twents Carmel College;'t Sterrebos;Erve Boerrigter;Erve Boerrigter;De LosserHof;De Driehoek;Kulturhus;Dorpshuis De Glaan;Sporthal De Fakkel;Erve Boerrigter;Kulturhus;Sporthal De Fakkel;Erve Boerrigter;Kulturhus;Maartens-Stede & Oldenhove
Gebiednummer;;;;;701;702;703;704;705;706;707;708;709;710;711;712;713;714;10706;10709;10713;20706;20709;20713;30015
Postcode;;;;;7581 AG;7581 PN;7581 WB;7581 BB;7582 AT;7581 CE;7581 EX;7588 RG;7587 AM;7587 AM;7581 KA;7586 BL;7586 BG;7585 PE;7581 CE;7587 AM;7586 BG;7581 CE;7587 AM;7586 BG;7581 XZ
;opgeroepenen;;;18803;1721;0;1768;1591;1743;2110;1749;824;1588;1329;656;1465;1838;421;0;0;0;0;0;0;0
;geldige stempas;;;9033;1139;160;485;614;450;925;242;444;693;386;127;348;666;173;487;209;135;719;359;248;24
;geldig volmachtbewijs;;;1183;164;31;68;74;65;128;24;71;91;40;21;66;82;28;51;15;18;82;31;32;1
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;10216;1303;191;553;688;515;1053;266;515;784;426;148;414;748;201;538;224;153;801;390;280;25
;geldige stembiljetten;;;10155;1295;189;549;685;511;1045;265;515;781;424;148;412;740;201;537;223;152;795;385;278;25
;blanco stembiljetten;;;36;7;2;4;2;1;4;0;0;1;2;0;0;6;0;0;0;0;5;1;1;0
;ongeldige stembiljetten;;;24;2;0;0;1;2;4;1;0;2;0;0;2;2;0;1;1;1;1;4;0;0
;aangetroffen stembiljetten;;;10215;1304;191;553;688;514;1053;266;515;784;426;148;414;748;201;538;224;153;801;390;279;25
;meer stembiljetten dan toegelaten kiezers;;;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
