Verkiezing;;Gemeenteraad Olst-Wijhe 2022;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Olst-Wijhe;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1773;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;"Stembureau Verenigingsgebouw ""De Bastiaan""";"Stembureau Sporthal ""de Hooiberg""";Stembureau Eetcafé Boskamp;Stembureau Buurthuis Den Nul;"Stembureau Dorpshuis ""De Bongerd""";Stembureau Het Wapen van Wesepe;Stembureau Holstohus;Stembureau Gemeentehuis Wijhe;Stembureau Stichting 't Langhuus;Stembureau SPOC-park Wijhe;Stembureau Logtenberg op de Boerhaar;Stembureau Buurthuis Elshof;Stembureau Dorpshuis Herxen;"Stembureau ""Westhoff""";Stembureau Vroegstemmen Gemeentehuis Wijhe 14-03-22;Stembureau Vroegstemmen Gemeentehuis 15-03-22;Stembureau Vroegstemmen Holstohus 14-03-22;Stembureau Vroegstemmen Holstohus 15-03-22;Stembureau Averbergen;Stembureau 't Weijtendaal;Stembureau Willibrord
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;510;511;520;521;610;611;612
Postcode;;;;;8121 BM;8121 RA;8121 CX;8121 EJ;8196 KW;8124 AP;8121 CM;8131 BN;8131 BA;8131 DP;8131 SW;8131 RR;8131 PC;8198 KP;8131 BN;8131 BN;8121 CM;8121 CM;;;
;opgeroepenen;;;15025;1815;1520;1530;806;525;1046;1081;1346;864;1604;1751;721;357;59;0;0;0;0;0;0;0
;geldige stempas;;;7531;398;73;515;310;270;504;1089;725;405;424;566;346;203;51;282;408;339;539;25;47;12
;geldig volmachtbewijs;;;858;42;15;62;36;28;60;106;108;41;46;80;48;28;9;36;34;27;49;1;0;2
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;8389;440;88;577;346;298;564;1195;833;446;470;646;394;231;60;318;442;366;588;26;47;14
;geldige stembiljetten;;;8321;438;87;573;344;296;562;1184;830;440;463;636;391;229;58;317;441;362;585;25;46;14
;blanco stembiljetten;;;49;1;1;4;3;0;1;8;1;6;5;7;3;2;2;1;2;0;1;1;0;0
;ongeldige stembiljetten;;;22;1;0;0;0;2;1;4;2;0;2;3;0;0;0;0;0;4;2;0;1;0
;aangetroffen stembiljetten;;;8392;440;88;577;347;298;564;1196;833;446;470;646;394;231;60;318;443;366;588;26;47;14
;meer stembiljetten dan toegelaten kiezers;;;3;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;geen verklaring;;;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Gemeentebelangen Olst-Wijhe;;;2288;136;23;175;129;81;172;361;227;110;128;137;111;48;8;69;85;94;182;6;4;2
;;1;Niemeijer, R.;647;40;8;49;49;31;43;97;58;28;39;36;25;12;5;18;13;36;55;3;2;0
;;2;Roessink - Zwijnenberg, A.S.;462;12;0;9;18;21;17;30;85;44;52;45;39;10;0;28;37;4;8;1;2;0
;;3;Blind, M.;183;13;1;23;7;12;11;32;20;5;0;6;8;2;0;6;6;6;22;1;0;2
;;4;Scheffer, H.;125;25;3;9;9;1;1;43;1;2;0;2;1;0;0;1;0;4;23;0;0;0
;;5;ter Beek, H.W.;303;31;2;61;19;0;7;86;6;7;5;4;3;1;0;5;0;21;44;1;0;0
;;6;Bos, J.;37;1;0;1;0;1;3;17;0;0;0;2;0;0;0;0;0;5;7;0;0;0
;;7;van der Stege, J.;61;1;0;1;0;0;0;2;6;10;11;4;3;17;0;1;5;0;0;0;0;0
;;8;Kuipers - van Dalen, H.;78;9;0;9;3;5;1;21;1;0;1;1;3;1;0;0;4;10;9;0;0;0
;;9;Niemeijer, M.;14;0;1;2;0;0;3;3;0;0;2;0;0;0;0;0;1;0;2;0;0;0
;;10;van Tilborg, G.T.;4;0;1;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;van Werven, G.;73;0;4;0;12;0;5;3;5;3;3;7;13;5;1;0;6;1;5;0;0;0
;;12;Kerkmeijer, E.J.;104;1;0;5;2;4;75;2;2;0;0;3;6;0;0;0;0;1;3;0;0;0
;;13;Roessink, D.;17;1;0;0;0;0;1;0;1;3;0;4;1;0;1;2;3;0;0;0;0;0
;;14;Klumper, W.G.M.;35;1;0;2;0;0;0;2;11;1;4;5;1;0;0;1;4;2;1;0;0;0
;;15;Verheyen, J.;64;0;0;0;1;0;0;1;21;6;9;14;3;0;0;6;3;0;0;0;0;0
;;16;Jansen, F.R.J.;18;0;2;0;2;2;2;5;2;0;0;0;0;0;0;0;1;2;0;0;0;0
;;17;Blind, R.;32;1;1;3;1;3;2;5;5;1;0;2;2;0;1;1;2;2;0;0;0;0
;;18;Harleman - Niemeijer, G.;31;0;0;1;4;1;1;12;2;0;2;2;3;0;0;0;0;0;3;0;0;0
2;CDA;;;1707;60;12;184;66;48;74;104;204;128;103;170;103;61;20;81;111;56;83;12;21;6
;;1;Olthof-Kolkman, J.;919;29;3;77;28;17;41;51;139;82;57;98;54;28;7;58;70;21;29;11;17;2
;;2;Krist, S.;59;1;0;2;1;0;3;4;12;7;6;3;1;5;0;6;8;0;0;0;0;0
;;3;Onstee, G.L.;63;3;3;14;10;0;5;5;4;1;1;2;0;0;5;0;0;5;5;0;0;0
;;4;Jansen, A.G.J.;66;3;0;0;0;16;1;2;11;3;1;4;8;6;2;1;1;5;1;1;0;0
;;5;Kamphuis, H.T.J.;75;2;0;2;2;0;3;1;0;15;16;6;3;3;0;5;8;1;4;0;4;0
;;6;Jansen, T.F.G.J.;26;0;0;2;1;9;0;2;0;0;3;1;1;0;2;1;1;0;3;0;0;0
;;7;Steenbergen, E.S.M.;61;4;2;8;4;1;1;7;3;0;0;1;3;0;2;2;2;6;15;0;0;0
;;8;van der Horst, A.M.E.;11;0;0;0;1;0;1;1;0;0;0;0;1;0;0;2;0;2;3;0;0;0
;;9;Lugtenberg-Oosterhuis, E.G.L.M.;184;11;2;47;6;3;14;17;4;2;3;20;18;11;2;0;2;7;14;0;0;1
;;10;Compagner, J.;96;2;0;3;1;2;0;5;19;15;9;15;3;3;0;5;9;4;1;0;0;0
;;11;Pelgröm, S.W.;49;5;1;26;2;0;1;4;0;0;0;4;0;0;0;0;1;0;2;0;0;3
;;12;Klos, H.S.;21;0;0;3;6;0;3;3;1;0;0;0;1;0;0;1;0;3;0;0;0;0
;;13;Swart, T.;7;0;0;0;0;0;0;0;3;1;2;1;0;0;0;0;0;0;0;0;0;0
;;14;Hofman, G.J.;12;0;0;0;0;0;0;0;3;2;3;3;0;0;0;0;1;0;0;0;0;0
;;15;Giesen, F.H.H.W.;22;0;1;0;4;0;0;0;1;0;2;7;5;0;0;0;1;0;1;0;0;0
;;16;Greeven, H.D.;10;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;5;0;0;0
;;17;Das, L.P.;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0
;;18;Oosterink, W.R.;5;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;1;0;0;0;0;0
;;19;Riezebos, R.W.;18;0;0;0;0;0;1;0;1;0;0;5;3;5;0;0;3;0;0;0;0;0
3;VVD;;;1308;46;9;72;39;67;183;168;105;39;55;133;76;63;11;39;66;49;77;3;7;1
;;1;Olthof, H.;673;31;6;57;26;21;39;124;65;23;29;62;27;7;7;21;37;32;54;2;2;1
;;2;Maglio, A.N.;112;0;0;1;2;3;2;1;18;8;13;25;8;4;0;9;16;1;0;0;1;0
;;3;ter Haar-Severein, W.B.;102;4;0;1;4;29;1;12;1;2;3;9;5;2;4;5;5;6;8;1;0;0
;;4;Wunderink, J.W.;24;1;0;2;0;0;0;8;2;0;0;0;1;0;0;0;0;2;8;0;0;0
;;5;Eenkhoorn, S.J.;74;5;0;8;2;1;8;8;3;1;1;3;21;5;0;2;0;3;3;0;0;0
;;6;Nijland, A.A.J.;113;1;0;2;0;1;96;4;2;1;0;1;1;0;0;0;0;2;2;0;0;0
;;7;Wegman-Rikkink, M.M.;50;0;0;0;1;0;31;5;1;0;1;2;6;0;0;0;2;0;1;0;0;0
;;8;Grolleman, H.;77;1;0;0;1;0;0;2;5;0;3;12;1;45;0;1;2;1;0;0;3;0
;;9;van der Linden, A.M.W.;5;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;10;de Wit, H.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;ter Haar, C.G.J.;15;0;0;0;0;12;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;12;van der Linden, K.M.L.;4;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;13;Niemeijer, G.J.F.;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Groote Schaarsberg, S.M.;52;2;3;0;1;0;1;1;7;4;5;18;5;0;0;1;4;0;0;0;0;0
;;15;Gerkes, J.;4;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0
4;Partij van de Arbeid (P.v.d.A.);;;1085;73;21;44;53;18;32;180;109;73;71;55;24;16;5;55;72;64;105;2;11;2
;;1;Smit, A.J.;394;28;7;21;25;10;14;71;33;20;19;10;14;5;3;12;22;33;42;0;5;0
;;2;Koekkoek, P.J.;241;25;5;13;7;6;8;63;13;7;10;3;4;4;1;4;7;21;37;1;1;1
;;3;Jumelet, M.D.;79;10;2;2;14;0;5;21;1;4;0;0;0;0;0;3;4;0;12;1;0;0
;;4;van den Berg, A.J.;34;0;0;0;1;0;2;1;3;4;5;5;2;5;0;3;0;0;2;0;1;0
;;5;Schuiling, A.H.T.;104;1;0;0;0;0;0;1;17;13;18;15;2;0;1;15;19;0;2;0;0;0
;;6;van der Veen-van Diepen, L.;50;3;0;3;1;0;0;3;7;3;3;9;0;1;0;4;7;1;1;0;4;0
;;7;Drent, N.R.;8;0;0;0;0;0;0;0;6;0;1;0;0;0;0;1;0;0;0;0;0;0
;;8;Boxman, P.C.;30;1;4;2;1;2;0;4;5;1;1;1;0;0;0;0;1;6;1;0;0;0
;;9;van der Putt, S.;19;2;0;0;4;0;2;5;2;0;0;0;0;0;0;1;1;0;2;0;0;0
;;10;Kleine Schaars, A.M.J.;88;1;2;0;0;0;0;1;19;20;11;10;1;1;0;11;11;0;0;0;0;0
;;11;Boerman, A.E.;15;2;1;2;0;0;0;6;0;0;1;0;0;0;0;0;0;0;2;0;0;1
;;12;Wiegink, A.E.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Leber, R.J.M.;8;0;0;0;0;0;1;0;1;1;2;1;1;0;0;1;0;0;0;0;0;0
;;14;Ripperda, J.;15;0;0;1;0;0;0;4;2;0;0;1;0;0;0;0;0;3;4;0;0;0
