Verkiezing;;Gemeenteraad Staphorst 2022;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Staphorst;;;;;;;;;;;;;;;;;;;;
Nummer;;0180;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Sporthal;Sporthal;Sportzaal van der Walstraat;Sportzaal van der Walstraat;Zaal Spoorzicht;Zaal Spoorzicht;Café/restaurant 't Centrum;De Levensbron;De Levensbron;Dr. Maarten Lutherschool;Gymzaal IJhorst;Sporthal;Sporthal;De Levensbron;De Levensbron;Berghorst;Gymzaal IJhorst;Gymzaal IJhorst
Gebiednummer;;;;;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
Postcode;;;;;7951 DV;7951 DV;7951 AK;7951 AK;7951 CJ;7951 CJ;7951 EC;7954 ER;7954 ER;7715 PM;7955 PS;7951 DV;7951 DV;7954 ER;7954 ER;7951 AZ;7955 PS;7955 PS
;opgeroepenen;;;12607;1560;1350;888;822;948;852;1077;1515;1242;849;1333;0;0;0;0;171;0;0
;geldige stempas;;;8267;849;724;398;500;575;539;823;604;587;531;557;251;532;152;363;61;104;117
;geldig volmachtbewijs;;;1243;113;100;64;64;81;92;160;102;101;104;78;36;66;21;52;0;4;5
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;9510;962;824;462;564;656;631;983;706;688;635;635;287;598;173;415;61;108;122
;geldige stembiljetten;;;9434;953;821;459;560;648;619;976;705;682;629;630;283;592;173;415;60;108;121
;blanco stembiljetten;;;55;6;3;3;1;8;4;7;0;2;5;5;4;5;0;0;1;0;1
;ongeldige stembiljetten;;;19;3;1;0;3;1;4;0;1;4;1;0;0;1;0;0;0;0;0
;aangetroffen stembiljetten;;;9508;962;825;462;564;657;627;983;706;688;635;635;287;598;173;415;61;108;122
;meer stembiljetten dan toegelaten kiezers;;;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;4;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
1;Staatkundig Gereformeerde Partij (SGP);;;3354;262;204;214;228;405;374;628;166;133;305;79;80;166;24;60;11;5;10
;;1;Slager, R.;1888;153;109;118;129;240;225;367;99;71;157;35;46;79;11;35;9;2;3
;;2;Troost, H.;131;13;8;10;7;26;16;19;3;2;11;4;5;7;0;0;0;0;0
;;3;Kin, H.;142;14;12;13;15;15;14;19;2;4;11;1;3;13;2;3;0;1;0
;;4;Slager, J.;72;6;6;12;5;6;5;14;3;1;3;1;5;5;0;0;0;0;0
;;5;de Boer, P.;215;20;15;12;14;15;17;36;23;21;8;6;3;14;1;10;0;0;0
;;6;Bisschop, H.;171;9;9;9;4;13;7;41;7;10;22;14;4;16;4;2;0;0;0
;;7;Mulder, H.;172;6;6;10;9;19;21;30;4;6;40;5;2;3;2;4;0;0;5
;;8;Mulder, L.;95;6;3;7;7;16;3;13;8;4;12;2;5;4;0;1;2;2;0
;;9;den Ouden, A.;92;6;6;3;7;10;15;19;5;4;10;0;1;2;1;3;0;0;0
;;10;Mulder, J.;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
;;11;Tippe, A.J.;27;6;1;2;3;3;7;3;0;0;1;0;0;1;0;0;0;0;0
;;12;Compagner, R.;7;0;1;0;0;3;1;0;0;0;1;1;0;0;0;0;0;0;0
;;13;Slingerland, W.V.A.;17;2;4;0;0;4;5;1;0;0;0;0;0;1;0;0;0;0;0
;;14;Kuijers, J.;98;4;9;12;7;8;12;23;1;4;2;6;1;7;2;0;0;0;0
;;15;Koster, J.;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
;;16;Koppelman, D.J.;69;6;1;0;10;10;11;7;0;4;9;2;1;4;0;2;0;0;2
;;17;Dons, H.;28;1;0;2;1;1;0;6;2;0;13;1;0;1;0;0;0;0;0
;;18;van der Sluis, J.;23;2;3;0;0;3;3;8;0;0;1;0;0;2;1;0;0;0;0
;;19;Jansen, H.;8;0;0;1;1;1;4;0;0;0;0;0;0;1;0;0;0;0;0
;;20;Slager, W.;10;0;1;0;6;0;0;2;0;0;0;0;1;0;0;0;0;0;0
;;21;Hattem, H.;31;5;5;1;1;6;4;6;0;0;1;0;0;2;0;0;0;0;0
;;22;Bouwman, B.;3;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;23;Brouwer, R.J.;11;1;0;1;0;3;1;1;0;0;2;0;2;0;0;0;0;0;0
;;24;Pleijsier, B.J.;15;0;4;0;1;0;2;5;0;1;0;0;1;1;0;0;0;0;0
;;25;Hattem, J.;8;1;1;0;0;1;0;4;0;0;1;0;0;0;0;0;0;0;0
;;26;Visscher, H.;17;0;0;1;0;1;0;2;9;0;0;1;0;3;0;0;0;0;0
2;ChristenUnie;;;2601;250;231;85;115;96;100;184;375;340;173;30;65;191;94;246;17;5;4
;;1;Bos, J.C.;1316;119;102;34;53;45;40;81;185;176;85;10;41;121;59;147;11;4;3
;;2;Mussche, A.;409;57;38;24;19;21;21;30;45;39;19;11;12;24;6;37;4;1;1
;;3;Troost, M.;233;28;25;9;18;15;22;20;15;20;29;3;6;8;6;9;0;0;0
;;4;Schra, A.J.;66;5;1;2;5;2;0;1;16;10;7;0;0;8;3;5;1;0;0
;;5;Hoeve, L.;32;1;1;0;1;0;0;3;8;8;1;1;0;1;3;4;0;0;0
;;6;Piel, K.;52;3;0;0;2;0;0;7;17;11;4;2;0;0;0;6;0;0;0
;;7;Huls-Klok, K.;128;14;29;7;5;5;3;10;11;7;12;1;3;10;4;7;0;0;0
;;8;Veerman-Vos, A.;134;3;7;3;3;1;3;16;28;30;10;2;2;6;8;11;1;0;0
;;9;Lassche, T.;46;1;2;0;0;0;1;3;14;12;2;0;0;2;3;6;0;0;0
;;10;Bouwmeester, A.;4;0;1;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0
;;11;Groenendijk, J.D.;7;0;0;0;1;0;0;1;2;1;0;0;0;0;0;2;0;0;0
;;12;Gelderloos-Bolks, J.I.;16;0;1;0;0;0;0;0;7;5;1;0;0;0;1;1;0;0;0
;;13;Ubak, N.;34;0;2;3;5;1;3;3;6;5;0;0;0;2;0;4;0;0;0
;;14;Compagner, D.E.;3;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0
;;15;Post, M.S.;3;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
;;16;Wolters-Korterink, M.;7;2;0;1;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0
;;17;Mussche, K.;33;4;10;0;1;1;3;4;5;2;1;0;0;0;0;2;0;0;0
;;18;van Tol, G.;8;1;1;0;0;0;0;0;1;1;1;0;0;1;1;1;0;0;0
;;19;Erkens-Hoeve, C.T.;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;20;Harink, A.;6;0;2;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0
;;21;Hokse, H.;12;3;1;0;0;2;3;0;1;1;0;0;0;1;0;0;0;0;0
;;22;Eenkhoorn, A.;8;0;0;0;0;0;1;0;2;3;0;0;0;0;0;2;0;0;0
;;23;van Dijk, K.H.;9;2;3;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0
;;24;Kok, J.;4;0;0;1;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0
;;25;Compagner, H.;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;26;Jongsma, J.B.;13;6;4;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;27;Veerman, H.;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
;;28;Groenendijk-Brakke, H.;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0
;;29;Haasjes, H.;5;0;0;0;0;0;0;1;0;3;1;0;0;0;0;0;0;0;0
;;30;Troost, H.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;Korterink, H.;5;0;1;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0
3;CDA;;;1607;195;202;85;107;95;97;99;130;156;65;53;62;107;38;79;18;6;13
;;1;Brinkman, H.;822;105;101;33;59;49;47;38;51;73;38;44;38;57;21;36;17;5;10
;;2;Compagner, G.G.;198;31;25;22;21;13;17;13;8;6;1;1;7;23;0;7;1;1;1
;;3;Hokse, A.;169;22;30;17;13;14;16;15;7;6;9;4;4;7;2;3;0;0;0
;;4;Hokse, S.;122;15;27;7;6;11;10;14;10;4;0;3;2;10;1;2;0;0;0
;;5;Courtz, H.;77;3;6;2;2;1;1;1;14;14;9;0;4;0;9;11;0;0;0
;;6;Mijnheer, K.;39;6;1;2;1;3;2;0;7;7;0;0;1;5;0;4;0;0;0
;;7;Klomp, R.K.;27;1;1;0;0;1;0;2;5;10;0;0;1;2;1;3;0;0;0
;;8;Konterman, A.;16;2;1;0;1;0;0;4;0;2;1;0;0;1;0;4;0;0;0
;;9;Kuiper, H.R.;25;0;0;0;1;0;2;4;4;4;2;1;2;0;1;2;0;0;2
;;10;Vos, M.;55;6;3;1;1;3;1;1;13;17;2;0;0;0;2;5;0;0;0
;;11;Dunnink, J.;14;0;0;1;0;0;0;0;5;6;0;0;0;0;1;1;0;0;0
;;12;van Dalfsen, C.W.;10;0;0;0;1;0;0;2;4;1;2;0;0;0;0;0;0;0;0
;;13;Dunnik, H.H.;3;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0
;;14;Groen, A.;7;0;1;0;0;0;0;2;0;3;0;0;0;1;0;0;0;0;0
;;15;Kuiper-Hartman, H.J.G.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;16;Dunnik, J.C.;3;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0
;;17;Huisman, R.;6;1;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;18;Spiker, J.;13;3;2;0;1;0;1;3;0;1;1;0;0;1;0;0;0;0;0
4;Gemeentebelangen Staphorst;;;1346;185;148;56;83;45;38;56;27;39;63;305;55;96;12;27;10;46;55
;;1;Stegeman, A.;494;70;39;34;30;20;15;20;11;20;31;92;24;45;6;6;6;12;13
;;2;Lok, A.M.;299;36;35;5;16;8;7;13;10;11;18;59;12;17;4;12;1;18;17
;;3;Veen, B.;163;29;23;12;23;10;5;16;4;5;6;4;10;10;0;4;0;2;0
;;4;Dekker, R.A.;159;10;12;0;4;3;2;3;1;1;2;92;3;6;1;1;1;8;9
;;5;Kroonenburg - Kolk, M.G.;103;10;5;3;5;3;1;3;0;2;2;40;2;7;0;3;1;5;11
;;6;van Geloven, I.;11;0;0;1;1;0;0;0;0;0;1;5;0;1;0;0;0;0;2
;;7;de Wee, F.D.;117;30;34;1;4;1;8;1;1;0;3;13;4;10;1;1;1;1;3
5;Partij van de Arbeid (P.v.d.A.);;;526;61;36;19;27;7;10;9;7;14;23;163;21;32;5;3;4;46;39
;;1;Lubberink, L.;417;42;25;16;22;7;6;4;6;12;19;139;13;22;5;3;3;42;31
;;2;Dunning, H.;42;2;3;2;0;0;0;1;0;2;4;15;2;2;0;0;1;3;5
;;3;Lier, G.;23;1;1;0;2;0;3;1;1;0;0;7;3;1;0;0;0;1;2
;;4;Marcus, P.E.;17;9;2;0;1;0;0;0;0;0;0;0;0;4;0;0;0;0;1
;;5;Doornbos-Wierenga, J.;21;6;4;0;2;0;1;3;0;0;0;1;2;2;0;0;0;0;0
;;6;Messchendorp, H.;6;1;1;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0
