Verkiezing;;Gemeenteraad Twenterand 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Twenterand;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;CCK2;'t Kooykershuus;Westerkerk, Kanaalweg Z;'t Haarhuus (dinsdag bijzonder beperkt);Weemelanden / Het Liefferdinck (bijzonder beperkt mobiel);Hervormd Centrum Hoofdweg;NH Kerk Oude Hoevenweg 40;Basisschool Eltheto;Sportzaal De Weemelanden;Baptistenkerk;Gemeentehuis Vriezenveen;CBS De Regenboog/Dorpshuis Bruinehaar;Sportzaal De Stamper;Chr.BS Shalom;Hervormd Centrum De Rank;CBS de Smithoek;Vergaderzaal Geref.Kerk;Sportzaal de Beukenhage;Ver.gebouw RK Kerk;Baptistencentrum 't Lieniezer;Kerkelijk Centrum Het Anker;Het Punt;Wijkgeb Oos Plekkie in 't Flierpark;"GKV ""De Akker""";Gemeentehuis Vriezenveen (maandag);Gemeentehuis Vriezenveen (dinsdag);CBS de Smithoek (maandag);CBS de Smithoek (dinsdag);Hervormd Centrum Hoofdweg (maandag);Hervormd Centrum Hoofdweg (dinsdag);Het Punt (maandag);Het Punt (dinsdag)
Gebiednummer;;;;;1;2;3;4;5;7;8;9;10;11;12;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34
Postcode;;;;;7671 HG;7671 AK;7671 GD;7676 GA;7672 GD;7676 AK;7671 PJ;7671 GG;7672 GD;7676 AC;7671 GS;7675 TC;7671 GT;7671 ND;7683 BN;7683 CK;7683 AV;7683 XH;7686 CM;7681 JA;7681 DJ;7681 ZP;7681 ZC;7681 RE;7671 GS;7671 GS;7683 CK;7683 CK;7676 AK;7676 AK;7681 ZP;7681 ZP
;opgeroepenen;;;26431;1414;870;2511;0;0;2270;658;0;1330;1290;839;0;1565;1684;961;1056;1189;1372;943;1228;1448;1404;1183;1216;0;0;0;0;0;0;0;0
;geldige stempas;;;13261;431;477;878;15;31;661;232;304;659;475;914;267;156;806;604;425;603;677;396;444;635;714;258;326;254;478;104;215;120;159;202;341
;geldig volmachtbewijs;;;1638;32;70;111;2;1;85;26;46;91;78;108;37;19;97;83;46;83;72;62;57;80;93;22;39;26;43;11;35;13;17;16;37
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;14899;463;547;989;17;32;746;258;350;750;553;1022;304;175;903;687;471;686;749;458;501;715;807;280;365;280;521;115;250;133;176;218;378
;geldige stembiljetten;;;14841;461;546;988;16;31;743;255;349;748;552;1014;304;175;901;686;466;685;744;453;500;714;806;279;363;280;518;115;249;132;176;218;374
;blanco stembiljetten;;;23;1;0;0;0;0;2;1;1;1;1;2;0;0;0;0;4;1;1;1;1;0;1;0;2;0;1;0;0;1;0;0;1
;ongeldige stembiljetten;;;31;1;1;1;1;1;2;0;0;1;0;3;0;0;2;1;1;0;4;3;0;1;0;1;0;0;2;0;1;0;1;0;3
;aangetroffen stembiljetten;;;14895;463;547;989;17;32;747;256;350;750;553;1019;304;175;903;687;471;686;749;457;501;715;807;280;365;280;521;115;250;133;177;218;378
;meer stembiljetten dan toegelaten kiezers;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;minder stembiljetten dan toegelaten kiezers;;;6;0;0;0;0;0;0;2;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;geen verklaring;;;4;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Gemeente Belangen Twenterand;;;5529;108;136;231;5;5;361;39;111;212;227;260;97;57;288;242;221;280;390;228;245;345;419;128;146;65;127;54;96;55;50;118;183
