Verkiezing;;Gemeenteraad Wierden 2022;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Wierden;;;;;;;;;;;;;;;;;;;;;
Nummer;;0189;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Plantsoenlaan 1;Chris Soumokilstraat 69A;Wilhelminastraat 28;Oude Pastoriestraat 9;Oude Pastoriestraat 9;Nieuwe Schoolweg 5;Van Kregtenweg 9;Ypeloschoolweg 2B;Lage Dijk 12A;Weusteweg 15;Plantsoenlaan 1;Plantsoenlaan 1;Mettenkampsweg 5;Mettenkampsweg 5;Mettenkampsweg 5;Wilhelminastraat 28;Spoorstraat 5;Dahliastraat 4;Spoorstraat 5
Gebiednummer;;;;;1;3;4;8;9;10;11;12;14;18;20;21;22;23;24;25;26;27;28
Postcode;;;;;7642 EC;7642 XX;7642 CS;7468 GC;7468 GC;7645 AV;7467 PL;7468 RE;7468 EZ;7641 AG;7642 EC;7642 EC;7468 AH;7468 AH;7468 AH;7642 CS;7641 BJ;7641 VZ;7641 BJ
;opgeroepenen;;;19490;1492;1589;1405;1330;1388;838;980;638;1405;1451;0;0;1353;0;0;1417;1225;1516;1463
;geldige stempas;;;10884;1310;620;330;731;740;513;491;259;579;778;447;842;565;196;374;380;371;1055;303
;geldig volmachtbewijs;;;1410;190;54;42;115;113;66;62;30;90;96;60;89;75;29;57;38;46;115;43
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;12294;1500;674;372;846;853;579;553;289;669;874;507;931;640;225;431;418;417;1170;346
;geldige stembiljetten;;;12251;1496;673;372;844;845;578;551;289;668;869;504;924;640;225;428;416;417;1166;346
;blanco stembiljetten;;;33;4;1;0;2;6;0;2;0;2;3;2;6;0;0;1;1;0;3;0
;ongeldige stembiljetten;;;10;0;0;0;0;2;1;0;0;0;2;0;1;0;0;2;1;0;1;0
;aangetroffen stembiljetten;;;12294;1500;674;372;846;853;579;553;289;670;874;506;931;640;225;431;418;417;1170;346
;meer stembiljetten dan toegelaten kiezers;;;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Nieuw Enter Wierden;;;4978;657;322;175;361;360;137;150;88;252;368;188;397;350;88;194;175;150;440;126
;;1;ter Riet, C.;1621;185;52;30;179;176;46;60;44;140;78;51;114;150;39;71;46;24;105;31
;;2;Woolderink, J.A.M.;639;110;72;29;3;14;20;10;13;5;60;30;88;8;3;4;31;40;77;22
;;3;Kortenhoeven, R.;507;91;60;30;2;3;16;6;7;4;49;23;51;1;2;3;32;23;77;27
;;4;Prieshof-Otten, L.P.A.L.;226;12;11;3;35;35;10;3;2;28;7;6;5;23;5;27;0;3;8;3
;;5;Nieuwenhuis, H.J.;129;18;12;7;4;0;0;6;0;1;23;5;10;4;7;4;6;5;12;5
