Verkiezing;;Gemeenteraad Zwolle 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Zwolle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0193;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Sionskerk;Stembureau Wijkcentrum De Enk;Stembureau Wijkcentrum De Weijenbelt;Stembureau Stadhuis;Stembureau Dienstencentrum De Terp;Stembureau Rode Kruisgebouw;Stembureau Wijkcentrum S.I.O.;Stembureau IJsselhallen drive though - stemstraat 1;Stembureau IJsselhallen drive through -stemstraat 2;Stembureau Koningskerk;Stembureau De Bierton;Stembureau Cultuurhuis Stadshagen;Stembureau Gymzaal Sportlaan 10;Stembureau Het Anker;Stembureau Wijkcentrum De Bestevaer;Stembureau Sionskerk;Stembureau Wijkcentrum De Enk;Stembureau Wijkcentrum De Weijenbelt;Stembureau Stadhuis;Stembureau Dienstencentrum De Terp;Stembureau Rode Kruisgebouw;Stembureau Wijkcentrum S.I.O;Stembureau IJsselhallen drive though - stemstraat 1;Stembureau IJsselhallen drive through -stemstraat 2;Stembureau Koningskerk;Stembureau De Bierton;Stembureau Cultuurhuis Stadshagen;Stembureau Gymzaal Sportlaan;Stembureau Het Anker;Stembureau Wijkcentrum De Bestevaer;Stembureau Gymzaal bij school De Wieden;Stembureau Kerk De Hoeksteen;Stembureau Gymzaal Gouwe;Stembureau Gymzaal bij school De Aquarel;Stembureau Gymzaal bij school De Aquarel;Stembureau Sionskerk;Stembureau Stadkamer Centrum;Stembureau Wijkcentrum De Enk;Stembureau Gymzaal bij school De Mozadance;Stembureau Stadskantoor;Stembureau Hogeschool KPZ (Pabo);Stembureau De Twijn (zij-ingang);Stembureau Wijkcentrum De Weijenbelt;Stembureau Kerk de Hoofdhof;Stembureau Stadhuis;Stembureau Papenstraattheater;Stembureau Gymzaal bij school Aquamarijn;Stembureau Historisch Centrum Overijssel;Stembureau Dienstencentrum De Terp;Stembureau Wijkcentrum De Vlasakkers;Stembureau Wijkcentrum Holtenbroek;Stembureau Aula van school Het Facet;Stembureau Deltion College;Stembureau Rode Kruisgebouw;Stembureau Wijkcentrum S.I.O;Stembureau Gymzaal De Marshof;Stembureau Gymzaal De Marshof;Stembureau Bewonersvereniging Ittersummerbroek;Stembureau Gymzaal bij scholen IJsselhof en Talentum;Stembureau Gymzaal bij scholen IJsselhof en Talentum;Stembureau Wijkcentrum De Pol;Stembureau IJsselhallen drive through - stemstraat 1;Stembureau IJsselhallen drive through - stemstraat 2;Stembureau Bioscoop Pathé;Stembureau Gymzaal achter Carolus Clusius;Stembureau IJsselhal;Stembureau Kulturhus Wijthmen;Stembureau Gymzaal bij scholen De Ark en De Markesteen;Stembureau Gymzaal bij school De Sluis;Stembureau Koningskerk;Stembureau Hogeschool Windesheim;Stembureau De Bierton;Stembureau Dorpshuis De Molenkamp;Stembureau Cultuurhuis Stadshagen;Stembureau Kerk De Fontein;Stembureau Strandhuis Milligers;Stembureau Kantine CSV'28 op sportpark De Verbinding;Stembureau Gymzaal Sportlaan;Stembureau Kerk Open Kring;Stembureau School De Krullevaar;Stembureau SV HTC;Stembureau Gebouw van de IJsvereniging WVF;Stembureau Stinskerk;Stembureau Het Anker;Stembureau Gymzaal bij Geert Grooteschool;Stembureau Wijkcentrum De Bestevaer;Stembureau Recreatiezaal Parkzicht;Stembureau Mobiel stembureau 1;Stembureau Mobiel stembureau 2;Stembureau Mobiel stembureau 3;Stembureau Mobiel stembureau 4
Gebiednummer;;;;;106;108;113;115;119;124;125;132;133;140;142;144;148;154;156;206;208;213;215;219;224;225;232;233;240;242;244;248;254;256;301;302;303;304;305;306;307;308;309;310;311;312;313;314;315;316;317;318;319;320;321;322;323;324;325;326;327;328;329;330;331;332;333;334;335;336;337;338;339;340;341;342;343;344;345;346;347;348;349;350;351;352;353;354;355;356;357;358;359;360;361
Postcode;;;;;;;;8011 PK;;;;;;;;;;;;;;;8011 PK;;;;;;;;;;;;;;;;;;;;;;8012 EW;8013 TV;;8024 AN;;8011 PL;;;;;;;;;;;;;;;;;;;;8011 AB;;;;;;;;;;;;;;;;;;;;;;;;;
;opgeroepenen;;;103217;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1840;1840;1840;1840;1840;1840;1840;1840;1840;1840;1840;1840;1840;1840;1840;1840;1840;1840;1840;1840;1840;1840;1840;1840;1840;1840;1840;1840;1840;1840;1840;1840;1840;1840;1840;1840;650;1840;1840;1840;1840;1840;550;1840;1840;1840;1840;1840;1840;1840;1840;1840;1840;1840;1840;1840;1840;204;204;204;205
;geldige stempas;;;52040;465;397;316;315;212;180;516;49;43;373;401;560;98;219;226;569;516;432;555;325;238;733;109;66;461;458;947;227;380;380;843;1159;521;501;399;730;907;1381;950;697;489;542;943;572;1351;403;599;825;874;404;1296;301;364;356;1244;684;664;694;580;559;1029;181;166;920;892;213;419;1143;703;813;469;897;275;1903;1025;920;408;594;729;925;269;413;764;852;1010;797;364;70;160;85;34
;geldig volmachtbewijs;;;5421;42;36;30;21;19;16;52;4;5;34;43;64;16;14;25;49;31;67;44;23;25;79;7;7;46;44;96;17;40;34;70;112;39;57;44;6;96;152;90;65;33;53;105;79;104;33;64;71;68;33;102;36;33;25;154;68;102;44;73;54;122;23;25;59;98;12;58;136;91;83;46;117;38;249;116;111;63;82;102;123;39;50;92;133;117;86;36;2;11;4;2
;geldige kiezerspas;;;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;57464;507;433;346;336;231;196;568;53;48;407;444;624;114;233;251;618;547;499;599;348;263;812;116;73;507;502;1043;244;420;414;913;1271;560;558;443;739;1003;1533;1040;762;522;595;1048;651;1455;436;663;896;942;437;1398;337;397;381;1398;752;766;738;653;613;1151;204;191;979;990;225;477;1279;794;896;515;1014;313;2152;1141;1031;471;676;831;1048;308;463;856;985;1127;883;400;72;171;89;36
;geldige stembiljetten;;;57119;507;429;346;335;230;196;567;52;48;405;441;616;113;231;250;616;544;497;592;347;261;807;113;73;505;499;1035;244;420;412;912;1266;557;556;440;731;999;1529;1029;756;522;592;1042;645;1448;432;661;893;934;430;1387;331;392;379;1390;749;759;730;646;610;1142;204;189;974;986;222;478;1266;789;887;509;1012;313;2144;1138;1025;467;672;828;1043;308;462;852;971;1122;880;394;70;169;89;36
;blanco stembiljetten;;;218;0;3;0;1;1;0;1;1;0;0;3;1;1;2;0;2;2;1;5;1;1;0;0;0;2;2;5;0;0;2;0;5;1;2;1;5;3;1;6;6;0;2;6;4;5;2;2;2;4;6;3;6;2;1;7;3;6;6;7;1;5;0;2;4;4;3;0;4;3;4;3;1;0;4;3;4;3;2;2;4;0;1;2;10;4;1;2;0;1;0;0
;ongeldige stembiljetten;;;121;0;1;0;0;0;0;0;0;0;2;0;7;0;0;1;0;1;1;2;0;1;5;3;0;0;1;2;0;0;0;1;0;2;0;2;3;1;1;5;1;0;1;0;2;2;2;0;1;4;1;8;0;3;1;1;0;1;2;0;1;3;0;0;1;0;0;0;9;2;5;3;2;0;4;0;2;1;2;1;1;0;0;0;4;0;1;4;2;1;0;0
