Verkiezing;;Gemeenteraad Urk 2022;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;
Gebied;;Gemeente Urk;;;;;;;;;;;;;;;;
Nummer;;0184;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Bethelkerk;Gemeentehuis;De Morgenster;Rehobothkerk;Pniëlkerk;Prinses Beatrixschool;Ichthushof;Johannes Calvijnschool;Harmpje Visserschool;De Ark;Rehobothkerk (maandag);Gemeentehuis (maandag);Rehobothkerk (dinsdag);Gemeentehuis (dinsdag)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14
Postcode;;;;;8321 EW;8321 GT;8321 DK;8321 RG;8321 RV;8322 AK;8321 RX;8321 JA;8322 GH;8322 BA;8321 RG;8321 GT;8321 RG;8321 GT
;opgeroepenen;;;14410;1513;1080;1616;1520;1548;1502;1626;1618;1233;1154;0;0;0;0
;geldige stempas;;;8708;646;914;827;759;752;811;887;768;661;451;215;240;320;457
;geldig volmachtbewijs;;;2139;132;224;190;203;210;176;241;205;167;120;46;53;73;99
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;10847;778;1138;1017;962;962;987;1128;973;828;571;261;293;393;556
;geldige stembiljetten;;;10817;775;1134;1015;957;961;982;1126;971;827;569;261;292;393;554
;blanco stembiljetten;;;17;0;3;3;4;0;4;2;0;1;0;0;0;0;0
;ongeldige stembiljetten;;;13;3;1;0;1;1;1;0;2;0;2;0;1;0;1
;aangetroffen stembiljetten;;;10847;778;1138;1018;962;962;987;1128;973;828;571;261;293;393;555
;meer stembiljetten dan toegelaten kiezers;;;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;2;0;0;1;0;0;0;0;0;0;0;0;0;0;1
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;ChristenUnie;;;1416;97;128;153;128;106;149;126;104;142;81;47;32;51;72
;;1;Bakker, M.;434;28;23;50;28;28;47;40;44;41;34;16;12;19;24
;;2;Kramer, N.;143;9;11;18;15;7;19;15;11;19;2;2;6;4;5
;;3;Pasterkamp, A.;49;4;4;8;7;2;4;2;2;3;3;5;1;2;2
;;4;Visser-Kapitein, H.;91;3;7;6;8;10;12;9;5;9;10;6;2;3;1
;;5;Baarssen, J.;13;0;0;0;4;3;3;1;0;1;1;0;0;0;0
;;6;Brouwer, F.;175;21;10;20;14;11;15;15;9;16;13;12;4;7;8
;;7;Woort-Bos, H.;71;6;16;6;3;11;8;6;6;6;1;0;1;0;1
;;8;Noorloos, A.;66;1;12;8;6;1;6;9;9;1;2;0;0;4;7
;;9;Nentjes, M.;75;6;6;6;21;8;11;3;1;7;0;0;1;1;4
;;10;van Slooten, P.;19;0;3;1;1;4;0;1;2;4;3;0;0;0;0
;;11;Romkes, H.;21;0;1;3;4;4;3;1;1;2;1;0;0;1;0
;;12;Bakker, P.T.;6;1;2;0;0;0;0;1;0;2;0;0;0;0;0
;;13;Tol-van Zwol, M.L.;23;0;2;3;0;9;1;2;3;0;2;0;0;0;1
;;14;de Boer, M.;3;0;0;1;0;1;0;1;0;0;0;0;0;0;0
;;15;Hoekstra, F.;8;1;2;3;0;0;0;2;0;0;0;0;0;0;0
;;16;Kramer, H.T.;23;1;5;1;3;0;1;1;1;3;2;0;1;0;4
;;17;Schenk, L.;12;1;4;0;2;0;1;2;2;0;0;0;0;0;0
;;18;Romkes-Kramer, M.;12;1;0;0;0;0;1;0;0;5;1;1;0;1;2
;;19;Hoorn, J.;19;1;1;2;3;0;3;2;2;1;0;0;1;0;3
;;20;Post, J.A.;8;1;0;4;0;0;1;0;1;0;0;0;0;1;0
;;21;Kombrink, L.;10;0;2;0;1;0;0;0;0;5;0;0;0;2;0
;;22;Coenen, P.;19;3;2;1;2;2;2;0;0;5;2;0;0;0;0
;;23;Brouwer, L.;24;1;7;4;0;2;2;3;1;0;0;0;0;0;4
;;24;Tol, P.;8;0;0;1;2;0;2;1;0;0;0;0;0;1;1
;;25;Rustenburg, W.J.;11;0;2;1;0;0;0;2;3;0;0;1;1;0;1
;;26;Hoefnagel, J.;3;0;1;0;1;0;0;0;0;0;0;0;0;1;0
;;27;Kapitein, C.J.J.;25;6;1;0;3;0;0;2;0;3;3;2;0;3;2
;;28;Post, F.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;29;Kater, C.;5;0;2;0;0;0;0;2;0;0;0;0;1;0;0
;;30;Coenen, H.F.;14;0;0;4;0;0;3;3;0;2;0;1;1;0;0
;;31;Wierda, J.D.;5;0;0;1;0;0;1;0;1;0;1;0;0;1;0
;;32;de Jong, I.M.;10;1;0;0;0;3;3;0;0;3;0;0;0;0;0
;;33;de Ridder, J.M.C.;10;1;2;1;0;0;0;0;0;4;0;1;0;0;1
2;CDA;;;1663;196;194;106;179;125;140;134;85;128;99;44;72;68;93
;;1;Crebas, J.I.;518;53;76;30;56;39;40;38;23;34;29;18;31;18;33
;;2;Romkes-Foppen, J.;330;51;37;14;33;25;25;38;14;20;19;1;18;19;16
;;3;van de Berg, J.;118;7;10;6;22;12;15;13;9;4;2;5;4;5;4
;;4;Visscher, J.;60;5;7;8;6;6;3;3;5;3;3;3;3;0;5
;;5;Brands, P.;38;4;7;4;4;1;6;6;4;0;0;0;1;1;0
;;6;Zeeman-Hartman, P.;121;11;12;11;6;8;14;4;6;12;18;1;1;8;9
;;7;Foppen, G.L.;39;4;1;3;3;1;4;5;0;4;8;1;2;1;2
;;8;van der Sloot, M.;166;17;19;14;19;14;12;10;11;26;0;2;6;9;7
;;9;Zwaan, J.M.;59;8;7;4;7;5;7;3;2;1;4;5;1;2;3
;;10;Visscher, A.;54;12;4;4;8;1;1;4;1;7;0;4;2;2;4
;;11;Hoekstra, F.G.;12;3;0;1;0;0;0;0;0;5;0;0;0;0;3
;;12;Oost, R.;13;1;1;1;3;2;1;2;0;0;1;0;0;1;0
;;13;van der Sloot, F.F.W.;5;1;0;0;0;1;1;0;0;2;0;0;0;0;0
;;14;Romkes-ten Napel, C.;9;0;1;1;2;0;2;0;0;0;0;0;1;1;1
;;15;Posthumus, J.J.;16;4;3;0;0;0;1;3;1;2;2;0;0;0;0
;;16;Visser-Wakker, E.M.;5;0;0;0;1;0;0;1;0;1;1;0;0;0;1
;;17;Brouwer, K.;28;1;2;1;6;4;2;2;1;3;6;0;0;0;0
;;18;van Eck, J.A.;6;1;0;0;1;1;3;0;0;0;0;0;0;0;0
;;19;Foppen, W.;36;10;3;3;0;0;3;2;4;1;1;4;1;0;4
;;20;van Slooten, J.;7;0;0;0;1;0;0;0;1;1;4;0;0;0;0
;;21;Bakker, J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Molenaar, F.;4;0;0;0;0;0;0;0;2;0;0;0;1;0;1
;;23;Oost, R.T.;10;3;2;0;1;2;0;0;1;0;0;0;0;1;0
;;24;Wakker, P.;9;0;2;1;0;3;0;0;0;2;1;0;0;0;0
3;Hart voor Urk;;;1667;83;211;167;115;181;105;198;210;108;65;34;42;57;91
;;1;Koffeman, J;661;45;90;68;51;64;42;77;73;24;29;20;13;20;45
;;2;Brouwer, F A L;247;19;23;29;21;24;15;26;19;30;12;6;7;7;9
;;3;Gnodde, L;125;0;22;11;4;5;15;12;11;13;3;3;2;5;19
;;4;Kaptijn, W;41;0;5;0;8;2;0;3;2;10;0;1;4;6;0
;;5;Kramer, L;29;3;4;7;2;1;2;7;0;2;0;0;0;1;0
;;6;de Boer, A;93;0;12;8;0;14;2;12;35;3;0;0;2;3;2
;;7;Hakvoort, J;31;2;2;2;1;3;0;11;6;0;1;1;1;0;1
