Verkiezing;;Gemeenteraad Arnhem 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Arnhem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0202;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stadhuis Arnhem;Rozet;Loopvis;Buurtcentrum 't Huuske;Koepelgevangenis Arnhem;SIZA (het Dorp);Sionkerk - P.G. Filadelfia;Nederlands Watermuseum;Wijkcentrum De Bakermat;Plantsoen naast gymzaal Bauer;Gymzaal Witsen;Siza;SBO De Klaproos;Rode Kruisgebouw;Rijn IJssel (Vaksch Wageningen);Jan Ligthartschool;De Nieuwe Hommel;MFC Klarendal;Plaatsmaken;Dansschool Yasalsa;Nivon-De Wasserij;Jozef Sartoschool;Prot. Gemeente Nieuwe Kerk (vh. Opstandingskerk);Sportcentrum Valkenhuizen;MFC De  Wetering;Korfbalvereniging Oost-Arnhem;Woonzorgcentrum Vreedenhoff (Ingang Velperweg);De Parkschool;Kantine AV & AC Eendracht;Kantine HAN;Buurthuis De Overkant;MFC Presikhaven;Bethlehemkerk - C3 Rivers Church;Woonzorgcentrum Waalstaete;Wijkcentrum Symfonie;Plantsoen naast Kerkgebouw Gereformeerde Gemeente;Musis Sacrum;Bizar-Bazar in voormalige Lutherse kerk;Buurtcentrum De Lommerd;Stadskantoor;MFC De Spil;Kantine v.v. MASV;MFC De Malburcht;Kantine v.v. Arnhemia;Gymzaal Eimers/ Basisschool Mozaïek;Basisschool Het Mozaïek (gymzaal Fluitekruidstr.);Salvatorkerk;Kerkgebouw Apostolisch Genootschap Arnhem;Wijkaccommodatie Vredenburcht;SWOA De Petersborg;Jongerencentrum De Madser;Rijn IJssel Kronenburgsingel;Dorpshuis Ons Gebouw Elden;Wijkcentrum Elderveld;SWOA De Gaanderij;Wooncentrum Jan Hovingflat;Kerkgenootschap Leger des Heils;Brede School de Laar West;Sport-&Ontmoetingscentr De Laar-West;Basisschool De Laarhorst;Wijkcentrum Boerderij De Kroon;Basisschool De Lingelaar;Gemeenschapsruimte Rijkershof;Sportcentrum Rijkerswoerd;Boerderijcafé De Hooijmaat;Woongemeenschap Bloemenburcht;EBS De Rank;MFC De Salamander;MFC De Omnibus;Kantine v.v. Arnhemse Boys;MFC De Omnibus;Station, ontvangsthal Arnhem CS;Stembureau Trolleybus;Stadhuis Arnhem (maandag);SIZA (het Dorp) (maandag);Rode Kruisgebouw (maandag);Inloophuis Sint Marten (maandag);Sportcentrum Valkenhuizen (maandag);Bethlehemkerk - C3 Rivers Church (maandag);Kantine v.v. MASV (maandag);Salvatorkerk (maandag);Sport-&Ontmoetingscentr De Laar-West (maandag);Sportcentrum Rijkerswoerd (maandag);Kantine v.v. Arnhemse Boys (maandag);Stadhuis Arnhem (dinsdag);SIZA ( het Dorp ) (dinsdag);Rode Kruisgebouw (dinsdag);Sportcentrum Valkenhuizen (dinsdag);Bethlehemkerk - C3 River Church (dinsdag);Kantine v.v. MASV (dinsdag);Salvatorkerk (dinsdag);Sport-&Ontmoetingscentr De Laar-West (dinsdag);Sportcentrum Rijkerswoerd (dinsdag);Kantine v.v. Arnhemse Boys (dinsdag)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;11;12;13;14;15;16;18;19;21;22;24;25;26;29;30;32;34;35;37;38;39;42;43;44;47;49;50;51;52;53;55;58;59;60;62;64;65;67;70;71;72;74;75;76;78;79;80;81;83;85;87;88;89;90;91;92;93;94;96;97;98;99;105;115;301;306;315;318;330;344;359;367;385;391;398;401;406;415;430;444;459;467;485;491;498
Postcode;;;;;6811 DG;6811 EP;6811 LA;6812 BS;6812 CW;6813 CD;6813 EW;6814 CL;6814 JA;6813 KZ;6813 HP;6816 RP;6815 EC;6815 CD;6814 BS;6821 CK;6821 CE;6822 ET;6822 GC;6822 ET;6824 AX;6824 EG;6824 KL;6823 MA;6823 JC;6821 KX;6824 LV;6825 JA;6825 EX;6826 CC;6826 TJ;6826 HA;6826 PM;6826 BR;6828 RM;6828 VW;6811 BP;6828 AS;6828 DC;6828 HZ;6841 GD;6841 EE;6833 CE;6833 JK;6834 CZ;6832 HG;6832 AN;6835 AT;6835 CD;6835 DX;6831 EJ;6831 EX;6842 BD;6843 JM;6843 AN;6843 GW;6843 LA;6844 GA;6844 GA;6845 JE;6845 AC;6845 JE;6836 HB;6836 BK;6836 WD;6836 RG;6836 GA;6846 HR;6846 XA;6846 DX;6846 XA;6811 KL;6811 DG;6811 DG;6813 CD;6815 CD;6821 CM;6823 MA;6826 PM;6841 EE;6832 AN;6844 GA;6836 BK;6846 XA;6811 DG;6813 CD;6815 CD;6823 MA;6826 PM;6841 EE;6832 AN;6844 GA;6836 BK;6846 XA
;opgeroepenen;;;131077;2500;1700;1688;1071;1340;961;1522;1798;1735;1197;1325;1749;1097;1524;1448;1528;2010;1918;2203;2037;2146;2075;2157;2299;2578;1469;1744;2618;1583;714;1432;2256;2265;1858;1910;2217;1520;1308;2423;1878;1756;1747;2751;2170;2371;2244;2252;1602;1700;1107;1986;1028;2139;2366;1900;1428;1491;2427;2279;1673;1542;1582;2039;559;2642;2842;1217;2277;2590;2381;2188;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geldige stempas;;;54654;968;824;374;487;1242;271;477;826;1092;772;893;701;502;787;757;616;841;748;803;720;810;811;1188;684;675;807;775;739;411;356;306;729;329;591;626;815;659;459;1020;363;544;369;660;542;479;382;540;812;444;355;599;181;970;993;679;557;543;387;720;315;593;687;443;363;728;834;447;1003;739;626;647;775;287;607;255;342;221;244;207;93;251;373;333;268;927;326;426;424;268;171;440;526;451;404
;geldig volmachtbewijs;;;6274;120;75;25;34;116;44;61;93;135;74;106;90;62;92;88;53;69;80;76;99;80;82;122;85;65;115;97;52;35;41;39;140;25;90;88;84;46;31;83;37;54;61;87;91;64;80;84;93;33;47;54;16;117;150;66;53;47;58;77;40;67;89;42;50;120;135;29;149;108;113;106;51;28;1;27;33;18;35;37;16;29;43;31;28;88;39;47;49;33;28;56;45;46;57
;geldige kiezerspas;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;60929;1088;899;399;521;1358;315;538;919;1227;846;999;791;564;879;845;669;910;828;879;819;890;893;1310;769;740;922;872;791;446;397;345;869;354;681;714;899;705;490;1103;401;598;430;747;633;543;462;624;905;477;402;653;197;1087;1143;745;610;590;445;797;355;660;776;485;413;848;969;476;1152;847;739;753;826;315;608;282;375;239;279;244;109;280;416;364;296;1015;365;473;473;301;199;496;571;497;461
;geldige stembiljetten;;;60557;1074;893;395;520;1354;315;536;913;1221;844;999;790;563;874;841;668;906;829;869;813;888;888;1306;765;733;917;862;784;442;394;344;860;352;673;705;889;703;487;1090;396;597;430;740;629;535;455;619;903;471;399;643;197;1082;1137;739;606;577;444;796;352;655;773;479;411;843;966;476;1142;842;736;749;823;312;604;281;374;240;276;243;109;277;413;363;294;1011;365;471;471;301;196;495;567;493;460
;blanco stembiljetten;;;205;7;2;4;0;5;0;1;3;6;2;0;0;2;3;4;1;3;3;6;2;0;4;4;2;1;4;3;6;2;3;0;2;2;4;2;4;2;3;6;5;0;0;4;1;2;2;4;1;5;3;4;0;3;2;2;4;8;0;0;2;2;0;1;2;1;1;0;5;5;1;2;1;1;4;1;1;0;2;1;0;0;1;1;1;2;0;1;0;0;2;0;3;3;0
;ongeldige stembiljetten;;;163;7;4;0;1;0;0;1;2;0;0;0;0;0;2;0;0;1;0;4;3;1;1;0;2;7;0;7;1;2;0;1;5;0;4;7;6;0;0;7;0;2;1;2;3;6;5;1;1;1;0;6;0;2;4;4;0;5;1;1;1;3;2;5;0;4;1;0;4;1;2;2;2;2;0;0;0;0;1;0;0;0;2;0;1;4;0;1;1;0;1;0;1;1;0
