Verkiezing;;Gemeenteraad Barneveld 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Barneveld;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0203;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis ingang Oude Raadhuis;Emmaüskerk Barneveld;Appartementencomplex Rumah Maluku;Ontmoetingscentrum Bronveld;Goede Herderkerk;Openbare Basisschool De Lijster;Schaffelaartheater ingang Harmonie;Nederlands Pluimveemuseum;Voetbalvereniging SDV Barneveld;Willem van Oranjeschool;Woonzorgcentrum Elim Barneveld;Zorgcentrum Nebo;"Locatie Burgthof, PCBS ""De Fontein""";Tennisbaan De Watermolen;Veluwehal Barneveld I;Geref.Gemeente in Nederland De Hoeksteen I;Veluwehal Barneveld II;Sporthal Oosterboshal;Moluks Sociaal-cultureel Centrum Jajasan Batu Tjapeu;Dorpshuis De Belleman;Evangeliegemeente de Kandelaar;Brandweerkazerne Voorthuizen;Woon en Zorgcentrum Nieuw Avondrust;Ontmoetingscentrum De Eng;Kerkcentrum Odulf;Kerkelijk Centrum 't Kerkheem;Ichthuskerk;Kerkelijk  Centrum Bethabara I;Dorpshuis De Hofstee;Kerkelijk gebouw Eben-Haëzer;Kulturhus De Essenburcht I;Kulturhus De Essenburcht II;Dorpshuis De Wardborg;Dr. Kruimelstaete;Multifunctioneel Centrum Glindster;Sportpark Overbeek;Hervormde Kerk Kootwijk;Kerkelijk Centrum Bethabara II;"Ger. Gem. in Nederland ""De Hoeksteen"" II";Gemeentehuis ingang Oude Raadhuis;"Geref. Gemeente in Nederland ""De Hoeksteen I""";Kerkelijk Centrum Bethabara I;Kulturhus De Essenburcht;Gemeentehuis ingang Oude Raadhuis;"Geref. Gemeente in Nederland ""De Hoeksteen I""";Kerkelijk Centrum Bethabara I;Kulturhus De Essenburcht
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;101;116;128;130;201;216;228;230
Postcode;;;;;3771 ER;3771 CD;3771 GR;3772 GR;3772 BL;3772 AA;3772 KV;3771 RB;3771 RN;3773 AS;3771 VB;3771 HP;3772 TD;3772 MB;3771 CB;3772 PP;3771 CB;3771 KA;3772 KP;3785 KT;3781 TK;3781 EE;3781 GH;3781 CZ;3781 BX;3781 GA;3781 TE;3781 GE;3776 MG;3774 BN;3774 DA;3774 DA;3886 KC;3886 ME;3794 MZ;3784 WZ;3775 KP;3781 GE;3772 PP;3771 ER;3772 PP;3781 GE;3774 DA;3771 ER;3772 PP;3781 GE;3774 DA
;opgeroepenen;;;44882;979;977;1665;1219;1428;441;1312;1264;749;1311;1453;679;1379;1657;1632;2521;955;1290;1383;1163;1131;1234;1214;1253;1110;994;928;783;1249;1395;1038;1529;949;793;625;1191;267;474;1268;0;0;0;0;0;0;0;0
;geldige stempas;;;26147;867;1000;736;476;1217;167;831;718;297;1205;53;53;730;762;376;768;420;1107;246;721;697;771;38;366;517;493;205;610;678;749;526;525;512;439;345;660;178;524;745;478;411;434;126;793;617;646;314
;geldig volmachtbewijs;;;3952;113;123;89;76;144;35;133;132;75;220;3;6;128;120;75;163;58;2;32;124;94;98;0;53;37;72;28;107;139;204;129;135;93;63;60;1;18;60;151;68;60;24;22;119;125;84;57
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;30099;980;1123;825;552;1361;202;964;850;372;1425;56;59;858;882;451;931;478;1109;278;845;791;869;38;419;554;565;233;717;817;953;655;660;605;502;405;661;196;584;896;546;471;458;148;912;742;730;371
;geldige stembiljetten;;;30013;980;1121;824;546;1355;202;962;843;372;1421;53;59;857;880;449;929;476;1108;278;842;788;868;38;417;553;561;233;715;813;948;650;657;603;501;404;661;195;585;894;546;470;457;147;910;742;728;372
;blanco stembiljetten;;;34;2;0;1;0;1;0;0;2;0;4;0;0;1;1;0;0;0;1;0;1;0;1;0;2;0;2;0;0;2;0;5;3;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0
;ongeldige stembiljetten;;;51;1;2;1;6;4;0;2;5;0;0;3;0;0;1;1;2;2;0;0;1;3;0;0;0;0;2;0;1;2;2;0;0;2;0;1;0;0;1;1;0;1;1;0;1;1;1;0
;aangetroffen stembiljetten;;;30098;983;1123;826;552;1360;202;964;850;372;1425;56;59;858;882;450;931;478;1109;278;844;791;869;38;419;553;565;233;716;817;950;655;660;605;502;405;661;196;586;895;546;472;458;148;911;743;730;372
;meer stembiljetten dan toegelaten kiezers;;;9;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;1;0;1
;minder stembiljetten dan toegelaten kiezers;;;10;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1
;geen verklaring;;;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Staatkundig Gereformeerde Partij (SGP);;;8612;213;242;231;123;304;49;277;289;105;404;52;10;269;206;149;471;110;291;56;184;102;103;7;32;71;51;26;93;259;591;427;410;179;169;76;208;12;85;402;96;241;52;73;196;342;84;190
;;1;Top, J.;5803;128;156;170;86;205;43;204;205;74;257;42;9;173;137;97;316;78;215;41;121;69;55;5;16;39;30;17;67;170;413;287;264;127;115;35;141;9;62;275;64;144;28;61;130;237;60;126
;;2;de Knegt, L.;516;20;34;14;11;31;1;21;17;10;42;1;1;15;13;14;17;10;18;1;11;5;7;2;0;6;7;2;2;12;9;17;13;2;3;5;9;2;4;13;17;15;4;0;30;20;7;1
;;3;van der Tang, J.;286;8;6;2;1;7;1;13;8;6;20;4;0;6;2;6;18;3;4;3;0;1;1;0;2;2;0;1;1;10;41;22;19;8;7;0;2;0;0;10;4;8;1;3;3;5;2;15
;;4;Knapen, W.A.;190;2;3;1;3;2;0;2;2;1;9;1;0;2;1;0;7;3;3;1;2;1;2;0;0;4;0;0;2;4;49;22;21;4;2;0;0;1;5;2;1;6;0;0;0;1;5;13
;;5;Hazeleger, W.;296;8;5;16;7;14;2;5;11;2;15;1;0;8;7;4;23;4;4;3;0;3;3;0;0;0;1;1;3;8;14;14;20;3;1;3;1;0;1;27;1;19;0;4;4;20;1;5
;;6;Flier, A.;45;0;5;2;0;1;0;1;3;0;3;0;0;2;1;1;1;0;4;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;1;0;2;0;0;1;2;7;0;1;2;1;0;0
;;7;den Boon, T.;158;3;3;4;2;8;0;4;10;1;4;0;0;6;12;2;22;1;3;2;0;0;0;0;0;0;0;0;1;6;3;2;9;1;3;0;3;0;0;12;0;9;0;0;6;10;0;6
;;8;Wijnne, B.E.;129;1;2;4;6;2;0;3;1;1;1;0;0;4;5;2;11;0;9;0;6;0;3;0;1;1;0;1;0;6;4;8;6;3;0;1;14;0;0;5;1;5;0;0;4;4;1;3
;;9;Boswijk, G.W.;64;1;3;1;0;0;1;0;2;0;6;0;0;9;0;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;3;4;4;0;2;1;1;0;1;9;0;2;1;0;4;4;0;0
