Verkiezing;;Gemeenteraad Berkelland 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Berkelland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1859;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Sportaccommodatie ‘t Timpke;Sportzaal Noord;Wijkgebouw De Koppel;Dorpshuis De Zunnekamp;Dorpshoes Gelster;Kulturhus 't Stieltjen;Sportzaal bij de Kerst Zwartschool;Zwembad De Meene;OBS De Driesprong;Café-Restaurant De Tapperij;Zalencentrum de Huve;De Oude Mattheüs;Voormalige RK Basisschool De Regenboog;De Pickerhal kantine;AvB Sports / Voormalige Hemstea Kerk;Centrum d'n Hof;Sporthal de Sonders (zaal);Kulturhus Beltrum;Grote Kerk;Van Gellicumzaal;Natuurpark Kronenkamp;Sportzaal Oranjelaan;De Olde Mölle;Dorpsaccommodatie Rietmolen;Dorpshuis 't Haarhoes;De Pickerhal;Kulturhus Ruurlo;Gemeentehuis (14/3);Gemeentehuis (15/3);Zalencentrum de Huve (14/3);Zalencentrum de Huve (15/3);Natuurpark Kronenkamp (14/3);Natuurpark Kronenkamp (15/3);Kulturhus Ruurlo (14/3);Kulturhus Ruurlo (15/3)
Gebiednummer;;;;;1;2;3;4;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;47;48;49;50;51;52;53;54
Postcode;;;;;7271 AX;7271 BT;7271 XH;7271 GN;7274 AX;7275 AH;7273 SL;7261 GH;7261 HV;7261 SN;7261 BB;7151 BD;7151 BD;7151 XV;7151 BW;7152 BD;7157 AL;7156 MH;7156 MG;7161 DP;7161 CR;7161 HR;7161 CT;7161 MH;7165 AL;7161 MX;7151 BW;7261 NL;7271 AX;7271 AX;7151 BD;7151 BD;7161 HR;7161 HR;7261 NL;7261 NL
;opgeroepenen;;;36167;1196;2060;1540;1514;1085;528;581;1222;1221;1099;1335;1961;1279;1469;1414;1367;1269;1068;1286;1384;1373;1460;1361;1414;835;752;1503;1591;0;0;0;0;0;0;0;0
;geldige stempas;;;19780;700;512;693;797;669;340;405;535;206;504;651;678;464;731;518;848;701;602;849;626;529;550;608;576;471;406;483;804;322;449;334;673;285;407;337;517
;geldig volmachtbewijs;;;2184;53;46;61;93;80;43;36;53;29;79;81;83;44;55;69;91;87;66;123;57;53;69;54;72;72;46;51;94;30;44;43;82;28;40;23;54
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;21964;753;558;754;890;749;383;441;588;235;583;732;761;508;786;587;939;788;668;972;683;582;619;662;648;543;452;534;898;352;493;377;755;313;447;360;571
;geldige stembiljetten;;;21856;747;555;752;885;744;382;441;585;233;583;726;756;505;780;585;932;784;667;971;675;580;618;661;643;542;448;533;897;352;493;375;749;309;445;355;568
;blanco stembiljetten;;;65;6;3;1;4;2;0;0;2;0;0;2;2;3;4;1;4;1;1;1;5;0;0;0;4;0;3;1;1;0;0;2;5;2;2;2;1
;ongeldige stembiljetten;;;43;0;0;1;1;3;1;0;1;2;0;4;3;0;2;1;2;3;0;0;3;2;1;1;1;1;1;0;0;0;0;1;1;2;0;3;2
;aangetroffen stembiljetten;;;21964;753;558;754;890;749;383;441;588;235;583;732;761;508;786;587;938;788;668;972;683;582;619;662;648;543;452;534;898;352;493;378;755;313;447;360;571
;meer stembiljetten dan toegelaten kiezers;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;CDA;;;4826;107;78;88;141;170;117;100;90;42;116;89;127;91;140;118;192;248;478;653;69;86;76;100;85;332;57;109;129;58;95;57;166;29;45;57;91
;;1;Helmers, T.A.M.;1651;37;18;25;57;24;10;37;24;12;27;10;37;29;48;40;59;39;276;409;23;23;23;37;21;13;15;41;24;22;41;24;60;11;15;16;24
;;2;van der Neut, M.;121;1;0;0;1;2;0;1;0;0;0;1;0;0;1;0;1;3;1;3;14;18;20;26;10;1;3;0;0;1;1;1;1;1;8;0;1
;;3;van Gijssel, A.K.;272;4;0;1;0;0;1;0;33;23;25;52;0;2;1;0;0;1;0;0;0;1;0;0;1;0;0;0;61;0;3;0;0;0;1;23;39
;;4;Tenhagen-Pelle, M.M.;388;2;1;3;3;4;0;2;3;1;1;2;8;4;3;3;4;6;1;0;9;16;9;11;11;241;5;4;5;3;3;3;6;3;6;1;1
;;5;Erinkveld, W.T.M.;243;10;15;15;16;122;4;4;1;0;4;1;0;0;2;0;0;4;0;1;0;1;1;0;4;2;9;0;3;5;14;0;2;1;0;2;0
