Verkiezing;;Gemeenteraad Beuningen 2022;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Beuningen;;;;;;;;;;;;;;;;;;;;
Nummer;;0209;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeetehuis Beuningen;Tennisclub De Linden;Droom! Beuningen;Scouting Beuningen '76;Korfbalvereniging NAS;Voetbalvereniging Ewijk;MFA 't Hart Ewijk;Dorpshuis De Kloosterhof;Muziekcentrum ULTO;Scouting Sint Andriesgroep Weurt;Dorpshuis De Lèghe Polder;Sporthal De Tinnegieter;Ontmoetingscentrum De Paulus;Theater de Molen Beuningen;Gemeentehuis Beuningen Early Voting maandag;Ontmoetingscentrum De Paulus Early Voting maandag;Gemeentehuis Beuningen Early Voting dinsdag;Ontmoetingscentrum De Paulus Early Voting dinsdag
Gebiednummer;;;;;1;3;4;5;6;7;8;9;10;11;12;13;15;20;101;115;201;215
Postcode;;;;;6641 AE;6641 KH;6641 SZ;6551 DR;6641 TZ;6644 CH;6644 EA;6551 EB;6645 AD;6551 ZZ;6641 DC;6641 DH;6645 BT;6641 BK;6641 AE;6645 BT;6641 AE;6645 BT
;opgeroepenen;;;21348;1186;1186;1186;1186;1186;1186;1186;1186;1186;1186;1186;1186;1186;1186;1186;1186;1186;1186
;geldige stempas;;;9514;554;626;734;550;294;448;787;639;219;269;1005;905;479;292;532;148;776;257
;geldig volmachtbewijs;;;1158;81;94;114;61;36;67;106;65;24;28;92;109;49;30;73;11;88;30
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;10672;635;720;848;611;330;515;893;704;243;297;1097;1014;528;322;605;159;864;287
;geldige stembiljetten;;;10598;631;717;843;606;328;512;883;697;243;295;1088;1003;525;320;602;159;861;285
;blanco stembiljetten;;;45;0;1;1;5;1;2;5;3;0;2;5;9;3;2;4;0;2;0
;ongeldige stembiljetten;;;28;3;2;4;0;1;0;5;4;0;0;3;2;0;0;1;0;1;2
;aangetroffen stembiljetten;;;10671;634;720;848;611;330;514;893;704;243;297;1096;1014;528;322;607;159;864;287
;meer stembiljetten dan toegelaten kiezers;;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;3;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;4;1;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Beuningen Nu & Morgen;;;2924;172;190;153;109;101;167;242;279;80;80;299;258;205;86;141;47;209;106
;;1;Cobussen, PJW;986;59;72;52;36;37;77;124;54;22;15;120;94;38;41;44;15;65;21
;;2;van Ewijk, ELM;167;7;7;2;5;7;10;10;8;11;3;3;11;32;2;8;10;10;21
;;3;van Aalten, HGM;388;26;39;38;22;10;4;13;13;4;1;66;58;2;20;21;0;50;1
;;4;Bannink, NPJ;326;12;19;9;4;6;6;5;135;0;45;18;23;3;3;13;1;23;1
;;5;Groenen, GJP;115;6;4;2;2;4;13;28;4;3;2;11;11;7;0;7;3;6;2
;;6;Stevens, MHM;202;2;2;8;0;1;2;9;2;24;0;4;6;88;3;2;11;2;36
;;7;Arians, RA;79;7;12;18;5;5;0;0;2;0;0;7;5;1;2;5;0;9;1
;;8;Engelen, FJM;95;6;7;6;1;5;25;17;1;4;1;5;0;0;0;5;2;9;1
;;9;Mars, FD;16;1;1;2;3;0;0;0;0;0;0;1;4;0;1;1;0;2;0
;;10;Kersten, JGTM;21;0;0;1;1;0;6;6;0;1;0;2;2;0;1;0;0;1;0
;;11;Janssen, JJM;72;3;5;2;8;3;1;2;6;0;0;10;14;2;3;11;0;2;0
;;12;Wattenberg, FGWM;17;0;0;0;0;0;0;0;0;0;0;5;1;6;0;0;2;0;3
;;13;Prudon, M;14;9;0;0;2;0;0;0;0;0;0;0;0;0;0;3;0;0;0
