Verkiezing;;Gemeenteraad Buren 2022;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Buren;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0214;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Dorpshuis  Erichem;Dorpshuis  't Ecksternest;Dorpshuis De Hoekenburg Rijswijk;Dorpshuis De Rozenhoek Ravenswaaij;Dorpshuis Kerk-Avezaath;Dorpshuis de Oude School Zoelen;Dorpshuis 't Zoetzand  Beusichem;Gemeentehuis Maurik;Kerk Zoelmond;Het Gildehuis;Meentschool Ommeren;O.b.s. Prins Willem-Alexander;Dorpshuis Asch;"Dorpshuis ""In de Gaard"" Ingen";Zaal Torenzicht Lienden;Dorpshuis 't Klokhuis Maurik;De Prinsenhof Buren;Gemeentehuis Maurik (14 maart);Gemeentehuis Maurik (15 maart);Zaal Torenzicht Lienden (14 maart);Zaal Torenzicht Lienden (15 maart);De Prinsenhof Buren (14 maart);De Prinsenhof Buren (15 maart)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
Postcode;;;;;4117 GJ;4024 HM;4023 AV;4119 LW;4012 BC;4011 EM;4112 JL;4021 VZ;4111 KV;4033 GP;4032 NA;4112 JT;4115 RT;4031 MB;4033 EC;4021 VC;4116 GG;4021 VZ;4021 VZ;4033 EC;4033 EC;4116 GG;4116 GG
;opgeroepenen;;;22005;1353;1324;415;547;1185;1434;1420;1938;733;1973;1536;1002;323;1713;1745;1979;1385;0;0;0;0;0;0
;geldige stempas;;;10033;372;613;220;279;584;576;956;734;336;749;504;280;159;630;648;378;619;205;303;162;361;167;198
;geldig volmachtbewijs;;;1565;55;97;30;40;76;93;128;130;36;128;111;33;24;108;121;50;111;31;41;16;65;15;26
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;11598;427;710;250;319;660;669;1084;864;372;877;615;313;183;738;769;428;730;236;344;178;426;182;224
;geldige stembiljetten;;;11550;425;707;247;318;655;665;1077;863;371;875;612;311;182;735;768;424;729;236;343;178;426;180;223
;blanco stembiljetten;;;27;0;2;1;0;3;1;6;0;1;0;0;2;0;3;2;2;1;0;0;0;0;2;1
;ongeldige stembiljetten;;;24;2;1;2;1;2;3;2;1;0;2;4;0;1;0;0;2;0;0;1;0;0;0;0
;aangetroffen stembiljetten;;;11601;427;710;250;319;660;669;1085;864;372;877;616;313;183;738;770;428;730;236;344;178;426;182;224
;meer stembiljetten dan toegelaten kiezers;;;3;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Gemeentebelangen Buren;;;4254;122;267;85;122;278;236;379;391;109;344;208;103;54;283;236;229;214;110;154;61;141;63;65
;;1;van Alfen, S.;1698;56;89;41;39;98;117;97;107;23;202;113;27;18;157;130;66;69;36;47;39;74;26;27
;;2;Keller, G.J.;433;3;34;8;1;5;10;7;154;2;5;5;4;2;11;4;77;7;30;56;0;5;2;1
;;3;Bult, D.J.;34;0;0;1;2;0;0;1;0;0;15;3;0;0;4;3;0;1;1;0;1;1;1;0
;;4;van Droffelaar, G.;71;1;5;0;4;2;5;2;2;2;11;4;0;0;4;6;10;1;1;2;3;5;1;0
;;5;van Laar, W.T.;89;0;5;0;0;3;6;1;6;0;15;8;0;0;9;12;2;0;3;0;2;16;1;0
;;6;van Zetten, G.J.D.;110;4;0;1;0;71;11;11;0;0;0;3;0;0;2;1;0;4;0;2;0;0;0;0
;;7;de Koning, L.M.;220;0;1;1;9;0;0;149;1;15;0;0;39;1;0;0;1;1;0;0;0;0;2;0
;;8;Molleman, P.A.;18;0;2;0;1;0;1;1;4;1;0;0;0;0;1;0;2;0;2;3;0;0;0;0
;;9;Lammers, J.W.;129;20;0;0;0;2;7;1;0;0;0;0;1;11;1;0;0;56;0;2;0;0;10;18
;;10;Arends, A.;60;0;2;1;0;0;0;1;1;0;11;14;0;3;10;10;0;0;0;1;2;4;0;0
;;11;van Verseveld, C.;38;0;1;0;1;0;0;1;1;0;8;3;1;0;3;7;3;0;0;0;6;3;0;0
;;12;Hoek, G.W.;245;6;14;1;7;10;14;24;28;4;11;10;14;8;13;10;8;15;9;23;2;6;2;6
;;13;Opić, S.A.;24;0;2;0;0;0;0;0;6;0;0;0;0;0;1;2;7;1;1;4;0;0;0;0
;;14;van Gessel - Maasland, C.P.;98;1;6;3;1;4;5;3;19;2;5;2;1;0;2;7;14;4;6;8;0;4;1;0
;;15;Moree, L.W.;47;1;1;0;1;1;0;1;19;0;0;1;0;0;2;1;10;3;3;3;0;0;0;0
;;16;Syrko Zaaijer, A.;19;0;1;0;0;1;1;0;0;0;1;9;0;1;0;3;0;0;2;0;0;0;0;0
;;17;van Wijk, C.;54;0;26;1;5;2;3;1;3;0;2;0;0;0;1;2;6;0;0;0;0;2;0;0
;;18;van Oostrom, F.J.M.;30;1;1;0;3;1;0;2;0;15;0;0;1;0;0;0;0;5;0;0;0;0;0;1
;;19;Schot - Verweij, A.J.;134;4;0;0;10;0;3;58;0;36;1;0;10;4;1;0;0;3;0;0;0;0;2;2
;;20;van Mourik, J.C.;58;3;0;0;1;48;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0
;;21;Quint, A.;69;0;32;18;5;3;1;3;1;0;1;0;0;0;0;1;0;0;3;0;0;1;0;0
;;22;Groenenboom, P.;59;13;0;0;1;1;8;2;0;0;2;0;0;0;1;2;1;18;1;0;0;0;6;3
;;23;van Abeelen, N.A.A.C.M.;35;0;13;0;0;0;0;0;8;0;1;1;0;0;6;0;1;0;2;1;0;2;0;0
;;24;Maier, K.A.;60;2;3;0;0;0;3;0;3;0;18;6;0;0;6;10;0;0;1;0;3;5;0;0
;;25;de Vor - Verkuijl, C.A.E.;43;0;0;3;31;0;0;1;6;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;26;Jansen, J.;67;1;2;1;0;6;29;0;9;0;2;2;0;1;1;3;4;3;1;0;0;0;0;2
;;27;van den Hurk, P.A.J.M.;25;0;1;2;0;6;6;2;1;1;0;1;1;0;2;0;0;0;0;1;0;1;0;0
;;28;Kleinschmidt, G.;5;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0
;;29;Skukan, A.R.;30;1;1;0;0;0;0;0;1;0;8;4;0;0;1;8;0;1;1;0;1;3;0;0
;;30;Lammers, R.;26;4;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;15;0;0;0;1;1;2
;;31;van Ewijk, J.;26;0;2;1;0;0;1;0;1;0;3;7;0;0;4;4;2;0;0;0;0;1;0;0
;;32;van Ommeren, W.J.D.;34;0;1;0;0;0;0;0;0;0;0;2;0;0;29;0;0;0;0;0;0;2;0;0
;;33;van Doorn, W.C.;22;0;16;1;0;0;0;0;1;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0
;;34;van Seijda, A.H.;8;0;0;0;0;0;0;0;1;0;3;2;0;0;0;2;0;0;0;0;0;0;0;0
;;35;van Leeuwen, J.F.;8;0;0;0;0;0;0;0;0;0;6;1;0;0;0;1;0;0;0;0;0;0;0;0
;;36;Schot, H.O.;20;1;2;0;0;0;0;8;0;6;0;0;2;0;0;0;0;0;1;0;0;0;0;0
;;37;Schlegel, J.;5;0;0;0;0;0;0;0;0;0;0;2;0;0;3;0;0;0;0;0;0;0;0;0
;;38;van Eck, J.A.;23;0;0;0;0;0;4;0;2;0;2;2;0;0;1;5;1;0;3;0;0;3;0;0
;;39;Hendrikx, J.R.;13;0;0;0;0;12;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;40;Bult - Riemsdijk, D.C.;13;0;0;0;0;1;0;0;0;0;5;2;0;0;3;0;1;0;0;0;0;1;0;0
;;41;van Kuilenburg, W.;14;0;1;0;0;0;0;0;3;0;0;1;0;0;0;0;7;0;1;0;0;0;0;1
;;42;Ligua, R.;10;0;0;0;0;0;0;0;1;0;3;0;0;0;0;2;2;1;0;0;0;1;0;0
;;43;Verheij, A.;12;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;4;0;0;0;0;3;2
;;44;Mawo, H.;18;0;2;1;0;1;1;1;1;0;2;0;0;2;0;0;3;1;0;1;2;0;0;0
2;VVD;;;1406;52;94;25;43;89;92;153;108;44;100;86;40;23;96;54;42;85;23;35;21;42;30;29
;;1;van Vierssen, H.N.;586;22;40;7;22;46;38;52;42;24;36;30;19;14;50;13;15;44;11;12;8;18;10;13
;;2;van Blijderveen, J.K.;214;2;10;1;4;11;11;6;11;3;45;22;1;1;22;18;2;6;2;4;8;16;1;7
;;3;Hullekes, R.B.C.H.;46;0;0;0;0;4;3;4;2;0;1;15;0;1;1;7;0;0;3;0;3;2;0;0
;;4;Tetteroo, I.P.;176;6;7;7;4;11;18;11;28;4;2;8;1;0;10;6;15;10;3;11;2;3;5;4
;;5;Joosting, G.C.;27;0;1;0;1;0;0;0;1;0;15;4;0;0;2;3;0;0;0;0;0;0;0;0
;;6;Timmers, G.;32;3;13;0;0;2;0;0;3;0;1;0;0;3;1;2;0;2;0;1;0;1;0;0
;;7;Schipper, J.W.;63;3;6;6;0;2;2;7;11;0;0;1;0;1;5;0;7;2;3;5;0;0;1;1
;;8;de Jong, S.T.;150;1;0;1;11;6;7;67;2;12;0;5;19;0;1;0;0;9;1;0;0;1;5;2
;;9;Schimmel, A.J.;50;5;17;1;0;4;5;1;7;0;0;0;0;0;1;4;3;0;0;1;0;1;0;0
;;10;Christoffel, I.;62;10;0;2;1;3;8;5;1;1;0;1;0;3;3;1;0;12;0;1;0;0;8;2
3;Protestants Christelijke Groepering;;;1585;73;49;12;24;32;43;67;64;31;253;170;17;21;86;326;13;64;7;18;48;143;2;22
;;1;Zaaijer, H.;695;28;22;8;13;18;20;25;35;17;104;87;12;12;34;117;5;30;1;14;20;59;2;12
;;2;van de Bijl, C.;290;10;14;1;1;6;11;4;11;4;52;39;0;2;33;60;2;5;0;3;3;24;0;5
;;3;de Lange, C.;104;0;3;0;1;1;0;1;0;0;20;16;0;0;5;33;0;0;0;0;3;21;0;0
