Verkiezing;;Gemeenteraad Doetinchem 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Doetinchem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stadhuis;Gymzaal Terborgseweg;OC De Daele;Het Trommelslag;OBS Hogenkamp;Speeltuin Schoneveld;OC De Achterhoek;MFA De Zonneboom;Bs te IJzevoorde;Gymzaal Ottawastraat;OBS Hagen;IKC Het Noorderlicht;OR Gereformeerde Gemeente;Sporthal De Pol A;Sporthal De Pol B;OBS Wis en Wierig;BS OCTA;OBS De Huet;Waterschapsgebouw;Sporthal De Bongerd A;Sporthal De Bongerd B;IKC Plattenburg;KC De Wingerd;Stadsmuseum en Borghuis;vv VIOD;App Waterrijk;Het Raadhuis;VG Ons Huis;DA De Horst;SO Isselborgh;Brandweer Wehl;BS Dichterbij;Stadhuis ma;Waterschapsgebouw ma;Het Raadhuis ma;Sporthal De Pol ma;OR Gereformeerde Gemeente ma;MFA De Zonneboom ma;KC De Wingerd ma;vv VIOD ma;Stadhuis di;Waterschapsgebouw di;Het Raadhuis di;Sporthal De Pol di;OR Gereformeerde Gemeente;MFA De Zonneboom di;KC De Wingerd di;vv VIOD di
Gebiednummer;;;;;1;2;3;4;5;6;8;9;10;11;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;40;41;42;43;44;45;46;47;50;51;52;53;54;55;56;57
;opgeroepenen;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geldige stempas;;;20995;1245;222;750;478;431;920;131;826;292;340;601;313;523;641;644;194;274;462;590;549;232;728;581;531;428;612;569;876;449;230;293;358;490;184;179;252;153;134;423;147;641;243;253;396;175;207;559;246
;geldig volmachtbewijs;;;2070;124;29;78;42;0;62;15;84;43;28;85;27;63;70;69;22;43;39;52;62;25;47;48;42;47;65;68;104;46;24;32;47;46;15;24;18;16;14;40;11;56;22;29;44;16;24;38;25
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;23065;1369;251;828;520;431;982;146;910;335;368;686;340;586;711;713;216;317;501;642;611;257;775;629;573;475;677;637;980;495;254;325;405;536;199;203;270;169;148;463;158;697;265;282;440;191;231;597;271
;geldige stembiljetten;;;22977;1356;249;822;514;427;979;146;906;335;365;684;337;583;710;711;216;316;501;640;610;256;774;626;570;473;676;637;977;493;253;323;405;534;199;201;270;169;148;461;157;696;264;281;439;191;231;595;271
;blanco stembiljetten;;;45;7;0;4;2;1;1;0;2;0;2;2;3;2;0;1;0;1;0;1;0;1;0;2;2;1;0;0;1;1;1;1;0;2;0;0;0;0;0;2;0;1;0;1;0;0;0;0;0
;ongeldige stembiljetten;;;40;6;2;1;4;3;2;0;2;0;1;0;0;1;1;1;0;0;0;1;1;0;1;1;0;1;1;0;2;1;0;1;0;0;0;2;0;0;0;0;1;0;1;0;1;0;0;1;0
;aangetroffen stembiljetten;;;23062;1369;251;827;520;431;982;146;910;335;368;686;340;586;711;713;216;317;501;642;611;257;775;629;572;475;677;637;980;495;254;325;405;536;199;203;270;169;148;463;158;697;265;282;440;191;231;596;271
;meer stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
