Verkiezing;;Gemeenteraad Duiven 2022;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Duiven;;;;;;;;;;;;;;;;;;;;
Nummer;;0226;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Woonzorgcentrum Thuvine;Huis van Droo;Dorpshuis Groessen;Kantine sportvereniging Loo;Cultuurcentrum de Ogtent;Kantine Tennis Centre Duiven;Seniorensoos het Palet;Gebouw Liemers Harmonie;Basisschool het klokhuis;De Wijkern;Basisschool de Toermalijn;Sportcentrum Triominos;Gemeentehuis (2);Triominos maandag;Triominos dainsdag;gemeentehuis maandag;gemeentehuis dinsdag
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
Postcode;;;;;6921 ES;6921 AR;6921 WJ;6923 BD;6924 AE;6921 BL;6921 JL;6921 MJ;6921 MJ;6922 BD;6922 ER;6922 NP;6922 JB;6921 ES;6922 JB;6922 JB;6921 ES;6921 ES
;opgeroepenen;;;20361;2291;2033;1232;1654;935;1558;1963;1663;1444;1695;1690;1344;859;0;0;0;0;0
;geldige stempas;;;8906;686;581;327;828;474;234;657;756;246;616;661;506;325;573;207;280;360;589
;geldig volmachtbewijs;;;986;88;49;36;105;57;28;73;62;22;70;66;50;45;87;16;23;31;78
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;9892;774;630;363;933;531;262;730;818;268;686;727;556;370;660;223;303;391;667
;geldige stembiljetten;;;9834;765;624;363;926;529;261;730;814;267;682;723;550;368;654;222;303;389;664
;blanco stembiljetten;;;38;4;5;0;6;0;1;0;3;1;2;3;5;1;4;1;0;0;2
;ongeldige stembiljetten;;;20;5;1;0;1;2;0;0;1;0;2;1;1;1;2;0;0;2;1
;aangetroffen stembiljetten;;;9892;774;630;363;933;531;262;730;818;268;686;727;556;370;660;223;303;391;667
;meer stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Lokaal Alternatief;;;2267;138;117;59;508;213;51;143;165;62;129;112;96;71;104;42;50;59;148
;;1;Tiedink-Koning, G.M.;1392;63;82;34;297;165;30;80;99;42;77;71;67;38;53;29;35;43;87
;;2;van Brandenburg, W.A.P.;164;15;9;5;16;11;4;8;23;3;10;12;8;3;11;0;3;6;17
;;3;Meijer-Uffing, S.H.C.;249;11;5;4;124;17;4;13;8;7;4;9;6;14;5;4;5;1;8
;;4;Nass-Bellers, A.T.M.;93;2;2;4;37;12;0;5;4;1;3;9;2;2;1;0;2;2;5
;;5;Zwaga-Komen, J.V.;97;17;7;5;5;0;8;10;6;1;6;2;2;4;11;5;0;0;8
;;6;den Balvert, J.C.W.H.;47;3;6;2;9;0;0;2;2;4;4;2;1;2;2;0;3;1;4
;;7;Looijs, R.;38;4;1;1;1;2;2;0;7;3;0;1;3;1;6;0;0;0;6
;;8;Veraart, C.A.;49;2;0;1;4;2;0;4;1;0;17;1;1;2;3;3;1;5;2
;;9;Siegers, J.G.;22;4;1;1;0;1;1;3;4;1;3;1;0;2;0;0;0;0;0
;;10;Siegers, W.;13;0;0;1;0;0;0;2;2;0;1;1;1;0;0;1;0;1;3
;;11;Fortuin, H.J.M.;12;0;0;0;3;0;0;1;0;0;0;1;2;1;0;0;0;0;4
;;12;Smeenge, H.G.;9;4;0;1;1;0;0;0;0;0;2;0;0;0;1;0;0;0;0
;;13;Ecoma Verstege, N.J.C.;30;2;2;0;0;0;0;14;2;0;0;2;1;2;3;0;1;0;1
;;14;Bloemberg, P.J.;13;0;0;0;7;1;1;1;2;0;0;0;1;0;0;0;0;0;0
;;15;van Mook, D.L.P.M.;39;11;2;0;4;2;1;0;5;0;2;0;1;0;8;0;0;0;3
2;VVD;;;1137;98;78;17;54;94;26;127;76;22;70;89;90;37;88;26;36;37;72
;;1;Schrijner, G.J.C.;524;44;39;10;27;15;12;64;37;11;43;43;44;15;36;17;13;20;34
;;2;Holtus, M;73;10;14;0;3;0;1;7;4;3;1;5;1;7;7;1;4;0;5
;;3;van den IJssel, E.H.;23;3;1;0;0;0;2;1;4;1;6;1;1;0;0;0;1;1;1
;;4;Schrijner, M.G.;150;9;8;3;7;6;2;13;13;2;7;15;19;4;21;2;5;7;7
;;5;Nijland, H.;93;8;7;1;1;1;4;16;6;0;2;13;4;0;12;3;4;2;9
;;6;Struker, S.W.H.;87;3;1;1;6;59;0;6;1;0;1;2;3;1;1;0;2;0;0
;;7;de Valois, A.M.;80;6;4;2;4;8;4;8;3;2;5;6;6;6;5;1;6;2;2
;;8;Wieseman, J.B.H.;58;11;3;0;2;1;1;5;4;1;2;3;2;2;5;1;1;5;9
;;9;Spaargaren, T.J.;49;4;1;0;4;4;0;7;4;2;3;1;10;2;1;1;0;0;5
3;CDA;;;1414;111;111;46;166;76;25;93;129;33;72;118;72;43;85;32;39;65;98
;;1;Goossen, J.;720;57;60;24;59;43;16;43;73;19;33;61;43;17;44;18;18;41;51
;;2;Stam, N.J;61;7;9;5;0;0;0;0;5;1;2;6;1;6;2;1;5;3;8
;;3;Wolters, A.C.P;164;7;6;2;64;5;3;19;11;0;7;10;3;4;8;2;4;2;7
;;4;van der Steen, J.T.;47;7;3;1;0;1;0;5;4;0;2;5;4;3;3;1;2;3;3
;;5;Albers, H.J.M.;24;3;2;0;1;3;0;2;3;0;0;1;4;0;3;0;0;1;1
;;6;Koning, C.M.M.;59;1;6;1;26;1;0;1;1;0;6;3;0;1;3;2;0;4;3
;;7;Blomsma, M.J.;72;5;10;2;3;0;0;9;8;2;4;5;6;3;5;2;1;0;7
;;8;Veurink, A.J.L.;45;2;3;1;0;1;3;5;5;1;2;5;4;2;2;3;3;1;2
;;9;Hekkelman, N.;22;3;1;3;1;0;1;2;0;0;2;2;0;1;3;3;0;0;0
;;10;van der Kroon, E.;38;3;1;0;0;15;0;0;3;0;0;3;1;1;5;0;1;0;5
;;11;Kuster, E.G.;16;0;0;0;11;0;1;1;1;1;1;0;0;0;0;0;0;0;0
;;12;Blokzijl, R.J.;34;0;0;6;0;2;0;2;2;0;7;8;4;2;0;0;0;0;1
;;13;Boschker, J.;25;4;3;0;0;0;0;1;2;0;2;4;1;1;2;0;0;3;2
;;14;Jansen, P.R.G.;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;15;Bisseling, J.B.A.;22;5;0;0;1;1;0;0;1;2;0;2;0;1;4;0;0;2;3
;;16;Gibcus, A.J.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
;;17;Le Blanc, J.P.M.;4;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;18;Kersten, W.J.T.;10;0;3;0;0;0;0;0;0;4;3;0;0;0;0;0;0;0;0
;;19;van de Water, C.J.;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;20;Bouwmeester, A.W.M.;10;1;0;0;0;1;1;2;1;0;0;0;0;0;1;0;0;0;3
;;21;Polman, T.J.T.M.;2;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
;;22;van Onna, B.A.H.;9;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;2;0;0
;;23;Koopmans, P.P.;9;2;0;0;0;3;0;1;0;0;0;0;1;0;0;0;2;0;0
;;24;Jansen-Bisschop, C.W.H.M.;14;0;3;0;0;0;0;0;1;2;1;2;0;1;0;0;0;3;1
4;GROENLINKS;;;1041;77;57;38;37;38;24;85;82;27;97;88;61;69;100;24;26;47;64
;;1;de Jonghe, M.;419;30;20;20;15;17;6;30;41;16;40;30;34;18;35;12;12;20;23
;;2;van der Mast, E.B.;256;23;17;10;9;5;13;15;20;6;16;24;13;16;29;4;9;10;17
;;3;de Groot, F.;141;10;9;7;4;7;0;6;8;2;16;16;7;17;11;1;4;7;9
;;4;Aaij, B.M.;16;0;6;0;0;1;0;0;0;0;2;2;1;0;0;0;0;0;4
;;5;Oldenkamp, R.K.;21;2;0;0;0;1;0;4;1;0;1;0;1;2;3;0;0;4;2
;;6;Reesink-Ramaker, A.M.;77;4;0;1;1;0;1;24;3;0;4;1;3;7;12;5;1;6;4
;;7;Ordelman-Hodžić, J.;50;0;3;0;5;7;3;2;1;0;12;7;0;1;5;0;0;0;4
;;8;Zuiderhoek, M.I.;14;2;2;0;0;0;1;0;1;0;2;2;1;2;0;0;0;0;1
;;9;Feenstra, S.;22;2;0;0;2;0;0;3;6;0;2;3;0;2;1;1;0;0;0
;;10;Baltjes, C.R.;25;4;0;0;1;0;0;1;1;3;2;3;1;4;4;1;0;0;0
5;D66;;;489;36;19;32;21;13;19;40;34;8;38;48;33;33;35;10;25;15;30
;;1;Egtberts, J.W.;249;18;14;16;12;10;11;26;14;6;19;30;15;10;11;2;8;6;21
;;2;Pol, E.D.;29;4;0;1;1;0;1;2;2;0;2;4;3;0;4;0;1;4;0
;;3;Akrimi-Kemperman, N.;181;11;4;14;7;3;7;10;17;2;12;10;14;22;13;7;14;5;9
;;4;Raaphorst, S.;9;3;0;0;1;0;0;2;0;0;0;1;0;0;1;1;0;0;0
;;5;de Goeijen, G;13;0;0;1;0;0;0;0;1;0;4;2;1;1;3;0;0;0;0
;;6;Kitzen, G.J.A.C.;8;0;1;0;0;0;0;0;0;0;1;1;0;0;3;0;2;0;0
6;Pro Duiven;;;536;38;39;34;7;13;11;31;65;31;38;34;47;13;35;19;26;21;34
;;1;Smit, W.F.;333;24;25;17;7;7;7;22;46;16;25;23;29;7;22;11;16;8;21
;;2;Meijer, C.;109;6;7;8;0;3;3;4;11;7;11;8;12;1;8;5;4;6;5
;;3;Meijer, P.;19;0;3;0;0;0;0;0;4;3;0;1;2;1;1;0;2;0;2
;;4;Hartemink, R.;13;0;1;1;0;2;1;0;1;1;0;0;1;2;2;0;0;0;1
;;5;Smit, L.M.B.;16;2;1;1;0;1;0;3;2;2;1;2;0;0;0;0;1;0;0
;;6;Rutjes, J.J.W.;13;0;1;1;0;0;0;2;0;0;0;0;2;0;1;2;0;2;2
;;7;Hueting, M.A.;16;3;1;4;0;0;0;0;1;1;0;0;0;0;1;0;0;3;2
;;8;Nooijen, B.W.A.;12;2;0;1;0;0;0;0;0;1;1;0;1;1;0;1;2;1;1
;;9;Hueting, J.H.;5;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0
