Verkiezing;;Gemeenteraad Ede 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Ede;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0228;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Het Raadhuis, Hoofdingang;Stembureau Bethanië, Ingang kerkzaal;Stembureau Pannenkoekenhuis de Langenberg;Stembureau Vilente Sint Barbara;Stembureau De Doelen;Stembureau Petrakerk;Stembureau Cultura;Stembureau de Proosdijkerk (aan de rotonde);Stembureau Buurtcentrum De Kolk;Stembureau Speeltuin De Korenbloem;Stembureau Verzorgingshuis Het Maanderzand;Stembureau De Gelderhorst;Stembureau Kerkelijk Centrum Emmaüs;Stembureau Vilente De Pleinen;Stembureau De Ark;Stembureau Wijkcentrum De Velder;Stembureau De Open Hof;Stembureau Het Kernhuis;Stembureau Bethelkerk;Stembureau Koepelschool;Stembureau Dulon College/ROC-A12;Stembureau 't Kerkheem;Stembureau Walraven;Stembureau De Brink;Stembureau Sporthal Soetendaal;Stembureau Tennisvereniging Keltenwoud;Stembureau de School met de Bijbel;Stembureau De Honskamp;Stembureau Westhoffhuis;Stembureau Buurtcentrum De Schakel;Stembureau Tennis Club Lunteren;Stembureau Nederwoudschool;Stembureau Basisschool De Valk;Stembureau Dorpshuis De Zicht;Stembureau Dorpscentrum De Nieuwe Spil;Stembureau Kulturhus Wekerom;"Stembureau 's Heeren Loo ""Het Hart""";Stembureau Dorpshuis De Aanloop;Stembureau NS-station Ede-Wageningen;Stembureau Het Raadhuis;Stembureau Pannenkoekenhuis de Langenberg;Stembureau Pathé Ede;Stembureau De Ark;Stembureau Het Kernhuis;Stembureau 't Kerkheem;Stembureau Westhoffhuis;Stembureau Dorpshuis De Zicht;Stembureau Dorpscentrum De Nieuwe Spil;Stembureau Kulturhus Wekerom;Stembureau Dorpshuis De Aanloop;Stembureau Het Raadhuis;Stembureau Pannenkoekenhuis de Langenberg;Stembureau Pathé Ede;Stembureau De Ark;Stembureau Het Kernhuis;Stembureau 't Kerkheem;Stembureau Westhoffhuis;Stembureau Dorpshuis De Zicht;Stembureau Dorpscentrum De Nieuwe Spil;Stembureau Kulturhus Wekerom;Stembureau Dorpshuis De Aanloop;Stembureau Sporthal Kernhem;Stembureau Pathé;Stembureau Kerkelijk Centrum Emmaüs;Stembureau Gymzaal Enka;Stembureau Dulon College/ROC-A12;Stembureau Ericakerk;Stembureau Sportzaal Koning Davidschool;Stembureau Zaal Sint-Antonius van Paduakerk;Stembureau Luthers Gemeentecentrum;Stembureau Schaapskooi de Maanderbuurt;Stembureau Dependance CNS De Vuursteen (gymzaal);Stembureau Sporthal Kernhem;"Stembureau ""Eigen Gebouw""";Stembureau Gymzaal Bettekamp;Stembureau Beatrixkerk;Stembureau Pathé Ede;Stembureau Gymzaal Blijdestein;Stembureau Ontmoetingskerk;Stembureau De Stek;Stembureau Gymzaal Essenburg;Stembureau Gymzaal Enka;Stembureau Gymzaal Verlengde Parkweg;Stembureau Cami & Moskee;Stembureau Sportzaal Maandereng;Stembureau Sionskerk;Stembureau Gymzaal Platanenlaan;Stembureau Boerderij Hoekelum, locatie de Barg;Stembureau De Broek-Akker;Stembureau Sportzaal Kerkhoflaan;Stembureau Maranathakerk;Stembureau Stichting Ana-Upa;Stembureau Voetbalvereniging Advendo '57;Stembureau Hervormd Centrum Het Anker;Stembureau De Waldhoorn
Gebiednummer;;;;;1;2;3;4;5;7;12;13;14;15;16;17;18;20;23;24;26;29;30;33;36;40;43;45;46;47;49;50;52;53;55;58;59;60;71;80;89;90;98;101;103;117;123;129;140;152;160;171;180;190;201;203;217;223;229;240;252;260;271;280;290;409;417;418;431;436;801;802;804;805;806;808;809;810;811;816;817;820;821;823;826;831;833;834;835;841;842;843;845;850;851;853;860;870;890
Postcode;;;;;6711 DD;6711 JK;6711 HJ;6711 NT;6711 DE;6718 WB;6711 AW;6713 AG;6713 BA;6713 DW;6713 MG;6716 RK;6716 JE;6714 DH;6715 JM;6715 EC;6715 AJ;6714 GN;6717 KD;6717 AS;6717 LG;6721 EZ;6721 PG;6721 WR;6721 ZK;6721 MR;6721 NP;6741 AA;6741 AL;6741 WV;6741 ZG;6741 NE;6741 GK;6744 WJ;6732 BL;6733 AV;6733 SC;6731 BD;6711 PN;6711 DD;6711 HJ;6716 JE;6715 JM;6714 GN;6721 EZ;6741 AL;6744 WJ;6732 BL;6733 AV;6731 BD;6711 DD;6711 HJ;6716 JE;6715 JM;6714 GN;6721 EZ;6741 AL;6744 WJ;6732 BL;6733 AV;6731 BD;6718 MM;6716 JE;6716 JE;6717 XR;6717 LG;6711 MZ;6711 JD;6711 PZ;6711 NC;6716 SC;6718 EB;6718 MM;6712 EG;6712 DR;6713 PT;6716 JE;6714 DA;6714 CA;6713 GX;6714 EN;6717 XR;6717 GL;6717 AD;6717 SE;6721 EJ;6721 CJ;6721 KE;6721 TN;6741 BN;6741 BG;6741 WP;6744 WT;6732 DB;6731 AT
;opgeroepenen;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geldige stempas;;;48882;758;46;1061;74;528;497;1224;806;582;648;68;56;636;59;903;621;638;845;1229;432;424;1319;115;823;688;517;579;24;1595;513;506;571;598;1219;641;823;19;597;136;748;420;633;496;326;872;518;175;110;134;154;836;608;925;648;468;1052;769;343;187;246;244;535;529;654;550;401;281;497;530;113;489;382;538;461;695;793;720;404;167;550;94;524;431;414;667;595;664;414;195;240;471;72;64;333;85
;geldig volmachtbewijs;;;6841;108;3;167;9;82;94;146;104;97;70;5;2;83;6;129;71;70;158;159;48;68;163;17;90;80;79;118;2;302;68;63;138;181;287;161;202;0;93;14;96;50;76;50;36;65;63;21;19;25;19;81;83;97;64;67;104;111;64;24;40;30;94;70;73;71;55;27;79;39;10;53;51;75;45;110;76;102;38;13;73;20;62;0;82;88;61;75;46;18;37;78;11;16;64;7
;geldige kiezerspas;;;42;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;55765;866;49;1228;83;610;591;1370;910;679;719;73;58;719;65;1032;692;708;1003;1388;480;492;1482;132;913;768;596;697;26;1897;581;569;709;779;1506;802;1025;19;690;150;844;470;709;546;362;937;581;196;129;159;173;917;691;1022;712;535;1156;880;407;211;286;274;629;599;727;621;456;308;576;569;123;542;433;613;506;805;869;822;442;180;623;114;586;472;496;755;656;739;460;213;277;549;83;80;397;92
;geldige stembiljetten;;;55591;863;49;1225;83;607;591;1368;904;677;716;73;55;719;65;1025;687;706;996;1383;475;491;1480;130;910;765;596;695;26;1892;580;569;706;774;1508;798;1022;19;687;150;842;470;706;545;358;937;579;194;129;159;172;912;691;1016;708;534;1153;880;407;211;286;274;629;597;725;619;453;307;573;569;123;541;433;612;505;804;862;817;441;179;620;114;585;472;494;754;653;735;459;213;276;549;82;80;396;92
;blanco stembiljetten;;;72;1;0;1;0;0;0;0;0;1;2;0;0;0;0;2;4;0;3;1;3;1;2;0;1;1;0;1;0;1;1;0;0;0;1;0;0;0;2;0;2;0;1;0;4;0;2;1;0;0;1;2;0;1;1;0;2;0;0;0;0;0;0;2;0;0;3;1;3;0;0;0;0;0;0;0;6;1;0;0;3;0;0;0;0;0;3;2;1;0;0;0;0;0;1;0
;ongeldige stembiljetten;;;108;2;0;2;0;3;0;2;6;1;1;0;3;0;0;5;1;2;6;4;2;0;0;2;2;2;0;0;0;2;0;0;3;5;2;4;2;0;1;0;1;0;2;1;0;0;0;1;0;0;0;3;0;5;3;1;1;0;0;0;0;0;3;0;2;2;0;0;0;1;0;1;0;0;1;0;1;3;1;1;0;0;1;0;2;1;0;2;0;0;2;0;1;0;0;0
