Verkiezing;;Gemeenteraad Elburg 2022;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Elburg;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0230;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis Oostendorp;Clubhuis Tennisclub Elburg;Kulturhus 't Huiken;Gym lokaal de Wimpel;Hervormde Oosterkerk;Dorpshuis De Deel;Dorpshuis Ons Huus;Hervormde  Kerk Elim;Kantine SV 't Harde;Hervormd Kerkelijk Centrum;Wooncentrum Hart van Thornspic;Stembureau Unit 1;Mobiel stembureau zorginstellingen;TechLab;Gemeentehuis Oostendorp (maandag);Dorpshuis de Deel (maandag);Gemeentehuis Oostendorp (dinsdag);Dorpshuis de Deel (dinsdag);Kantine SV 't Harde (maandag);Stembureau Unit 1 (maandag);Kantine SV 't Harde (dinsdag);Stembureau Unit 1 (dinsdag)
Gebiednummer;;;;;1;2;3;4;5;6;7;9;10;12;14;50;51;55;141;146;151;156;1410;1450;1510;1551
Postcode;;;;;8081 LA;8081 BS;8081 VS;8081 JS;8081 DN;8085 AP;8085 PE;8084 HB;8084 PB;8081 CL;8085 BW;8084 HK;8084 VB;8082 CA;8081 LA;8085 AP;8081 LA;8085 AP;8084 PB;8084 HK;8084 PB;8084 HK
;opgeroepenen;;;18481;1609;1162;1784;1720;1781;942;1652;1826;3276;1096;1056;0;0;577;0;0;0;0;0;0;0;0
;geldige stempas;;;10757;719;598;985;923;700;681;721;958;1014;548;395;109;22;280;343;142;594;230;279;44;424;48
;geldig volmachtbewijs;;;1513;120;72;117;124;99;101;108;114;160;70;63;20;1;37;44;25;91;40;37;7;61;2
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;12270;839;670;1102;1047;799;782;829;1072;1174;618;458;129;23;317;387;167;685;270;316;51;485;50
;geldige stembiljetten;;;12222;834;670;1097;1042;797;779;829;1067;1172;614;455;129;22;316;383;167;682;268;315;51;483;50
;blanco stembiljetten;;;21;3;0;2;3;0;2;0;2;1;1;1;0;1;0;1;0;2;1;0;0;1;0
;ongeldige stembiljetten;;;29;2;0;3;2;2;1;0;3;1;5;2;0;0;1;3;0;1;1;1;0;1;0
;aangetroffen stembiljetten;;;12272;839;670;1102;1047;799;782;829;1072;1174;620;458;129;23;317;387;167;685;270;316;51;485;50
;meer stembiljetten dan toegelaten kiezers;;;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;ChristenUnie;;;2241;170;115;195;202;221;102;126;255;238;71;36;23;2;77;59;13;147;29;43;7;100;10
;;1;Veldkamp-Magré, M.;1311;100;73;128;134;145;43;57;144;130;41;19;10;1;47;36;6;93;12;23;6;58;5
;;2;Krooneman, S.W.;352;32;6;30;13;20;36;44;39;27;10;12;7;0;6;17;4;11;13;7;1;14;3
;;3;Hoeve, G.J.H.;28;7;1;1;4;1;3;1;2;0;1;1;0;0;0;0;2;1;1;0;0;2;0
;;4;Kingma, E.S.;67;0;1;1;3;2;0;2;13;33;1;0;2;0;0;0;0;0;1;2;0;6;0
;;5;van Dijk, A.;29;0;0;1;5;1;0;0;6;9;0;0;0;0;0;0;0;1;0;1;0;5;0
;;6;Dickhof, J.;131;15;13;13;15;16;5;5;8;3;6;1;2;0;9;1;0;15;0;0;0;2;2
;;7;Bosman, B.;7;0;0;0;0;4;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
;;8;Karreman, J.W.;44;3;1;0;4;2;0;2;8;13;1;0;0;0;2;1;0;0;0;4;0;3;0
;;9;Jansen, E.D.;22;0;1;1;0;1;5;8;0;0;1;0;0;0;1;0;0;2;0;2;0;0;0
;;10;Korevaar-Steenbeek, E.;50;3;2;5;6;7;4;2;5;4;2;1;0;0;3;1;1;3;0;0;0;1;0
;;11;van der Voort, F.M.;25;3;1;2;5;2;1;0;2;2;2;1;0;0;1;1;0;1;1;0;0;0;0
;;12;Wiskerke-Oostra, A.D.;13;0;1;0;0;0;0;0;6;4;0;0;0;0;0;0;0;0;0;0;0;2;0
;;13;Bos, D.;14;0;1;1;2;3;0;0;2;0;0;0;0;0;1;0;0;4;0;0;0;0;0
;;14;van de Poll, R.;6;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;2;1;0;0;0;0
;;15;van der Velde, S.;25;0;4;5;2;3;0;0;3;0;3;0;0;0;0;0;0;2;0;0;0;3;0
