Verkiezing;;Gemeenteraad Epe 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Epe;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0232;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Buurthuis Vegtelarij;Voormalige basisschool Zuuk;Hervormde gemeente Goede Herderkerk;Regenboogkerk Epe;Buurthoeve;Eper Veste;S.V. Wissel;Wijkvereniging Burgerenk;Hervormde Gemeente Sionskerk;De Hezebrink;Verenigingsgebouw De Hoeksteen;Kulturhus Oene;Gereformeerde Tabernakel kerk;Zwem- en Sportcentrum De Koekoek;Clubgebouw c.s.v. VIOS;Dorpscentrum De Wieken;Evangeliecentrum Woord en Daad;Clubhuis Handbalvereniging C.V.O.;Kerkelijk Centrum De Rank;Clubhuis Korfbalvereniging Regio 72;Gemeentehuis;Gemeentehuis;Evangeliecentrum Woord en Daad;Evangeliecentrum Woord en Daad
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26
Postcode;;;;;8161 EE;8161 ZA;8161 RJ;8162 VW;8162 HA;8162 XC;8161 AG;8162 PR;8162 ZV;8161 VV;8166 AL;8166 AT;8167 NL;8171 EH;8171 VH;8172 CN;8171 CE;8171 AC;8171 NB;8171 CP;8171 NB;8161 EE;8161 EE;8171 AC;8171 AC
;opgeroepenen;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geldige stempas;;;13797;946;543;372;506;438;463;677;478;713;457;667;483;715;555;611;659;724;736;313;453;606;470;602;243;367
;geldig volmachtbewijs;;;1588;125;49;44;0;54;64;89;69;51;56;100;74;92;52;77;95;79;64;30;45;84;61;66;30;38
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;15386;1071;592;416;506;493;527;766;547;764;513;767;557;807;607;688;754;803;800;343;498;690;531;668;273;405
;geldige stembiljetten;;;15329;1066;589;414;505;492;527;766;546;761;513;757;556;804;606;685;751;801;797;341;497;687;526;665;273;404
;blanco stembiljetten;;;35;4;0;2;2;2;0;0;0;2;0;3;0;3;0;0;2;1;2;2;0;2;4;3;0;1
;ongeldige stembiljetten;;;29;3;3;1;2;0;0;0;1;1;0;6;1;1;1;3;1;1;1;0;1;1;0;1;0;0
;aangetroffen stembiljetten;;;15393;1073;592;417;509;494;527;766;547;764;513;766;557;808;607;688;754;803;800;343;498;690;530;669;273;405
;meer stembiljetten dan toegelaten kiezers;;;9;2;0;1;3;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
;minder stembiljetten dan toegelaten kiezers;;;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;3;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;4;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0
;andere verklaring;;;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Nieuwe Lijn;;;2440;37;28;34;32;12;16;23;31;36;18;90;52;25;186;231;271;272;191;128;190;252;20;28;91;146
;;1;Vos, A.;778;11;13;12;12;7;6;12;11;13;5;30;13;10;52;68;88;80;53;45;64;92;4;9;25;43
;;2;Zweekhorst, M.;496;14;10;11;7;2;4;5;11;14;5;18;10;8;43;34;41;70;45;21;26;35;14;6;17;25
;;3;Aldemir, K.;238;6;0;1;5;0;2;1;2;6;2;1;0;0;5;43;58;11;8;7;33;20;0;4;13;10
;;4;van Schaverbeke, O.;222;3;0;3;0;0;0;1;2;1;0;6;1;1;29;19;9;41;24;18;18;22;0;1;10;13
;;5;Rodijk, A.H.L.;372;1;3;0;4;1;3;3;3;1;2;8;11;4;40;37;37;36;29;19;32;43;1;2;17;35
;;6;Scholten, D.G.J.;50;1;0;2;0;0;1;0;0;0;0;7;7;1;1;1;3;5;2;3;2;6;0;1;2;5
;;7;de Vries, B.;88;0;1;1;0;0;0;0;0;0;1;2;6;0;8;12;14;8;6;8;4;8;0;1;2;6
;;8;van Brink, F.;42;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;7;2;9;2;4;10;0;0;1;4
;;9;Hulshof, R.;11;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;1;0;0;1
;;10;Kouwenhoven, H.W.M.;13;0;0;0;1;0;0;0;0;1;0;6;1;0;0;0;1;1;1;0;1;0;0;0;0;0
;;11;Bouwmeester-Prins, S.H.;47;0;0;0;0;0;0;1;0;0;3;11;1;0;2;7;4;7;5;0;0;1;0;1;2;2
;;12;Schakelaar, W.;20;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;4;2;3;0;0;5;0;2;0;1
;;13;Post, G.J.;6;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;1;0
;;14;van Huffelen-Roffel, A.R.;34;0;1;3;1;0;0;0;1;0;0;1;0;0;0;6;3;5;2;1;4;6;0;0;0;0
;;15;Wiersinga, P.M.;23;1;0;1;2;0;0;0;0;0;0;0;2;0;4;2;0;2;1;2;1;3;0;0;1;1
2;CDA;;;2788;187;114;58;106;104;90;116;71;139;108;69;61;200;89;90;201;191;119;70;113;146;108;109;46;83
;;1;Hendriks, B.M.;824;76;24;13;41;43;40;49;31;48;46;21;23;25;16;23;16;57;36;15;35;19;43;48;13;23
;;2;Oortgiesen, A.H.;181;7;10;1;3;7;1;11;0;12;4;7;1;4;11;6;7;14;10;8;17;17;7;1;3;12
