Verkiezing;;Gemeenteraad Ermelo 2022;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Ermelo;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0233;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Maranathakerk;Chr. Ger. Kerk;Gemeentehuis;Rehobothkerk;Sporthal Dindoa;De Baanveger;Weth. Balverszaal 1;Sportcentrum Calluna;De Oude School 's Heeren Loo;Ons Huis;RK Kerk;Weth. Balverszaal 2;Sporthal Triade;SmdB Speulderbrink;De Westerkerk;Proson, restaurant bon appétit;Gemeentehuis maandag;Gemeentehuis dinsdag;RK kerk maandag;RK kerk dinsdag;Westerkerk maandag;Westerkerk dinsdag
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;20;21;22;23;24;25
Postcode;;;;;3851 XR;3851 XA;3851 NT;3851 LH;3853 PT;3851 CP;3853 PR;3851 BC;3853 HD;3853 LN;3852 XB;3853 PR;3852 ZX;3852 NH;3853 JK;3851 ZH;3851 NT;3851 NT;3852 XB;3852 XB;3853 JS;3853 XB
;opgeroepenen;;;21919;1505;1857;1826;1299;1251;1281;1322;1396;1346;1336;1712;941;1507;616;1540;1184;0;0;0;0;0;0
;geldige stempas;;;11942;644;808;891;700;370;573;376;655;404;650;584;475;818;351;773;384;470;609;268;321;317;501
;geldig volmachtbewijs;;;1387;67;117;88;130;48;55;46;84;52;90;56;53;85;50;98;36;37;63;29;32;18;53
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;13329;711;925;979;830;418;628;422;739;456;740;640;528;903;401;871;420;507;672;297;353;335;554
;geldige stembiljetten;;;13275;710;925;974;821;418;627;420;731;453;737;639;527;900;400;868;416;506;670;295;352;335;551
;blanco stembiljetten;;;38;1;0;4;7;0;0;2;6;0;2;0;1;2;0;3;3;0;1;1;1;0;4
;ongeldige stembiljetten;;;19;0;0;2;2;0;1;1;2;3;1;1;0;1;1;0;2;1;0;1;0;0;0
;aangetroffen stembiljetten;;;13332;711;925;980;830;418;628;423;739;456;740;640;528;903;401;871;421;507;671;297;353;335;555
;meer stembiljetten dan toegelaten kiezers;;;4;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
;minder stembiljetten dan toegelaten kiezers;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
