Verkiezing;;Gemeenteraad Harderwijk 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Harderwijk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0243;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Huis van de Stad;Mehmet Akif Moskee;Unitas;Centrum 'De Zin';Ontmoetingstuin 'De Rietmeen';Dorpshuis' Hierden;Hervormde kerk 'Het Visnet';Kerkelijk Centrum 'De Regenboog';Drive-In op parkeerplaats P2;Station Harderwijk;Drive-in Stadsbedrijf;Huis van de Stad;Mehmet Akif Moskee;Unitas;Centrum 'De Zin';Ontmoetingstuin 'De Rietmeen';Dorpshuis' Hierden;Hervormde kerk 'Het Visnet';Kerkelijk Centrum 'De Regenboog';Drive-In op parkeerplaats P2;Station Harderwijk;Drive-in Stadsbedrijf;Huis van de Stad;CBS 'Dok 19';Sociaal Centrum 'De Kiekmure';Mehmet Akif Moskee;Leonardo Harderwijk;Gebouw Stedelijke Harmonie;CBS 'Willem-Alexander';Unitas;Centrum 'De Zin';CBS 'Het Baken';Ontmoetingstuin 'De Rietmeen';Dorpskerk' Hierden;Dorpshuis' Hierden;Hervormde kerk 'Het Visnet';Sporthal Drielanden (1);Sporthal Drielanden (2);Sporthal Drielanden (3);Kerkelijk Centrum 'De Regenboog' (1);Kerkelijk Centrum 'De Regenboog' (2);Drive-In op parkeerplaats P2;Mobiel Stembureau;Station Harderwijk;Drive-in Stadsbedrijf
Gebiednummer;;;;;101;106;111;112;115;117;119;127;128;131;132;201;206;211;212;215;217;219;227;228;231;232;1;2;4;6;8;9;10;11;12;14;15;16;17;19;20;21;22;24;27;28;30;31;32
Postcode;;;;;3841 AA;3842 GV;3844 AC;3841 DA;3844 HW;3849 BL;3848 DE;3845 KA;;3844 KR;3843 AK;3841 AA;3842 GV;3844 AC;3841 DA;3844 HW;3849 BL;3848 DE;3845 KA;;3844 KR;3843 AK;3841 AA;3841 KK;3842 GA;3842 GV;3844 EL;3842 GD;3843 BG;3844 AC;3841 DA;3844 NC;3844 HW;3849 AD;3849 BL;3848 DE;3845 GC;3845 GC;3845 GC;3845 KA;3845 KA;;;3844 KR;3843 AK
;opgeroepenen;;;38051;845;845;845;845;845;845;845;845;845;845;845;845;845;845;845;845;845;845;845;845;845;845;871;845;845;845;845;845;845;845;845;845;845;845;845;845;845;845;845;845;845;845;845;845;845
;geldige stempas;;;18605;485;190;162;284;305;114;253;339;116;94;91;601;223;223;282;412;186;370;524;177;120;177;1143;295;1512;316;332;906;668;429;475;655;701;741;317;906;616;704;637;349;343;403;63;149;217
;geldig volmachtbewijs;;;2518;55;55;21;34;30;11;29;41;4;3;11;78;49;20;27;48;14;29;64;18;6;24;167;42;192;99;44;141;102;48;54;74;107;111;45;128;77;108;93;48;58;60;0;16;33
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;21123;540;245;183;318;335;125;282;380;120;97;102;679;272;243;309;460;200;399;588;195;126;201;1310;337;1704;415;376;1047;770;477;529;729;808;852;362;1034;693;812;730;397;401;463;63;165;250
;geldige stembiljetten;;;21066;538;241;182;318;335;125;282;380;120;97;102;679;271;243;306;459;200;399;588;195;124;200;1307;336;1699;411;375;1043;766;476;529;722;808;850;361;1032;691;810;728;396;402;463;63;165;249
;blanco stembiljetten;;;31;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;3;1;4;0;1;3;3;0;0;4;0;1;0;1;1;2;1;1;0;0;0;0;0
;ongeldige stembiljetten;;;26;2;3;0;0;0;0;0;0;0;0;0;0;1;0;2;1;0;0;0;0;0;1;0;0;1;4;0;1;1;1;0;2;0;1;1;1;1;1;0;0;0;0;0;0;1
;aangetroffen stembiljetten;;;21123;540;245;183;318;335;125;282;380;120;97;102;679;272;243;309;460;200;399;588;195;126;201;1310;337;1704;415;376;1047;770;477;529;728;808;852;362;1034;693;813;729;397;402;463;63;165;250
;meer stembiljetten dan toegelaten kiezers;;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Harderwijk Anders;;;6388;152;145;52;75;107;31;66;98;41;36;34;220;147;62;81;169;35;109;162;49;36;65;395;120;599;228;124;323;243;121;140;185;246;147;63;291;218;269;232;87;91;151;16;36;91
;;1;Vermeer, H.;2693;80;14;17;41;44;11;34;45;23;17;18;88;27;35;47;61;15;53;84;31;18;33;149;56;277;24;49;148;118;52;60;92;123;53;19;127;92;113;91;32;43;74;12;16;37
;;2;Timmer, S.E.;1240;22;3;5;9;22;9;15;22;8;5;6;56;9;15;12;34;16;25;30;9;10;8;72;19;93;13;30;59;45;27;27;34;52;76;27;77;44;65;39;19;18;25;3;12;14
;;3;Reckman, M.;124;2;1;1;1;7;0;2;0;0;0;0;5;0;0;4;7;0;1;1;1;0;2;11;0;8;0;3;5;5;2;6;8;10;1;1;7;5;3;3;3;2;3;0;1;2
;;4;Özdemir, B.;716;4;117;0;3;1;1;0;5;2;4;4;4;103;0;2;12;0;1;10;3;3;6;11;13;58;175;7;33;4;1;4;7;5;3;3;5;19;26;32;4;5;4;0;2;10
;;5;Pullen, T.;307;2;3;3;6;3;2;1;10;1;2;2;21;0;3;7;7;0;5;9;0;1;4;29;5;28;0;7;11;14;5;7;7;12;2;0;12;17;19;16;3;6;8;0;1;6
;;6;te Pas, G.W.;84;4;0;2;0;1;0;0;0;0;0;1;2;0;1;2;2;0;3;1;1;0;1;8;0;9;0;3;6;13;2;3;0;2;0;0;4;2;0;4;0;3;3;0;0;1
;;7;van der Stouw, C.E.G.;224;4;0;5;3;4;0;0;2;0;3;0;7;0;1;3;5;2;2;6;0;1;2;20;5;16;4;5;10;20;4;4;3;11;2;0;9;9;15;11;6;1;9;0;0;10
;;8;Vasse, G.H.;128;2;3;0;0;3;4;2;6;4;1;0;0;2;0;0;0;0;3;0;0;1;1;12;2;19;6;4;3;3;1;2;7;4;3;3;8;6;4;0;2;5;1;0;1;0
;;9;Enklaar, E.H.R.;165;2;0;10;2;8;0;1;1;0;1;1;5;0;0;0;18;0;9;3;1;0;4;6;6;16;1;4;6;4;6;1;7;14;0;2;7;1;1;11;4;0;1;0;0;1
