Verkiezing;;Gemeenteraad Hattem 2022;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;
Gebied;;Gemeente Hattem;;;;;;;;;;;;
Nummer;;0244;;;;;;;;;;;;
;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stadhuis (Burgerzaal);Emmaüskerk;Ontmoetingskerk;MFC De Marke;Vrije Baptisten Gemeente Hattem;De Open Poort;IJsbaangebouw;Stadhuis (Burgerzaal) 140322;Stadhuis (Burgerzaal) 150322;Mobiel Stembureau
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10
Postcode;;;;;8051 EZ;8051 XS;8051 VC;8051 DX;8051 LE;8052 AB;8051 SB;8051 EZ;8051 EZ;8051 VL
;opgeroepenen;;;9647;1352;1901;1285;1485;1678;1143;803;0;0;0
;geldige stempas;;;5787;609;682;441;812;818;1062;290;397;600;76
;geldig volmachtbewijs;;;690;62;73;56;115;91;124;54;34;80;1
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;6477;671;755;497;927;909;1186;344;431;680;77
;geldige stembiljetten;;;6439;666;753;494;923;900;1176;343;431;676;77
;blanco stembiljetten;;;26;2;2;3;4;6;5;1;0;3;0
;ongeldige stembiljetten;;;11;3;0;0;1;2;4;0;0;1;0
;aangetroffen stembiljetten;;;6476;671;755;497;928;908;1185;344;431;680;77
;meer stembiljetten dan toegelaten kiezers;;;1;0;0;0;1;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;2;0;0;0;0;1;1;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;3;0;0;0;1;1;1;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0
1;ChristenUnie;;;1597;146;215;156;142;250;368;86;74;137;23
;;1;Palland, A.S.;756;74;108;75;70;113;156;41;36;65;18
;;2;Brouwer-de Jonge, G.J.;322;30;27;31;24;44;99;27;15;22;3
;;3;Kers, M.W.;110;8;25;6;11;12;25;5;4;14;0
;;4;Zijlstra, J.J.;28;0;3;1;4;11;4;0;2;3;0
;;5;Beeftink, M.;56;4;6;9;5;13;10;0;2;7;0
;;6;van der Minne, E.W.;36;4;2;5;2;7;7;3;3;3;0
;;7;Dijs-Stevens, H.;27;1;4;0;6;8;5;0;2;1;0
;;8;van der Meulen-Knol, K.E.;21;5;1;1;1;4;3;3;1;2;0
;;9;Pleijsier, E.;4;1;2;0;0;0;0;0;1;0;0
;;10;de Jong, P.A.;15;0;3;2;0;3;6;0;0;1;0
;;11;Haar-van de Wetering, D.N.;11;4;1;1;1;1;2;0;1;0;0
;;12;Nagelhout, H.;5;0;1;1;2;0;1;0;0;0;0
;;13;de Lange, R.J.L.;20;2;3;1;3;9;1;1;0;0;0
;;14;Veltkamp-van der Worp, C.P.;17;1;1;5;0;3;0;0;0;7;0
;;15;Buter-van Ommen, A.W.;6;0;1;1;1;1;1;0;0;1;0
;;16;Brommer, H.J.;28;1;5;2;0;3;8;4;0;3;2
;;17;van der Helm, K.B.;9;0;0;0;1;4;3;0;0;1;0
;;18;Woudenberg-Gerritsen Mulkes, M.H.;30;0;5;10;2;3;8;1;0;1;0
;;19;Teuben, L.A.;16;1;2;1;0;2;7;0;1;2;0
;;20;Lankman, A.;29;0;7;1;4;4;10;1;1;1;0
;;21;van der Beek, J.J.C.;13;4;0;3;1;1;1;0;3;0;0
;;22;Schipper, M.A.;16;0;5;0;1;2;7;0;0;1;0
;;23;Leene, A.M.J.;22;6;3;0;3;2;4;0;2;2;0
2;CDA;;;1006;109;121;90;98;154;186;60;52;119;17
;;1;Hospers, F.M.;502;59;67;47;32;75;94;34;27;58;9
;;2;Juk, T.B.;150;17;12;13;12;29;28;8;12;16;3
;;3;Klaassen, L.M.;64;7;14;6;9;9;6;0;1;9;3
;;4;van Duinen, J.E.;97;8;13;7;17;12;18;7;2;12;1
;;5;Wilting-Kleinhuis, A.M.I.;34;3;2;1;5;7;10;2;1;3;0
;;6;Mulder-Roeterdink, S.;17;3;1;2;5;1;2;1;1;1;0
;;7;Dijkstra, R.J.E.;12;1;0;0;2;0;3;4;0;2;0
;;8;Immink, H.M.;6;0;0;0;0;1;3;0;0;2;0
;;9;Kremer, H.;30;3;3;0;2;4;9;2;7;0;0
;;10;van den Berg, H.;7;0;0;0;0;0;3;1;0;3;0
;;11;de Bruijne-Kemper, C.E.;8;2;0;0;3;2;0;0;0;1;0
;;12;Schepers-Mulder, Y.J.A.;9;0;0;2;1;0;2;1;0;3;0
;;13;Jonker, D.;23;4;4;2;0;8;2;0;0;3;0
;;14;Visscher, A.C.C.;7;0;0;0;6;0;0;0;0;1;0
;;15;van Helden-van der Meer, E.A.M.;12;1;1;3;2;2;0;0;0;2;1
;;16;van Hoorn, E.;4;0;0;2;1;1;0;0;0;0;0
;;17;Terwisscha van Scheltinga, J.A.;6;0;0;1;0;2;2;0;1;0;0
;;18;Starrenburg, D.L.;1;0;0;0;0;0;1;0;0;0;0
;;19;Dekker, D.A.N.;2;1;0;0;1;0;0;0;0;0;0
;;20;van der Kolk, G.B.;12;0;4;4;0;1;1;0;0;2;0
;;21;van Duinen, M.;3;0;0;0;0;0;2;0;0;1;0
3;Partij van de Arbeid (P.v.d.A.) / GROENLINKS;;;1155;134;137;87;136;166;190;51;104;124;26
;;1;van Tiel, J.;412;32;67;33;44;49;73;17;39;41;17
;;2;Keizer, T.;71;17;2;7;7;11;7;0;11;8;1
;;3;van Groningen, C.R.;57;13;3;2;8;5;13;7;4;2;0
;;4;Janssen, R.J.;41;4;2;2;2;11;10;1;5;4;0
;;5;Hogendoorn, B.E.W.;184;25;13;15;28;32;29;14;12;16;0
;;6;Brandt, S.;22;4;3;3;1;4;1;0;3;3;0
;;7;Muruzabal Sanz, A.;13;2;2;1;0;1;0;2;1;4;0
;;8;Slijkhuis, N.A.;59;4;5;6;6;8;16;1;1;11;1
;;9;van Dijk, J.G.;36;4;10;4;1;2;5;2;1;7;0
;;10;Rischen-Sindram, E.A.;88;7;6;6;16;22;14;1;10;5;1
;;11;van Keulen, G.;10;0;4;1;1;0;0;0;0;2;2
;;12;Noordberger, A.;6;0;0;0;4;0;0;0;1;1;0
;;13;Jurriens, J.W.;22;3;5;1;1;3;3;0;1;2;3
;;14;Sprokkereef, J.D.M.;7;1;0;0;2;0;0;3;1;0;0
;;15;van Regteren-de Boer, W.;9;0;1;1;0;2;2;0;0;3;0
;;16;Broekhuis-Bonte, K.;21;0;5;1;5;4;2;1;0;2;1
;;17;Rischen, R.O.;97;18;9;4;10;12;15;2;14;13;0
4;VVD;;;601;45;35;26;199;73;72;35;43;73;0
;;1;Kleinpenning, E.J.M.;298;20;18;18;82;39;39;14;31;37;0
;;2;Örgüt, O.B.;55;4;5;0;10;17;7;4;2;6;0
;;3;Boender, H.T.W.;106;3;9;6;42;7;12;6;7;14;0
;;4;Jansen, M.M.;22;3;0;1;5;3;5;2;1;2;0
;;5;Broersma, A.H;14;0;0;0;5;1;3;4;0;1;0
;;6;Bakker, E.;9;1;0;0;7;0;1;0;0;0;0
;;7;van Eck - Davies, J.M.;20;4;1;1;12;1;1;0;0;0;0
;;8;Ruijs - Boersma, L.M.;23;3;0;0;13;1;1;1;0;4;0
;;9;Slump, G.F.;5;1;0;0;1;0;1;2;0;0;0
;;10;Prikken, A.M;28;2;0;0;13;3;1;1;0;8;0
;;11;Monster, F.H.;13;1;0;0;7;1;0;1;2;1;0
;;12;Steinmetz, P.A.;8;3;2;0;2;0;1;0;0;0;0
5;D66;;;395;33;42;24;111;43;51;21;26;43;1
;;1;Kwakkel, E.;181;19;25;9;49;16;28;9;8;18;0
;;2;Kort, E.P.J.;24;0;4;6;7;0;4;1;1;1;0
;;3;Bossema, A.C.;83;7;7;4;19;18;12;5;6;4;1
;;4;Vergunst, D.C.;13;1;1;2;7;0;0;0;2;0;0
;;5;Beerling, A.E.J.;17;0;2;0;1;3;3;2;4;2;0
;;6;Koop, P.A.;24;1;0;1;16;1;1;2;0;2;0
;;7;Slot, M.J.;6;0;0;2;2;0;0;0;1;1;0
;;8;Castelein, K.D.J.;6;1;0;0;3;0;0;1;0;1;0
;;9;Keijl, M.;2;0;0;0;1;0;0;1;0;0;0
;;10;van 't Holt, L.;8;0;3;0;0;3;0;0;0;2;0
;;11;Paap, C.A.;4;1;0;0;1;0;0;0;0;2;0
;;12;Ververs, M.;10;0;0;0;2;1;2;0;1;4;0
;;13;Veenstra, M.;2;0;0;0;1;0;0;0;0;1;0
;;14;Haverkort-Kamp, L.E.M.A.;15;3;0;0;2;1;1;0;3;5;0
6;HattemCentraal;;;1685;199;203;111;237;214;309;90;132;180;10
;;1;Guldenaar, G.J.T.;798;82;99;46;109;112;154;43;71;73;9
;;2;Hogeweg, F.N.;53;5;5;3;11;6;12;4;2;5;0
;;3;Borst, A.G.;249;34;35;16;33;30;26;9;25;40;1
;;4;de Boer, A.;235;25;31;21;38;22;38;15;14;31;0
;;5;Koortens-van Brussel, P;62;18;6;5;3;7;11;4;4;4;0
;;6;de Groot, S.J.;73;10;7;8;10;4;18;3;3;10;0
;;7;Verduin, M.;38;3;1;0;6;8;13;4;3;0;0
;;8;van Eikenhorst, M.;24;2;3;5;3;4;2;1;2;2;0
;;9;Bouw, M.H.;25;2;3;1;0;9;3;1;1;5;0
;;10;van Dieren, K.;46;9;5;2;4;5;12;3;2;4;0
;;11;Weststrate, L.;17;1;1;0;5;4;2;3;1;0;0
;;12;Bosch, R.P.;21;2;4;0;7;2;4;0;1;1;0
;;13;Kouwenhoven-van Tielen, M.;17;4;3;1;2;1;3;0;1;2;0
;;14;de Graaf, A.;3;1;0;0;0;0;1;0;0;1;0
;;15;Spakman, A.J.;24;1;0;3;6;0;10;0;2;2;0
