Verkiezing;;Gemeenteraad Neder-Betuwe 2022;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Neder-Betuwe;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1740;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis Opheusden;Sporthal De Biezenwei;Sporthal De Biezenwei;Sporthal De Leede;Ons Dorpshuis Kesteren;Sporthal De Linie;Dorpshuis Ochten;Gerrit van Riemsdijkhuis;Dorpshuis De Hoge Hof Echteld;Sporthal De Eng;Sporthal De Eng;Sporthal De Leede;Gemeentehuis Opheusden;Dorpshuis Ochten;Ons Dorpshuis Kesteren;Sporthal De Eng;Gemeentehuis Opheusden;Dorpshuis Ochten;Ons Dorpshuis Kesteren;Sporthal De Eng
Gebiednummer;;;;;1;2;3;4;16;17;18;19;20;21;22;23;26;27;28;29;30;31;32;33
Postcode;;;;;4043 KM;4043 NM;4043 NM;4041 JB;4041 XE;4051 BP;4051 AX;4053 JN;4054 MX;6669 CE;6669 CE;4041 JB;4043 KM;4051 AX;4041 XE;6669 CE;4043 KM;4051 AX;4041 XE;6669 CE
;opgeroepenen;;;18777;1382;1476;1697;1650;1531;2049;1850;890;836;1758;1744;1914;0;0;0;0;0;0;0;0
;geldige stempas;;;9667;820;543;630;513;879;705;670;468;411;632;572;432;186;281;278;236;358;348;409;296
;geldig volmachtbewijs;;;2101;240;155;166;121;210;160;147;88;69;105;112;108;44;50;38;44;79;51;67;47
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;11768;1060;698;796;634;1089;865;817;556;480;737;684;540;230;331;316;280;437;399;476;343
;geldige stembiljetten;;;11740;1059;696;794;631;1088;865;816;555;478;735;677;539;229;331;315;280;437;397;475;343
;blanco stembiljetten;;;7;0;0;0;2;0;0;0;0;2;0;3;0;0;0;0;0;0;0;0;0
;ongeldige stembiljetten;;;18;1;1;1;1;1;0;1;1;0;1;4;1;1;0;1;0;0;2;1;0
;aangetroffen stembiljetten;;;11765;1060;697;795;634;1089;865;817;556;480;736;684;540;230;331;316;280;437;399;476;343
;meer stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;3;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Staatkundig Gereformeerde Partij (SGP);;;4905;754;416;508;323;539;330;249;166;75;181;175;284;128;70;106;32;265;74;193;37
;;1;van Wolfswinkel, N.;3234;531;286;354;205;355;216;147;103;46;102;108;162;93;61;79;28;160;52;123;23
;;2;Waasdorp, D.A.;335;54;38;36;5;23;30;31;34;8;9;4;4;16;2;2;0;20;9;8;2
;;3;Klein, M.A.;234;24;13;18;29;37;9;13;4;2;2;6;35;4;0;6;1;20;1;10;0
;;4;Keuken, W.F.;219;30;15;8;15;18;38;21;8;3;1;4;21;1;6;7;2;12;3;5;1
;;5;Arends, E.P.;37;13;5;4;1;2;1;0;0;0;2;2;1;1;0;1;0;3;1;0;0
;;6;Roseboom, G.;65;4;0;4;6;17;2;4;0;0;0;4;10;0;1;2;0;0;0;11;0
;;7;Kroon, D.;144;19;7;15;16;15;5;0;2;1;22;7;17;2;0;1;0;5;1;3;6
;;8;Pul, J.;53;1;6;9;7;7;1;2;0;0;2;3;6;0;0;2;0;2;0;5;0
;;9;van Bragt, H.G.T.;42;1;1;1;9;10;0;0;2;0;0;1;4;0;0;2;0;2;0;9;0
;;10;Roseboom, R.;54;18;1;5;2;4;2;1;3;2;2;4;4;2;0;0;0;2;0;2;0
;;11;Scheurwater, C.;48;5;1;7;2;10;4;3;0;0;5;1;0;0;0;2;0;7;0;1;0
;;12;Heger, J.J.;13;0;4;1;1;0;0;0;1;0;0;0;1;0;0;0;0;2;1;2;0
;;13;de Vree, H.C.;23;1;0;1;1;4;4;3;1;0;0;2;0;0;0;0;0;2;1;3;0
;;14;Vermeer, W.F.;19;1;5;2;0;0;0;0;0;0;3;5;0;0;0;0;1;0;2;0;0
;;15;van den Hardenberg, H.G.;16;1;5;6;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0
;;16;Verwoert, I.;19;0;0;0;2;2;3;0;0;4;1;3;3;0;0;0;0;0;1;0;0
;;17;van Eldik, D.;17;3;2;3;0;0;0;0;0;0;2;2;1;1;0;1;0;1;0;0;1
;;18;van Leeuwen, W.;20;9;2;5;0;0;0;2;0;0;0;0;0;1;0;0;0;1;0;0;0
;;19;Arends, R.;6;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Huisman, J.;16;2;0;3;0;0;1;1;0;0;0;0;0;0;0;0;0;8;0;1;0
;;21;Snoek, A.;12;0;0;0;0;6;1;0;1;2;0;0;0;0;0;0;0;0;0;2;0
;;22;Bunt, J.P.G.;13;0;1;5;0;0;1;0;0;0;2;4;0;0;0;0;0;0;0;0;0
;;23;van de Kamp, R.;19;4;5;1;4;2;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0
;;24;Langenberg, J.H.;9;0;0;0;0;2;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0
;;25;Kuivenhoven, J.;21;3;1;1;1;4;3;0;0;0;0;0;4;2;0;0;0;1;0;1;0
;;26;den Hartog, D.;8;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0
;;27;van Vlastuin, G.;14;2;4;1;0;3;0;1;0;0;0;0;0;0;0;1;0;0;0;2;0
;;28;Crum, J.W.;25;4;1;1;0;0;1;0;0;1;2;5;2;0;0;0;0;6;0;0;2
;;29;Boorsma, E.;14;0;0;0;0;8;1;0;0;0;0;2;1;0;0;0;0;0;0;2;0
;;30;Bunt, W.F.;11;3;0;0;0;0;0;0;1;0;5;1;0;0;0;0;0;0;0;0;1
;;31;van Tuijl, C.;15;1;0;3;3;1;2;0;0;0;2;0;1;0;0;0;0;0;0;2;0
;;32;de Vree, T.J.;19;0;0;0;4;0;0;6;0;0;2;3;1;3;0;0;0;0;0;0;0
;;33;den Hartog, G.V.;5;0;1;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0
;;34;Verwoert, R.;25;2;0;4;1;4;0;0;0;0;7;0;2;1;0;0;0;4;0;0;0
;;35;Heemskerk, T.G.;7;2;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;Hoogendoorn, E.J.;25;5;6;1;5;0;1;4;0;1;2;0;0;0;0;0;0;0;0;0;0
;;37;Golstein, G.;5;0;0;1;0;0;0;1;0;0;2;0;1;0;0;0;0;0;0;0;0
;;38;Eits, R.M.;7;1;4;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;39;Eerbeek, J.;37;7;1;1;4;2;2;3;0;2;3;1;3;0;0;0;0;7;0;0;1
2;Partij van de Arbeid (P.v.d.A.);;;1606;55;63;64;60;127;115;95;82;47;167;162;46;31;59;47;77;37;88;72;112
;;1;Woldberg, J.H.A.M.;674;38;52;49;23;49;62;50;31;15;33;32;18;22;34;22;26;27;41;31;19
;;2;van Neerbos, J.M.;365;3;6;3;2;9;5;10;3;3;104;81;3;0;5;4;38;3;11;5;67
;;3;van der Stuijft, A.L.;17;1;1;4;0;3;0;0;0;0;1;2;0;2;0;0;0;1;1;1;0
;;4;Jansen, A.;92;0;1;3;17;27;1;0;0;0;0;0;8;0;1;12;0;2;6;13;1
;;5;Verbrugge, E.;233;10;3;2;5;18;18;12;12;17;27;43;7;6;4;3;10;3;5;5;23
;;6;Dirksen, C.D.E.;58;0;0;0;0;2;8;12;3;0;0;1;2;0;7;0;2;0;20;1;0
;;7;Elzing, A.;11;1;0;1;1;0;0;0;1;0;0;0;4;0;0;0;0;0;0;3;0
;;8;Elzing-Platzer, M.E.;44;1;0;0;6;13;2;0;3;1;1;2;0;1;0;4;1;1;0;8;0
;;9;Gerritsen, J.A.J.;7;0;0;1;0;0;3;1;0;0;0;0;0;0;0;0;0;0;1;1;0
;;10;Pieren, C.H.;29;0;0;0;0;0;0;0;25;2;0;0;0;0;1;0;0;0;0;1;0
;;11;Nieuwenhuis, G.J.A.;22;1;0;1;5;6;0;0;0;0;1;0;4;0;0;1;0;0;1;2;0
;;12;Schouten, A.;54;0;0;0;1;0;16;10;4;9;0;1;0;0;7;1;0;0;2;1;2
3;Gemeentebelangen;;;1275;52;62;71;47;114;66;57;91;41;131;104;53;22;41;54;41;41;41;67;79
;;1;Groeneveld, A.;681;42;33;48;28;58;25;19;43;27;69;58;27;12;19;32;23;32;18;39;29
;;2;Hulsbergen, J.E.;121;0;1;0;0;6;21;19;11;5;8;5;1;3;17;2;3;0;13;5;1
;;3;de Regt, P.;13;0;0;4;1;2;0;0;0;0;2;0;0;0;1;0;1;1;0;0;1
;;4;van den Berg, J.C.J.;41;0;5;2;0;4;0;4;0;0;4;5;1;0;1;4;2;2;1;0;6
;;5;van Brenk, A.A.J.;71;1;2;0;0;5;7;12;16;1;8;3;3;0;1;3;0;0;6;1;2
;;6;Heijmans, D.P.;26;0;0;1;0;0;1;0;19;4;0;0;0;0;0;0;0;0;1;0;0
;;7;Scherrenburg-Reijneveld, E.W.N.A;79;0;0;2;12;21;1;1;0;0;0;0;14;0;0;10;0;0;0;16;2
;;8;Verwoert, A.T.;21;3;1;1;0;6;3;0;0;1;4;0;0;0;0;0;0;1;0;1;0
;;9;Groeneveld, M.;12;1;0;3;1;0;0;0;0;0;0;0;0;4;0;0;0;1;0;1;1
