Verkiezing;;Gemeenteraad Oldebroek 2022;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Oldebroek;;;;;;;;;;;;;;;;;;;;;
Nummer;;0269;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;De Heerdt;Luctorgebouw;Grinthuus;Pauluskerk;Kruiskerk;Sporthal Kamphal;Vredeskerk;De Brinkhof;De Bouwakker;De Zwikmeule;Erica Terpstrahal;Immanuëlkerk;Mobiel stembureau;Drive-through Gemeentewerf;Gemeentehuis maandag;Gemeentehuis dinsdag;Sporthal Kamphal maandag;Sporthal Kamphal dinsdag
Gebiednummer;;;;;1;3;4;5;6;7;8;10;11;12;13;14;15;51;52;53;54;55;56
Postcode;;;;;8096 CP;8097 SE;8096 BR;8095 PX;8091 CK;8091 GA;8091 RC;8091 GR;8091 XS;8094 AM;8096 BB;8091 XA;8096 BE;8096 AX;8091 XX;8096 CP;8096 CP;8091 RC;8091 RC
;opgeroepenen;;;18602;1163;1403;1520;1204;1590;1491;1661;1345;1536;1195;1248;1843;1171;232;0;0;0;0;0
;geldige stempas;;;9294;852;907;626;489;632;550;523;876;721;515;404;363;265;121;106;198;398;304;444
;geldig volmachtbewijs;;;1354;114;153;101;60;88;67;65;134;127;80;63;48;39;20;19;32;61;31;52
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;10648;966;1060;727;549;720;617;588;1010;848;595;467;411;304;141;125;230;459;335;496
;geldige stembiljetten;;;10590;957;1055;726;549;714;613;580;998;844;594;466;410;304;141;124;229;459;335;492
;blanco stembiljetten;;;46;4;3;2;0;5;4;8;11;2;1;1;1;0;0;0;0;0;0;4
;ongeldige stembiljetten;;;13;5;2;0;0;1;0;0;1;2;0;1;0;0;0;0;1;0;0;0
;aangetroffen stembiljetten;;;10649;966;1060;728;549;720;617;588;1010;848;595;468;411;304;141;124;230;459;335;496
;meer stembiljetten dan toegelaten kiezers;;;2;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;3;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;ChristenUnie;;;2871;228;261;227;129;223;172;141;335;251;151;122;115;67;41;21;61;116;75;135
;;1;Graansma, P.H.;1083;70;83;49;47;105;78;59;119;107;80;32;68;25;6;6;25;39;32;53
;;2;Vos - van de Weg, E.G.;704;74;78;90;40;34;25;24;60;55;22;39;16;20;17;3;19;36;21;31
;;3;Wijnne, H.;87;7;42;10;3;1;1;1;2;0;1;6;0;0;2;0;2;4;1;4
;;4;Hardonk, A.;228;21;0;3;5;24;17;23;55;34;17;3;3;0;1;0;4;4;4;10
;;5;van den Bosch - Pleijter, F.B.;167;21;12;36;11;7;4;3;6;4;7;15;3;10;1;0;6;12;5;4
