Verkiezing;;Gemeenteraad Oude IJsselstreek 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Oude IJsselstreek;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1509;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis Gendringen;Sportzaal Prinsenhof Gendringen;DRU Industriepark Popzaal Ulft;Clubgebouw SDOUC;De Eendracht Ulft;St Joris Ulft;Gildegebouw Netterden;Zaal Koster Etten;Dorpshuus Varsselder;Koenders Breedenbroek;Ter Voert Megchelen;Van Pallandthal Kantine Varsseveld;De Kwaksmolle Varsseveld;Borchuus Kulturhus Varsseveld;Kulturhus De Rietborgh Terborg;Georgiuskerk Terborg;Schuttersvereniging Willem Tell Silvolde;De Lichtenberg Silvolde;'t Molentje Silvolde;Buurtschapshuis Sinderen;Buurtschapshuus Heelweg;Kulturhus de Vos Westendorp;De Wesenthorst  ingang Heggenseveld Ulft;Gemeentehuis Gendringen;DRU Industriepark Popzaal Ulft;Georgiuskerk Terborg;Van Pallandthal Kantine Varsseveld;Gemeentehuis Gendringen;DRU Industriepark Popzaal Ulft;Georgiuskerk Terborg;Van Pallandthal Kantine Varsseveld;Mobiel stembureau Ma;Mobiel stembureau Di;Mobiel stembureau Woe
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;200;201;202
Postcode;;;;;7081 BN;7081 DG;7071 BV;7071 CX;7071 AH;7071 KA;7077 AG;7075 AE;7076 AD;7084 AB;7078 BC;7051 DE;7051 DT;7051 CX;7061 ZM;7061 CH;7064 BH;7064 EA;7064 GJ;7065 BM;7055 AW;7054 BH;7051 WL;7081 BN;7071 BV;7061 CH;7051 DE;7081 BN;7071 BV;7061 CH;7051 DE;;;
;opgeroepenen;;;32657;1995;1771;2062;1661;1760;1716;395;1513;673;872;850;1595;1656;1623;1632;1665;1589;1610;1621;819;842;1005;1732;0;0;0;0;0;0;0;0;0;0;0
;geldige stempas;;;15373;624;732;704;618;564;727;211;735;345;443;438;597;673;593;546;594;565;539;736;407;387;504;427;262;299;167;257;335;453;336;445;33;32;45
;geldig volmachtbewijs;;;1850;63;74;82;68;87;94;23;112;53;59;52;69;91;82;64;43;82;82;71;45;53;64;48;35;29;15;30;31;60;35;52;0;0;2
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;17223;687;806;786;686;651;821;234;847;398;502;490;666;764;675;610;637;647;621;807;452;440;568;475;297;328;182;287;366;513;371;497;33;32;47
;geldige stembiljetten;;;17132;681;805;779;682;645;818;234;843;396;502;490;665;757;672;605;630;642;616;806;448;440;565;475;296;327;182;285;364;510;372;496;30;30;44
;blanco stembiljetten;;;45;4;0;2;3;1;0;0;4;2;0;0;1;5;1;3;5;1;1;0;1;0;3;1;1;0;0;1;1;0;0;1;2;0;1
;ongeldige stembiljetten;;;48;2;1;5;1;5;3;0;0;0;0;0;0;2;2;2;2;4;4;1;3;0;0;0;0;1;0;1;1;3;0;0;1;2;2
;aangetroffen stembiljetten;;;17225;687;806;786;686;651;821;234;847;398;502;490;666;764;675;610;637;647;621;807;452;440;568;476;297;328;182;287;366;513;372;497;33;32;47
;meer stembiljetten dan toegelaten kiezers;;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
;geen verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Lokaal Belang;;;6527;201;318;276;253;240;327;78;281;102;179;85;327;371;340;216;216;258;242;321;148;204;285;179;89;98;63;125;117;182;123;256;6;5;16
;;1;Ankersmit, H.W.;2071;55;74;74;52;54;85;5;34;23;112;39;136;131;128;82;67;46;54;59;73;52;204;54;27;23;24;52;28;41;53;115;3;3;9
;;2;Bennink, M.A.J.;544;16;21;77;66;71;90;3;6;8;6;3;4;2;3;7;6;2;3;6;2;4;1;50;1;20;1;0;10;53;1;1;0;0;0
;;3;Hiddinga, S.L.;402;7;1;7;12;4;2;0;1;2;6;4;61;39;38;3;3;2;1;8;6;95;25;4;0;6;1;28;1;3;1;31;0;0;0
;;4;Veldhorst, J.J.;327;0;3;0;0;0;1;0;0;0;2;0;48;74;64;2;5;3;1;5;5;9;12;1;1;0;0;28;1;2;0;58;0;0;2
;;5;Vossers, G.;834;13;26;43;20;31;34;13;23;12;20;8;20;26;12;31;46;76;99;108;19;9;19;20;7;17;11;1;15;23;21;10;1;0;0
;;6;Aaldering, F.G.M.;235;30;51;13;13;4;9;1;16;28;1;2;0;1;0;2;3;3;2;3;3;0;0;4;15;5;0;0;20;4;2;0;0;0;0
;;7;Hugen - Thuis, L.H.M.;294;28;34;13;30;18;39;0;11;6;10;2;1;6;4;2;6;2;4;5;4;0;2;7;19;6;0;1;14;17;1;2;0;0;0
;;8;Wildenbeest, G.L.J.M.;164;1;3;5;7;1;4;0;5;2;2;0;0;1;3;3;8;41;16;27;1;2;0;6;1;5;1;0;3;4;10;1;1;0;0
;;9;Duitshof, G.J.D.;154;0;0;0;0;1;0;0;0;0;2;0;19;23;41;0;0;3;1;2;21;4;6;0;0;0;0;9;0;0;0;22;0;0;0
