Verkiezing;;Gemeenteraad Rheden 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Rheden;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0275;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Dorpshuis Het Parkhuis op 16 maart 2022;De Elleboog (in Nw-Schoonoord) op 16 maart 2022;PC Basisschool De Arnhorst op 16 maart 2022;Ons Raadhuis op 16 maart 2022;Grote Kerk op 16 maart 2022;Voorm.Van Voorthuijsenschool op 16 maart 2022;Wooncentrum De Ulenpas op 16 maart 2022;Gymzaal Soc.Cult.Centr. De Poort op 16 maart 2022;CKC Rheko op 16 maart 2022;Dorpshuis Ellecom op 16 maart 2022;Villa Veertien op 16 maart 2022;Gymzaal de Tender op 16 maart 2022;Kindcentrum Leerrijk op 16 maart 2022;OBS De Wensvogel op 16 maart 2022;Wijkcentrum De Drieschaar op 16 maart 2022;Dorpshuis Spankeren op 16 maart 2022;'t Sprengenhus Laag-Soeren op 16 maart 2022;sporthal De Dumpel Velp op 14 maart 2022;sporthal De Dumpel Velp op 15 maart 2022;sporthal De Dumpel Velp 16 maart 2022;zalencentr. Ons Huis Rheden op 14 maart 2022;zalencentr. Ons Huis Rheden op 15 maart 2022;zalencentr. Ons Huis Rheden 16 maart 2022;sporthal Theothorne Dieren op 14 maart 2022;sporthal Theothorne Dieren op 15 maart 2022;sporthal Theothorne Dieren 16 maart 2022
Gebiednummer;;;;;1;2;5;6;7;9;11;14;16;19;20;23;24;26;27;28;29;221;222;223;311;312;313;421;422;423
Postcode;;;;;6994 CM;6881 TV;6881 NV;6881 SK;6883 HT;6882 NS;6882 GS;6882 DA;6991 ZP;6955 AX;6953 CE;6952 BA;6952 EK;6951 GZ;6951 LZ;6956 CP;6957 AB;6883 CN;6883 CN;6883 CN;6991 EW;6991 EW;6991 EW;6951 CP;6951 CP;6951 CP
;opgeroepenen;;;35809;918;2546;1863;1342;1780;1745;1142;1761;943;894;1789;1273;2333;1478;2281;773;838;500;500;1743;1000;1000;3213;500;500;1154
;geldige stempas;;;16801;562;1087;919;1025;480;542;318;400;419;524;629;417;592;489;881;348;432;692;775;698;484;632;1229;667;731;829
;geldig volmachtbewijs;;;1685;55;122;108;81;41;48;22;48;62;57;75;55;55;66;81;46;59;0;81;73;28;58;145;84;68;67
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;18486;617;1209;1027;1106;521;590;340;448;481;581;704;472;647;555;962;394;491;692;856;771;512;690;1374;751;799;896
;geldige stembiljetten;;;18373;612;1207;1023;1101;520;584;334;445;476;580;703;468;644;552;959;393;487;688;846;767;511;682;1362;742;793;894
;blanco stembiljetten;;;57;2;2;0;2;1;5;4;1;2;0;1;2;1;0;2;1;2;1;3;4;0;5;8;4;3;1
;ongeldige stembiljetten;;;47;3;0;4;1;0;1;2;2;2;1;2;2;2;3;0;0;2;2;2;0;2;3;3;4;3;1
;aangetroffen stembiljetten;;;18477;617;1209;1027;1104;521;590;340;448;480;581;706;472;647;555;961;394;491;691;851;771;513;690;1373;750;799;896
;meer stembiljetten dan toegelaten kiezers;;;3;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;12;0;0;0;2;0;0;0;0;1;0;0;0;0;0;1;0;0;1;5;0;0;0;1;1;0;0
;kiezers met stembiljet hebben niet gestemd;;;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0
;er zijn te weinig stembiljetten uitgereikt;;;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4;0;0;0;0;0;0;0
;andere verklaring;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
1;VVD;;;2893;106;343;196;196;85;63;22;35;69;83;117;65;74;59;128;55;116;123;146;135;66;100;219;89;110;93
;;1;Hopmans, Y.A.W.;1375;68;171;66;81;41;27;11;15;30;53;42;28;33;30;55;32;48;64;66;67;38;59;103;44;58;45
;;2;Kolkman, J.M.A.;305;3;17;12;8;10;3;2;3;25;3;17;9;7;3;12;6;5;1;9;11;26;24;66;7;9;7
;;3;Visser, M.;444;2;96;69;66;22;17;1;8;3;2;5;1;1;3;3;4;8;34;35;34;0;2;14;4;6;4
;;4;Koekkoek, R.;113;20;16;6;6;5;2;1;1;3;2;3;4;3;2;5;2;0;0;14;2;0;2;8;1;3;2
;;5;Hanssen, J.G.;44;3;3;1;1;0;0;0;0;0;18;0;2;2;1;1;0;0;2;0;0;0;2;0;2;3;3
;;6;Brouwer, H.A.;87;0;2;0;3;0;0;0;0;0;1;10;4;3;7;16;0;3;1;0;1;0;0;6;6;7;17
;;7;Baank-Luiken, K.B.C.M.;77;0;0;0;1;0;0;0;0;0;0;3;1;6;3;11;3;41;0;0;0;0;0;1;5;1;1
;;8;Nooteboom, E.;98;2;4;5;3;1;0;0;2;1;2;13;4;7;1;9;4;1;2;1;3;0;3;6;6;12;6
;;9;Broeks, R.O.;48;0;7;13;6;2;1;0;0;1;0;0;0;0;0;0;0;1;3;6;5;0;0;2;0;0;1
;;10;van der Linden, W.G.R.J.;68;0;1;0;0;0;2;0;0;0;1;21;5;4;5;8;2;2;0;0;0;0;0;0;8;6;3
;;11;Uijthof, J.M.J.;30;0;4;5;1;1;3;0;1;0;0;0;0;0;0;0;1;1;4;3;0;0;1;3;0;1;1
;;12;de Beurs, M.U.;23;6;0;0;2;0;1;0;0;0;0;0;1;2;2;0;1;5;0;1;1;0;1;0;0;0;0
;;13;Willemen, F.;12;0;3;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;3;1;0;0;0;0;0;0
;;14;van Katwijk, W.L.;5;0;0;2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
