Verkiezing;;Gemeenteraad Rozendaal 2022;;;;;
Datum;;2022-03-16;;;;;
Gebied;;Gemeente Rozendaal;;;;;
Nummer;;0277;;;;;
;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentelijk stembureau Maandag 14 maart 2022;Gemeentelijke stembureau Dinsdag 15 maart 2022;Woensdag
Gebiednummer;;;;;1;2;3
Postcode;;;;;6891 CL;6891 CL;6891 CL
;opgeroepenen;;;1335;0;0;1335
;geldige stempas;;;923;177;208;538
;geldig volmachtbewijs;;;145;29;21;95
;geldige kiezerspas;;;0;0;0;0
;toegelaten kiezers;;;1068;206;229;633
;geldige stembiljetten;;;1062;205;229;628
;blanco stembiljetten;;;4;1;0;3
;ongeldige stembiljetten;;;2;0;0;2
;aangetroffen stembiljetten;;;1068;206;229;633
;meer stembiljetten dan toegelaten kiezers;;;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0
;geen verklaring;;;0;0;0;0
;andere verklaring;;;0;0;0;0
1;Rosendael '74;;;450;112;101;237
;;1;Warmerdam, S.P.;182;51;42;89
;;2;de Jonge, R.J.;54;13;9;32
;;3;van Gorkum, G.H.;42;13;12;17
;;4;Blokland, A.G.;10;3;3;4
;;5;Beije, L.;19;3;6;10
;;6;Jansen, M.;68;15;15;38
;;7;den Hartog-Houterman, R.F.;18;0;2;16
;;8;Willemse, G.J.;16;4;3;9
;;9;ter Brugge, C.H.;13;2;3;8
;;10;Adema, A.C.L.;4;4;0;0
;;11;Tuit, M.G.H.;3;0;2;1
;;12;Albricht-Brinkman, M.S.;21;4;4;13
2;Progressief Akkoord Rozendaal;;;415;54;90;271
;;1;van der Pas, C.P.M.;177;29;48;100
;;2;Jansen, W.P.;30;4;3;23
;;3;van den Akker, W.F.;32;4;6;22
;;4;Le Mat, F.A.C.;61;9;9;43
;;5;van Ooik, C.M.;35;2;3;30
;;6;Jordans, E.C.G.M.;15;1;4;10
;;7;Breeuwsma, I.J.;3;0;2;1
;;8;Janssen, N.P.;32;2;6;24
;;9;van Gelder, R.;1;0;0;1
;;10;van der Plas, B.;9;1;3;5
;;11;van de Garde, R.;9;1;2;6
;;12;Pruijs, M.T.J.;3;0;3;0
;;13;Logemann, A.;8;1;1;6
3;BGR;;;197;39;38;120
;;1;Hupkes, E.J.G.;74;19;16;39
;;2;Diepenbroek, G.H.W.;39;9;7;23
;;3;Ruseler, M.;17;4;3;10
;;4;Veltman, H.M.;10;0;1;9
;;5;Bouman, J.M.;18;2;0;16
;;6;Kootstra, E.D.;11;1;2;8
;;7;Vuijk, M.C.G.P.;6;0;2;4
;;8;van der Togt, F.H.;7;1;4;2
;;9;Rexwinkel, H.H.;7;3;1;3
;;10;Drosten, E.;8;0;2;6
