Verkiezing;;Gemeenteraad West Betuwe 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente West Betuwe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1960;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau De Schakel;Stembureau Het Klokhuis;Stembureau De Dorpskring;Stembureau Dorpshuis Albertine;Stembureau Ons Eigen Gebouw;Stembureau 't Duifhuis;Stembureau Kerkesteijn;Stembureau De Dorpskamer;Stembureau Gemeentehuis;Stembureau Ravestein;Stembureau De Sleutel;Stembureau De Ontmoeting;Stembureau De Morgenster;Stembureau De Randhorst;Stembureau Gereformeerde Kerk;Stembureau Dorpshuis Tricht;"Stembureau Buurthuis ""de Heerlijckheyt""";Stembureau Mr. Aafjesschool;Stembureau Dorpshuis Meteren;Stembureau De Betuwepoort;Stembureau De Pluk;Stembureau Het Stroomhuis;Stembureau Dorpshuis De Koeldert;Stembureau Dorpshuis Tuil;Stembureau Burcht van Haeften;Stembureau Dorpshuis De Biskamp;Stembureau Hervormd Centrum Maranatha;Stembureau Dorpshuis Est;Stembureau Dorpshuis Toevershof;Stembureau MFC Huis op Hemert;Stembureau Dorpshuis EMM;Stembureau Dorpshuis de Poort;Stembureau Dorpshuis De Krakeling;Stembureau Stichting het dorpshuis Spijk;Stembureau Dorpshuis de Koels;Stembureau Gemeentehuis maandag 14-3;Stembureau Burcht van Haeften maandag 14-3;Stembureau MFC Huis op Hemert maandag 14-3;Stembureau Dorpshuis EMM maandag 14-3;Stembureau Gemeentehuis dinsdag 15-3;Stembureau Burcht van Haeften dinsdag 15-3;Stembureau MFC Huis op Hemert dinsdag 15-3;Stembureau Dorpshuis EMM dinsdag 15-3;-
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;33;34;35;36;39;40;41;42;43;44;45;46;0
Postcode;;;;;4151 EG;4153 BE;4153 AH;4156 AJ;4197 HD;4158 CK;4158 CD;4157 GN;4191 KC;4191 TS;4191 XT;4191 AD;4191 DN;4191 NN;4191 GR;4196 AC;4155 BD;4194 RR;4194 TH;4152 EG;4191 SG;4182 CA;4181 CK;4176 BH;4175 HA;4174 GW;4184 EC;4185 NA;4064 CK;4061 AR;4147 BJ;4171 AH;4161 AL;4212 CX;4214 EA;4191 KC;4175 HA;4061 AR;4147 BJ;;4175 HA;4061 AR;4147 BJ;
;opgeroepenen;;;41131;467;1176;1596;756;848;893;771;475;1133;1383;1236;1207;1291;1299;941;1699;268;1653;717;702;1128;691;1392;741;2233;782;920;446;1236;1391;2503;2139;1975;748;1621;0;0;0;0;0;0;0;0;674
;geldige stempas;;;21724;271;846;540;400;440;645;385;249;745;299;479;307;653;432;619;988;175;950;411;370;796;313;695;354;793;411;479;317;539;506;845;1043;898;362;720;475;190;118;232;681;269;143;341;0
;geldig volmachtbewijs;;;3087;37;131;74;73;58;73;47;22;121;60;73;47;109;80;74;123;13;127;59;47;112;80;147;64;0;57;69;39;72;72;136;190;119;50;112;59;22;11;36;83;46;20;43;0
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;24811;308;977;614;473;498;718;432;271;866;359;552;354;762;512;693;1111;188;1077;470;417;908;393;842;418;793;468;548;356;611;578;981;1233;1017;412;832;534;212;129;268;764;315;163;384;0
;geldige stembiljetten;;;24738;307;975;611;470;496;718;432;270;863;357;551;353;759;511;689;1111;187;1075;467;416;908;393;841;416;790;467;542;354;611;574;978;1231;1012;412;828;534;210;129;267;764;315;162;382;0
;blanco stembiljetten;;;29;0;1;0;0;0;0;0;1;1;0;0;0;0;0;4;0;1;1;0;1;0;0;0;1;2;3;3;0;0;1;1;0;5;0;2;0;0;0;0;0;0;0;1;0
;ongeldige stembiljetten;;;39;1;1;3;2;2;0;0;0;0;2;1;1;3;1;0;0;0;1;3;0;0;0;1;1;1;0;1;1;0;2;1;2;1;0;2;0;2;0;1;0;0;1;1;0
;aangetroffen stembiljetten;;;24806;308;977;614;472;498;718;432;271;864;359;552;354;762;512;693;1111;188;1077;470;417;908;393;842;418;793;470;546;355;611;577;980;1233;1018;412;832;534;212;129;268;764;315;163;384;0
;meer stembiljetten dan toegelaten kiezers;;;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;8;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;11;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0
