Verkiezing;;Gemeenteraad Westervoort 2022;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;
Gebied;;Gemeente Westervoort;;;;;;;;;;;;;;
Nummer;;0293;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Scouting Sint Joris;Zalencentrum Wileman;Wijkcentrum de Bult;Huize Vredenburg;De Nieuwhof (hal);De Nieuwhof (zaal de Reduyt);Ondernemerscentrum Uitterweert;Nieuwhof maandag;Nieuwhof dinsdag;Gemeentehuis maandag;Gemeentehuis dinsdag
Gebiednummer;;;;;001;002;003;004;005;006;007;008;013;015;014;016
Postcode;;;;;6931 CZ;6931 CP;6931 BA;6931 WP;6931 CM;6932 JR;6932 JR;6932 ML;6932 JR;6932 JR;6931 CZ;6931 CZ
;opgeroepenen;;;12129;2129;1322;1026;1202;1347;1650;1555;1898;0;0;0;0
;geldige stempas;;;4729;820;290;211;315;413;271;765;439;241;343;267;354
;geldig volmachtbewijs;;;514;117;29;21;32;43;38;81;38;21;31;30;33
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;5243;937;319;232;347;456;309;846;477;262;374;297;387
;geldige stembiljetten;;;5112;921;318;225;327;448;297;824;453;257;370;291;381
;blanco stembiljetten;;;86;15;0;4;9;5;9;12;16;5;3;4;4
;ongeldige stembiljetten;;;45;1;1;3;11;3;3;10;8;0;1;2;2
;aangetroffen stembiljetten;;;5243;937;319;232;347;456;309;846;477;262;374;297;387
;meer stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0
1;CDA;;;1562;267;105;72;101;116;95;255;119;96;118;99;119
;;1;Tap, M.N.;325;65;20;10;21;20;25;55;15;22;27;19;26
;;2;Pennekamp, P.J.H.;260;36;13;17;15;24;15;32;29;14;17;29;19
;;3;Neyndorff, S.A.H.;34;4;3;0;4;3;0;4;9;4;2;1;0
;;4;Kielman, J.;31;3;3;0;2;0;2;8;1;4;7;1;0
;;5;Matulessya, J.W.M.;68;11;1;7;2;5;7;15;2;3;11;2;2
;;6;Mulder, H.F.F.;12;2;1;0;0;2;1;0;0;0;3;2;1
;;7;Hofland, J.P.;25;1;3;1;3;2;0;5;2;2;4;2;0
;;8;van Schuylenburg-Wieringa, J.J.;112;24;4;2;6;8;6;24;11;6;2;7;12
;;9;ten Bosch, M.;66;19;7;2;3;2;2;12;1;6;4;1;7
;;10;Beerling, W.;16;3;2;1;1;3;0;1;1;1;1;2;0
;;11;Laarakker, M.G.;35;7;10;0;0;4;1;2;2;0;4;2;3
;;12;Driesprong-Verhaaff, A.C.;49;8;2;7;3;3;2;8;2;2;3;4;5
;;13;Rakers, H.;5;1;1;0;1;2;0;0;0;0;0;0;0
;;14;Denie, M.A.E.M.;33;8;1;3;1;1;1;7;4;1;3;0;3
;;15;Breunissen, J.P.;491;75;34;22;39;37;33;82;40;31;30;27;41
2;VVD;;;732;156;40;40;37;67;42;106;69;20;47;51;57
;;1;ten Kortenaar, R.S.F.;372;79;18;22;14;40;29;44;36;15;25;27;23
;;2;van Weelden, B.J.;41;6;0;1;10;2;2;9;2;0;1;4;4
;;3;Berings, J.G.;98;18;11;4;1;10;3;21;7;2;6;7;8
;;4;Derksen, J.W.;18;4;0;1;2;2;2;1;1;0;2;0;3
;;5;Schrage, M.J.;58;19;2;2;1;4;1;12;3;1;6;2;5
