Verkiezing;;Gemeenteraad Winterswijk 2022;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Winterswijk;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0294;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentekantoor;Gemeentekantoor;Gemeentekantoor;De Ontmoeting;De Ontmoeting;De Ontmoeting;Wamelinkhof;IJs-en skeelercomplex WIJV;Gymlokaal de Bargerpaske;FC Winterswijk kantine;Gymlokaal de Stegeman;Sporthal de Vlier;Sportzaal de Alma;Clubgebouw Fietstourclub Wenters;Molukse Samenwerkende Kerken Immanuel;Stemstraat Brandweerkazerne;Zalencentrum Reuselink;Restaurant 'de Schoppe';Gebouw Marijke;Gymlokaal Meddo;Mobiel stembureau 1 (met beperkte toegang);Mobiel stembureau 2 (met beperkte toegang);Mobiel stembureau 3
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
Postcode;;;;;7101 GH;7101 GH;7101 GH;7101 DP;7101 DP;7101 DP;7101 JT;7101 PA;7103 AW;7103 AV;7101 BG;7101 TR;7102 CX;7101 JL;7101 TX;7102 AM;7115 AG;7109 AH;7113 AE;7104 BB;7101 GH;7101 GH;7101 GH
;opgeroepenen;;;23685;0;0;1632;0;0;1470;1621;2105;1599;1827;1103;1825;2232;2217;1669;0;1570;722;869;1224;0;0;0
;geldige stempas;;;12539;543;782;1097;376;476;436;584;549;1522;396;637;815;688;290;561;346;478;454;413;719;30;96;251
;geldig volmachtbewijs;;;1350;59;89;104;39;54;50;45;57;169;52;81;85;78;22;56;45;69;34;44;77;2;4;35
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;13889;602;871;1201;415;530;486;629;606;1691;448;718;900;766;312;617;391;547;488;457;796;32;100;286
;geldige stembiljetten;;;13830;597;867;1188;415;529;483;626;601;1689;443;717;897;764;312;615;389;547;486;457;792;31;100;285
;blanco stembiljetten;;;38;3;0;8;0;0;1;2;4;2;3;0;2;2;0;1;2;0;2;0;4;1;0;1
;ongeldige stembiljetten;;;21;2;4;5;0;1;2;1;1;0;2;1;1;0;0;1;0;0;0;0;0;0;0;0
;aangetroffen stembiljetten;;;13889;602;871;1201;415;530;486;629;606;1691;448;718;900;766;312;617;391;547;488;457;796;32;100;286
;meer stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
