Verkiezing;;Gemeenteraad Zevenaar 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Zevenaar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0299;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Gemeentehuis, Turmac Cultuurfabriek;Stembureau NME-gebouw;Stembureau IKC De Tamboerijn;Stembureau Centrum 4.0;Stembureau IKC De Carrousel;Stembureau Kantine Atletiekvereniging de Liemers;Stembureau OBS Het Kofschip;Stembureau Liemers College Zonegge;Stembureau Basisschool Lindenhage;Stembureau Liemers College Zonegge;Stembureau Partycentrum de Griethse Poort;Stembureau Het Musiater;Stembureau De Sterrenschool;Stembureau Brede School St. Martinus;Stembureau Kulturhus De Borg;Stembureau Centrum De Meent;Stembureau Dorpshuis Het Gebouw;Stembureau Hof van Giesbeek;Stembureau Clubgebouw GSV'38;Stembureau Het Gildehuis;Stembureau Basisschool de Tragellijn;Stembureau Dorpshuis De Spieker;Stembureau Dalton IKC De Overlaat;Stembureau Schuttersgebouw Claudius Civilis;Stembureau Dorpshuis De Cluse;Stembureau Dorpshuis Eensgezindheid;Stembureau Gemeentehuis, Turmac Cultuurfabriek;Stembureau Partycentrum de Griethse Poort;Stembureau Hof van Giesbeek;Stembureau Het Gildehuis;Stembureau Schuttersgebouw Claudius Civilis;Stembureau Gemeentehuis, Turmac Cultuurfabriek;Stembureau Partycentrum de Griethse Poort;Stembureau Hof van Giesbeek;Stembureau Het Gildehuis;Stembureau Schuttersgebouw Claudius Civilis
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;101;111;118;120;124;201;211;218;220;224
Postcode;;;;;6901 AA;6901 BV;6904 EG;6905 BH;6904 KL;6904 GZ;6903 DK;6903 EP;6903 DK;6903 DK;6901 HK;6901 JZ;6901 KZ;6905 AR;6909 DW;6986 AP;6988 AG;6987 AB;6987 CM;6915 AD;6915 VT;6917 AM;6916 CD;6911 AJ;6914 AL;6913 AC;6901 AA;6901 HK;6987 AB;6915 AD;6911 AJ;6901 AA;6901 HK;6987 AB;6915 AD;6911 AJ
;opgeroepenen;;;36786;1704;1720;2103;1786;1585;1609;1364;1476;1444;1490;1254;1291;1359;1277;1594;1160;1234;1347;930;1712;1474;514;1765;1987;873;734;0;0;0;0;0;0;0;0;0;0
;geldige stempas;;;15683;846;449;770;490;318;730;673;196;342;186;757;403;372;523;659;623;424;522;328;457;335;170;426;515;383;378;522;475;161;213;163;619;563;216;253;223
;geldig volmachtbewijs;;;1883;96;59;90;71;27;96;76;23;52;13;91;43;46;63;92;91;55;50;50;58;41;26;49;70;34;49;50;45;16;36;15;47;91;18;34;20
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;17566;942;508;860;561;345;826;749;219;394;199;848;446;418;586;751;714;479;572;378;515;376;196;475;585;417;427;572;520;177;249;178;666;654;234;287;243
;geldige stembiljetten;;;17492;939;506;851;559;342;822;748;217;392;199;845;446;417;581;749;713;478;569;378;511;373;194;472;579;417;427;571;520;177;249;178;661;652;232;285;243
;blanco stembiljetten;;;39;2;1;6;0;1;3;0;0;1;1;2;0;1;5;1;0;1;0;0;2;2;1;1;5;0;0;0;0;0;0;0;0;1;1;1;0
;ongeldige stembiljetten;;;32;1;1;3;1;2;1;0;0;1;1;1;2;0;0;1;1;0;2;0;2;1;1;2;0;0;0;0;0;0;0;0;6;1;1;0;0
;aangetroffen stembiljetten;;;17563;942;508;860;560;345;826;748;217;394;201;848;448;418;586;751;714;479;571;378;515;376;196;475;584;417;427;571;520;177;249;178;667;654;234;286;243
