Verkiezing;;Gemeenteraad Bunnik 2022;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;
Gebied;;Gemeente Bunnik;;;;;;;;;;;;;;
Nummer;;0312;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Prikkebeen;De Stevenshoek;De Stevenshoek (maandag);De Stevenshoek (dinsdag);Barbarakerk;Dagkerk Odijk;Sporthal, Dorpshuis Odijk;Sporthal, Dorpshuis Odijk (maandag);Sporthal, Dorpshuis Odijk (dinsdag);Rijnzaal;Rijnzaal (maandag);Rijnzaal (dinsdag)
Gebiednummer;;;;;3;9;10;11;13;14;16;17;18;20;21;22
Postcode;;;;;3981 WC;3985 SB;3985 SB;3985 SB;3981 AD;3984 JA;3984 MA;3984 MA;3984 MA;3981 GD;3981 GD;3981 GD
;opgeroepenen;;;12103;1420;654;654;655;1414;1408;1096;1096;1098;869;869;870
;geldige stempas;;;7352;524;649;201;251;769;1043;852;338;507;1176;479;563
;geldig volmachtbewijs;;;746;44;91;16;18;76;99;100;37;51;121;44;49
;geldige kiezerspas;;;3;0;0;0;0;0;0;0;0;0;3;0;0
;toegelaten kiezers;;;8101;568;740;217;269;845;1142;952;375;558;1300;523;612
;geldige stembiljetten;;;8018;562;728;216;267;838;1116;945;374;557;1287;521;607
;blanco stembiljetten;;;59;5;5;0;1;3;21;5;1;1;12;2;3
;ongeldige stembiljetten;;;26;1;7;2;1;5;4;3;0;0;1;0;2
;aangetroffen stembiljetten;;;8103;568;740;218;269;846;1141;953;375;558;1300;523;612
;meer stembiljetten dan toegelaten kiezers;;;3;0;0;1;0;1;0;1;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;1;0;0;0;0;0;1;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;1;0;0;0;0;0;1;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;2;0;0;1;0;0;0;1;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0
1;P21;;;2928;263;162;56;61;350;376;289;117;171;597;208;278
;;1;van Gulik, K.A.G.M.;677;57;23;8;15;70;99;66;31;45;145;57;61
;;2;Houtgraaf, J.M.;769;81;22;12;14;113;68;70;27;44;170;68;80
;;3;Hussem, A.;213;6;2;3;2;4;60;55;25;30;6;7;13
;;4;Sterk, J.;51;1;0;6;2;14;3;3;1;3;7;6;5
;;5;van Mourik, R.G.A.;53;6;4;0;0;12;2;3;0;1;12;6;7
;;6;Lubbers, W.J.;28;6;1;0;0;4;1;1;1;1;4;2;7
;;7;de Kok, C.;75;12;2;0;0;6;7;1;2;1;30;7;7
;;8;Bosman, M.J.;50;1;2;0;0;25;4;2;1;1;7;5;2
