Verkiezing;;Gemeenteraad De Bilt 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente De Bilt;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0310;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Jagtlust;Stembureau VvSo WVT;Stembureau Oosterlichtkerk;Stembureau De Woudkapel;Stembureau Centrumkerk;Stembureau OLV kerk;Stembureau NOVA kantine;Stembureau Kees Boekehal;Stembureau HF Witte Centrum;Stembureau Gebouw van het Rode Kruis;Stembureau MENS Servicecentrum De Bilt;Stembureau RK Michaelkerk;Stembureau Ontmoetingskerk;Stembureau SOJOS (Jongerencentrum);Stembureau De Groene Daan;Stembureau Dorpshuis Hollandsche Rading;Stembureau Dorpshuis Westbroek;Stembureau Jagtlust (14-3-22);Stembureau HF Wittecentrum (14-3-22);Stembureau Centrumkerk (14-3-22);Stembureau SOJOS (14-3-22);Stembureau Jagtlust (15-3-22);Stembureau HF Witte Centrum(15-3-22);Stembureau Centrumkerk (15-3-22);Stembureau SOJOS (15-3-22)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;30;31;32;33;34;35;36;37
Postcode;;;;;3721 AB;3721 EA;3721 MJ;3723 JG;3722 GR;3723 KR;3721 WZ;3723 BA;3731 CL;3732 BA;3732 EV;3731 EE;3738 VC;3738 CB;3737 RK;3739 KM;3615 AG;3721 AB;3731 CL;3722 GR;3738 EB;3721 AB;3731 CL;3722 GR;3738 CB
;opgeroepenen;;;33969;2737;2723;1392;1584;2891;1858;1330;3561;4308;1828;1000;1165;2561;1301;1482;1310;938;0;0;0;0;0;0;0;0
;geldige stempas;;;19669;1584;908;934;1392;1431;724;199;1016;1625;764;649;666;1072;601;782;670;553;595;488;445;192;842;688;553;296
;geldig volmachtbewijs;;;1991;203;100;93;1;1;98;0;131;212;58;76;99;138;85;119;83;74;68;34;47;19;84;69;65;34
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;21660;1787;1008;1027;1393;1432;822;199;1147;1837;822;725;765;1210;686;901;753;627;663;522;492;211;926;757;618;330
;geldige stembiljetten;;;21580;1777;1001;1024;1386;1430;822;198;1145;1825;819;721;765;1203;679;897;752;623;661;521;492;210;925;757;617;330
;blanco stembiljetten;;;53;6;4;2;4;1;0;0;1;10;3;3;0;2;1;4;0;4;2;1;2;1;1;0;1;0
;ongeldige stembiljetten;;;25;4;3;1;3;1;0;1;1;1;0;2;0;1;6;0;1;0;0;0;0;0;0;0;0;0
;aangetroffen stembiljetten;;;21658;1787;1008;1027;1393;1432;822;199;1147;1836;822;726;765;1206;686;901;753;627;663;522;494;211;926;757;618;330
;meer stembiljetten dan toegelaten kiezers;;;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;5;0;0;0;0;0;0;0;0;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;5;0;0;0;0;0;0;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Beter De Bilt en Bilts Belang;;;2474;214;113;107;147;151;94;24;151;251;147;113;75;100;60;61;71;24;68;98;57;18;103;118;83;26
;;1;den Hertog, E.J.F.;1135;88;67;61;63;72;35;13;53;129;73;62;31;38;12;29;25;15;33;47;33;7;51;49;42;7
;;2;Gielissen, P. H.;76;3;2;3;6;9;2;1;8;6;4;2;2;1;1;0;2;1;2;3;1;0;5;10;1;1
