Verkiezing;;Gemeenteraad Eemnes 2022;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;
Gebied;;Gemeente Eemnes;;;;;;;;;;;;
Nummer;;0317;;;;;;;;;;;;
;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;De Schoter;De Bongerd;Huis van Eemnes, Dijkzaal A;Huis van Eemnes. Dijkzaal B;Gemeentehuis;De RaadsVore;Gemeentehuis (vervroegd stemmen 14-03-2022);De RaadsVore (Vervroegd stemmen 14-03-2022);Huis van Eemnes. Dijkzaal B (Vervroegd stemmen 15-03-2022);Gemeentehuis (Vervroegd stemmen 15-03-2022)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10
Postcode;;;;;3755 DD;3755 CL;3755 EZ;3755 EZ;3755 AZ;3755 HD;3755 AZ;3755 HD;3755 EZ;3755 AZ
;opgeroepenen;;;7518;1179;1255;1293;1261;1256;1274;0;0;0;0
;geldige stempas;;;4217;457;299;461;494;580;273;377;269;650;357
;geldig volmachtbewijs;;;429;52;28;49;55;80;35;28;15;59;28
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;4646;509;327;510;549;660;308;405;284;709;385
;geldige stembiljetten;;;4605;507;325;503;538;653;305;403;284;702;385
;blanco stembiljetten;;;31;3;2;3;11;5;2;1;0;4;0
;ongeldige stembiljetten;;;10;1;0;4;0;2;0;1;0;2;0
;aangetroffen stembiljetten;;;4646;511;327;510;549;660;307;405;284;708;385
;meer stembiljetten dan toegelaten kiezers;;;2;2;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;2;0;0;0;0;0;1;0;0;1;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;3;2;0;0;0;0;0;0;0;1;0
;andere verklaring;;;1;0;0;0;0;0;1;0;0;0;0
1;Dorpsbelang;;;1621;173;125;192;195;210;119;143;86;251;127
;;1;de Zeeuw, J.W.S.M.;611;63;43;80;69;67;39;58;40;99;53
;;2;Pouw, B.O.;162;8;16;14;18;30;14;18;6;26;12
;;3;Kouwenhoven, R.N.P.;161;19;19;21;21;20;9;10;7;23;12
;;4;Riemens, M.C.A.;202;24;13;23;22;24;17;17;7;40;15
;;5;van der Linden, V.S.C.;42;1;4;3;10;8;3;1;2;6;4
;;6;Schouten - de Boer, J.;96;9;3;17;17;7;13;5;6;14;5
;;7;Eek, J.C.J.;91;13;6;13;7;14;4;6;9;10;9
;;8;Bood, J.;18;4;0;3;1;0;1;4;0;2;3
;;9;van Dalen, E.;25;1;2;4;4;8;2;1;0;2;1
;;10;Hagen, D.;84;16;10;4;15;13;5;3;5;8;5
;;11;Raben, R.H.;14;0;1;3;0;0;2;0;0;6;2
;;12;Sprey, P.;28;2;2;3;0;10;4;2;2;0;3
;;13;Ronner, P.J.;27;1;3;3;6;1;0;2;1;9;1
;;14;van IJken, E.M.;60;12;3;1;5;8;6;16;1;6;2
2;CDA;;;1048;174;103;77;90;140;81;89;57;141;96
;;1;Seldenrijk, P.;357;64;35;24;25;45;22;34;26;51;31
;;2;Havinga-de Jong, M.;173;18;14;21;15;23;14;17;12;24;15
;;3;van Schaik, R.F.;111;19;13;8;15;7;15;10;7;14;3
;;4;Bunt, N.;203;42;26;7;13;38;13;11;7;20;26
;;5;Ouwens, P.;7;0;0;1;0;3;0;0;0;2;1
;;6;van Deutekom-Dop, M.;14;0;0;1;0;7;1;0;2;0;3
;;7;den Dunnen, J.G.;26;0;4;2;6;3;2;3;2;1;3
;;8;van Berkel, R.C.;5;0;1;0;1;0;1;0;0;0;2
;;9;Huiden, E.C.;47;8;5;1;8;5;5;1;0;9;5
;;10;Ploeg, J.T.;12;0;1;3;0;3;0;0;0;4;1
;;11;Rigter, A.W.J.;33;15;0;3;2;1;4;2;0;6;0
;;12;Jungerling, C.A.M.;17;1;0;2;5;2;0;5;0;1;1
;;13;Serdijn, W.;22;4;0;3;0;2;1;6;1;3;2
;;14;Ruizendaal, E.R.;21;3;4;1;0;1;3;0;0;6;3
3;VVD;;;751;86;44;76;76;147;36;75;44;97;70
;;1;Schade, E.A.G.M.;344;37;18;38;23;75;11;39;25;45;33
;;2;van der Linde-Eggenkamp, M.H.G.;220;26;13;22;27;42;10;18;12;28;22
;;3;Roorda, B.J.;31;2;0;1;8;5;1;2;2;6;4
;;4;Hendriks, N.B.;12;0;5;2;1;0;0;1;0;3;0
;;5;Peters, D.M.;32;5;1;4;5;9;2;3;0;3;0
;;6;van der Linde, S.H.D.;48;4;2;4;5;5;7;7;2;6;6
;;7;Meeuwis, P.;13;6;2;2;0;0;0;0;1;2;0
;;8;Fokker, M.J.T.;51;6;3;3;7;11;5;5;2;4;5
4;Partij van de Arbeid (P.v.d.A.);;;749;39;42;108;114;86;49;53;69;133;56
;;1;de Boer-Leijsma, W.A.;534;30;34;62;70;66;36;43;56;93;44
;;2;van den Brink, M.N.M.;44;3;5;7;4;5;5;2;0;8;5
;;3;Overbeeke, M.C.;15;0;0;7;4;2;1;0;0;1;0
;;4;van der Vegt, J.H.;10;0;0;5;3;0;0;1;1;0;0
;;5;Krul, A.E.;35;2;1;11;4;5;1;2;1;6;2
;;6;Hoorneman, J.J.;3;0;0;0;0;0;0;1;0;2;0
;;7;Lutterman, L.J.A.M.;12;1;0;1;2;0;2;1;3;2;0
;;8;Willink-Anzion, M.J.E.;22;1;2;1;5;2;1;2;1;5;2
;;9;Andringa, S.M.;42;0;0;7;15;4;1;0;6;7;2
;;10;van Spronsen, W.;1;0;0;0;0;0;0;0;0;0;1
;;11;Willink, J.B.G.T.;5;0;0;0;1;0;1;1;0;2;0
;;12;van Lankeren, C.M.;8;1;0;4;1;0;0;0;1;1;0
;;13;Tingen, E.;7;0;0;2;2;0;1;0;0;2;0
;;14;Lankreijer, S.;11;1;0;1;3;2;0;0;0;4;0
5;D66;;;436;35;11;50;63;70;20;43;28;80;36
;;1;Defferding, P.;174;16;6;21;29;28;8;22;12;24;8
;;2;Jensen, I.F.;151;13;2;15;20;19;9;17;8;32;16
;;3;Wierbos, A.H.;37;1;0;4;4;5;2;3;2;10;6
;;4;Wiering-Penders, S.M.;11;2;1;3;1;3;0;0;0;1;0
;;5;Fokkema, W.S.;14;2;1;1;1;5;1;0;0;2;1
;;6;Rood, N.L.;17;0;0;2;5;1;0;1;0;5;3
;;7;Hebing, B.P.;14;0;1;0;3;7;0;0;0;1;2
;;8;Smeets, M.I.V.M.;7;0;0;1;0;2;0;0;2;2;0
;;9;Gebbink, M.F.B.G.;11;1;0;3;0;0;0;0;4;3;0
