Verkiezing;;Gemeenteraad Lopik 2022;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Lopik;;;;;;;;;;;;;;;;;;
Nummer;;0331;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Gemeentewerf Lopik;Dorpshuis De Schouw;Schep Partyservice;Ver. gebouw Jaarsveld;In 't Witte Paard;Buurthuis 't Wilgegat;Dorpshuis Benschop;Buurthuis de Triangel;Dorpshuis  Polsbroek;Dorpshuis De Schouw (maandag);Dorpshuis De Schouw (dinsdag);Dorpshuis Benschop (maandag);Dorpshuis Benschop (dinsdag);Gemeentewerf Lopik (maandag);Gemeentewerf Lopik (dinsdag)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
Postcode;;;;;3411 CH;3411 MB;3411 DJ;3412 KZ;3413 MP;3411 EC;3411 NC;3405 XJ;3405 CE;3415 PE;3411 DJ;3411 DJ;3405 XJ;3405 XJ;3411 MB;3411 MB
;opgeroepenen;;;11509;1559;1059;2056;1117;744;844;263;2296;674;897;0;0;0;0;0;0
;geldige stempas;;;5681;491;139;863;483;313;415;148;797;328;496;220;351;182;331;54;70
;geldig volmachtbewijs;;;853;57;16;127;118;58;68;18;108;54;75;33;45;26;42;3;5
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;6534;548;155;990;601;371;483;166;905;382;571;253;396;208;373;57;75
;geldige stembiljetten;;;6498;545;154;982;599;362;482;165;903;377;570;253;394;208;372;57;75
;blanco stembiljetten;;;25;3;0;6;1;5;0;1;2;4;0;0;2;0;1;0;0
;ongeldige stembiljetten;;;10;1;1;2;1;2;1;0;0;1;1;0;0;0;0;0;0
;aangetroffen stembiljetten;;;6533;549;155;990;601;369;483;166;905;382;571;253;396;208;373;57;75
;meer stembiljetten dan toegelaten kiezers;;;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;3;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;VVD;;;906;57;13;153;86;66;80;18;155;46;53;41;39;27;56;6;10
