Verkiezing;;Gemeenteraad Veenendaal 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Veenendaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0345;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Wijkcentrum Duivenwal;Wijkcentrum Panorama;Gebouw Rode Kruis;Voetbalvereniging De Merino's;Zaalruimte Het Trefpunt;Vredeskerk;Salvatorkerk;Voetbalvereniging VRC;Sionskerk;Gymzaal 't Kofschip;Voetbalvereniging G.V.V.V.;Bethelkerk;Gymzaal Sporthal West (1);Gymzaal Langelaar;Gymzaal Trommelaar;Buurthuis 't Turfke;Gymzaal Gouverneurslaan (1);Gymzaal Gouverneurslaan (2);Gymzaal Zoete Inval;Wijkkerk De Open Hof (1);Wijkkerk De Open Hof (2);Wijkcentrum Kleine Beer;Gymzaal Zuiderkruis;Westerkerk;Gymzaal Langelaar (2);Gymzaal Goudmos (1);Gymzaal Goudmos (2);Pnielkerk;Spectrum;Sporthal Oost (Ontmoetingshuis) (1);Sporthal Oost (Ontmoetingshuis) (2);Sporthal Oost (Ontmoetingshuis) (3);Gymzaal Sporthal West (2);Drive-through (gemeentewerf);Mobiel Stembureau;Zaalruimte Trefpunt;Wijkkerk De Open Hof;Westerkerk;Spectrum;Zaalruimte Trefpunt;Wijkkerk De Open Hof;Westerkerk;Spectrum
Gebiednummer;;;;;01;02;03;05;06;07;08;09;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;35;36;37;106;121;125;130;206;221;225;230
;opgeroepenen;;;52625;1750;1749;1661;1602;1510;1475;1764;1732;1859;1552;1664;1028;1457;1378;1791;1849;1603;1941;1596;1895;1693;1734;1935;1473;1508;1614;1834;1673;1485;1521;0;1749;1550;0;0;0;0;0;0;0;0;0;0
;geldige stempas;;;25837;649;328;549;253;923;564;545;309;923;1063;241;417;714;561;496;730;682;507;200;860;780;480;557;1175;470;934;897;475;804;622;602;601;518;320;87;368;504;673;404;632;763;1041;616
;geldig volmachtbewijs;;;3977;87;47;55;52;166;106;84;61;164;169;43;66;75;100;76;133;100;91;35;147;118;53;117;176;94;150;123;71;101;102;117;93;81;66;10;49;60;77;52;96;103;119;92
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;29814;736;375;604;305;1089;670;629;370;1087;1232;284;483;789;661;572;863;782;598;235;1007;898;533;674;1351;564;1084;1020;546;905;724;719;694;599;386;97;417;564;750;456;728;866;1160;708
;geldige stembiljetten;;;29708;734;374;597;305;1086;668;626;368;1084;1230;283;481;783;662;570;858;778;598;234;1003;894;532;667;1346;562;1083;1019;544;900;721;717;692;598;384;96;413;563;750;453;727;861;1158;706
;blanco stembiljetten;;;51;1;1;1;0;1;1;3;2;3;1;0;0;5;0;1;3;1;0;0;0;3;1;4;2;0;1;0;2;3;0;1;1;0;1;0;3;0;0;3;0;0;1;1
;ongeldige stembiljetten;;;53;1;0;6;0;1;2;0;0;0;0;1;2;2;1;1;2;2;0;1;4;1;0;3;2;1;0;1;0;2;3;1;1;1;1;1;0;1;0;0;1;4;2;1
;aangetroffen stembiljetten;;;29812;736;375;604;305;1088;671;629;370;1087;1231;284;483;790;663;572;863;781;598;235;1007;898;533;674;1350;563;1084;1020;546;905;724;719;694;599;386;97;416;564;750;456;728;865;1161;708
