Verkiezing;;Gemeenteraad Woerden 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Woerden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0632;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Grand Salon Plein 7;Zorgcentrum 't Oude Landt;De Willemshoeve;Tennisvereniging VEP;Jan de Bakkerschool;Islamitisch Cultureel Centrum Woerden;Brediushonk;Thijs van der Polshal;Rehobothkerk Woerden;Kruiskerk;Sporthal Bulwijk;Johan Frisoschool;Maranathakerk;KBS de Franciscus;Gemeentehuis;Het Baken;Gymzaal Margrietschool;De Regenboogschool;Dorpshuis Harmelen;'Het Trefpunt', Centrum NH Kerk;MFC Dezibel;Recreatiecentrum H2O (zwembad);MFC Milandhof;RK Parochiecentrum De Kanis;MFC De Schulenburch;Grand Salon Plein 7 (maandag);Grand Salon Plein 7 (dinsdag);Gemeentehuis (maandag);Gemeentehuis (dinsdag);Sporthal Bulwijk (maandag);Sporthal Bulwijk (dinsdag);'Het Trefpunt', Centrum NH Kerk (maandag);'Het Trefpunt', Centrum NH Kerk (dinsdag);Het Baken (maandag);Het Baken (dinsdag);MFC De Schulenburch (maandag);MFC De Schulenburch (dinsdag);MFC Milandhof (maandag);MFC Milandhof (dinsdag)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39
Postcode;;;;;3441 BG;3443 AH;3445 AS;3445 TH;3442 XH;3442 JE;3443 BG;3443 CT;3443 BZ;3443 CD;3448 CH;3448 DX;3448 DC;3448 TH;3447 GR;3446 GS;3446 BT;3446 JG;3481 GH;3481 XA;3481 VC;3481 WE;3474 KC;3471 GT;3471 EJ;3441 BG;3441 BG;3447 GR;3447 GR;3448 CH;3448 CH;3481 XA;3481 XA;3446 GS;3446 GS;3471 EJ;3471 EJ;3474 KC;3474 KC
;opgeroepenen;;;41438;2220;1090;1671;1548;1781;1586;1605;1398;1332;1772;2065;1671;1718;1746;1824;1450;1831;1801;2036;1791;1320;1429;1814;873;2066;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geldige stempas;;;22502;1068;474;928;536;706;595;644;787;479;763;650;644;920;874;521;784;1063;912;957;677;606;608;702;450;911;349;533;218;244;208;372;298;411;321;537;111;241;114;286
;geldig volmachtbewijs;;;2661;116;34;121;61;87;97;61;86;79;106;25;57;115;111;88;120;120;97;125;99;80;58;97;44;111;31;56;17;27;24;39;34;53;40;65;12;29;7;32
;geldige kiezerspas;;;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;25164;1184;508;1049;597;793;693;705;873;558;869;675;701;1035;985;609;904;1183;1009;1082;776;686;666;799;494;1022;380;589;235;271;232;411;332;464;361;602;123;270;121;318
;geldige stembiljetten;;;25075;1178;506;1046;595;792;687;702;873;555;860;668;696;1030;984;603;901;1181;1009;1080;774;684;663;799;492;1020;380;588;235;269;232;409;332;463;359;601;123;270;120;316
;blanco stembiljetten;;;46;0;1;1;0;0;6;2;0;1;6;3;5;2;1;2;1;2;0;2;2;2;0;0;0;1;0;0;0;1;0;1;0;1;0;1;0;0;0;2
;ongeldige stembiljetten;;;37;3;1;1;2;1;0;1;0;2;3;4;0;3;0;4;2;0;0;0;0;0;2;0;1;1;0;1;0;1;0;1;0;0;2;0;0;0;1;0
;aangetroffen stembiljetten;;;25158;1181;508;1048;597;793;693;705;873;558;869;675;701;1035;985;609;904;1183;1009;1082;776;686;665;799;493;1022;380;589;235;271;232;411;332;464;361;602;123;270;121;318
;meer stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;6;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;CDA;;;4262;98;105;163;66;82;90;101;118;108;109;61;68;95;83;70;138;148;116;267;165;148;94;391;172;253;45;87;35;43;15;29;68;102;61;79;43;88;59;199
;;1;van Meijeren, P.J.;1500;31;53;60;25;34;32;44;42;39;44;23;20;38;28;17;45;46;32;29;17;13;13;301;27;38;19;32;16;17;5;5;9;17;29;31;7;16;42;164
;;2;Streng, V.S.M.;538;14;9;48;9;16;19;18;28;35;25;11;22;12;26;18;34;24;21;6;6;2;2;17;6;16;8;22;7;10;1;10;1;2;6;14;1;4;3;5
;;3;Hollemans, M.L.A.;146;5;6;11;3;4;6;4;10;1;12;0;3;4;4;8;12;17;7;0;1;0;0;0;0;1;4;3;0;2;0;0;0;0;10;8;0;0;0;0
;;4;van Soest, A.E.M.;753;2;6;6;8;0;1;8;2;7;3;4;0;10;2;2;6;7;3;206;123;116;62;8;17;4;1;1;2;0;1;1;51;71;1;4;0;5;0;2
;;5;Boere, J.W.P.;401;3;5;1;3;1;0;0;5;11;4;0;1;7;1;5;1;0;1;7;3;6;5;7;100;143;0;0;1;0;0;0;2;5;2;3;23;44;0;1
;;6;van Aalst, R.P.A.;45;0;2;1;2;1;3;1;1;0;0;0;0;1;0;4;1;15;4;0;0;0;0;1;0;1;1;0;0;0;1;1;0;1;2;1;0;0;0;0
;;7;Noorthoek, A.;334;20;14;18;12;10;13;10;10;12;10;11;13;16;18;10;20;18;16;2;5;1;3;1;4;7;4;11;7;7;1;7;0;0;7;12;1;2;1;0
;;8;Păulet, I.;42;1;1;3;0;3;8;0;4;1;1;0;0;3;2;0;1;0;4;0;0;1;0;0;0;0;1;2;0;0;0;1;1;0;0;1;2;1;0;0
