Verkiezing;;Gemeenteraad Woudenberg 2022;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;
Gebied;;Gemeente Woudenberg;;;;;;;;;;
Nummer;;0351;;;;;;;;;;
;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Cultureel Centrum De Camp;Woon- en zorgcentrum Groenewoude;Multifunctioneel Centrum De Schans;Partycentrum Schimmel;Kerkgebouw De Voorhof;Cultuurhuis (Maandag);Cultuurhuis (Dinsdag)
Gebiednummer;;;;;1;2;3;4;5;6;7;8
Postcode;;;;;3931 KK;3931 AP;3931 SR;3931 KJ;3931 EP;3931 CC;3931 EH;3931 EH
;opgeroepenen;;;84624;10578;10578;10578;10578;10578;10578;10578;10578
;geldige stempas;;;6280;1034;1048;680;1004;714;658;464;678
;geldig volmachtbewijs;;;912;143;152;101;120;144;110;48;94
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;7192;1177;1200;781;1124;858;768;512;772
;geldige stembiljetten;;;7165;1173;1189;775;1120;856;768;512;772
;blanco stembiljetten;;;12;2;4;3;3;0;0;0;0
;ongeldige stembiljetten;;;14;2;6;3;1;2;0;0;0
;aangetroffen stembiljetten;;;7191;1177;1199;781;1124;858;768;512;772
;meer stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;1;0;1;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0
;geen verklaring;;;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0
1;GemeenteBelangen Woudenberg;;;1894;282;310;211;336;176;211;153;215
;;1;de Kruif, D.P.;830;154;120;95;130;70;99;64;98
;;2;van Schaik, P.;82;10;12;6;14;12;7;7;14
;;3;den Herder, S.A.;192;17;36;18;23;29;23;23;23
;;4;de Jong, B.S.;150;18;29;15;34;16;14;12;12
;;5;Westenberg, J.;30;6;8;2;4;2;3;3;2
;;6;Opstelten, W.A.J.;64;11;7;1;15;5;7;10;8
;;7;Blok - Houtsma, I.C.C.;59;6;5;5;26;3;8;2;4
;;8;Merkens, W.A.;17;3;4;0;2;2;1;4;1
;;9;Schipper, K.E.;55;13;3;3;9;5;6;7;9
;;10;Rellum, M.;5;2;0;0;2;1;0;0;0
;;11;van der Ham, J.N.;21;2;8;2;3;2;2;0;2
;;12;de Snoo, R.;28;7;0;2;6;1;3;2;7
;;13;de Kruif, L.J.;16;3;3;2;1;1;1;2;3
;;14;Vink, A.;41;4;5;8;12;3;4;1;4
;;15;Lindhout, J.T.;21;1;4;3;7;3;3;0;0
;;16;de Man, M.;23;2;8;4;5;1;1;0;2
;;17;de Haan, M.;20;1;2;5;3;2;2;4;1
;;18;van Baaren, J.D.E.;34;2;7;3;7;2;8;1;4
;;19;Radstaake, B.;58;7;12;10;9;6;9;2;3
;;20;van Zon, L.M.G.;15;1;3;1;7;0;2;1;0
;;21;van Buren, W.E.;6;0;1;1;1;1;0;0;2
;;22;Boom, T.W.;13;0;2;1;3;0;1;2;4
;;23;Kroonsberg, E.G.J.;10;2;0;3;2;0;0;1;2
;;24;Bakkernes, N.J.;12;1;5;0;0;4;1;0;1
;;25;Wierper, E.M.;8;2;1;1;3;0;1;0;0
;;26;Boom, E.W.;3;0;1;0;1;0;0;1;0
;;27;van Lambalgen, M.;19;5;0;1;0;4;3;1;5
;;28;van Baaren, J.;5;0;2;1;0;0;1;0;1
;;29;Bakkernes, J.W.;26;1;12;9;1;0;0;1;2
;;30;te Nuijl, R.A.;2;0;2;0;0;0;0;0;0
;;31;van Scharenburg, T.G.M.;1;0;0;0;0;1;0;0;0
;;32;Wagensveld, A.;8;0;1;5;0;0;1;1;0
;;33;van de Hoef, M.;20;1;7;4;6;0;0;1;1
2;Staatkundig Gereformeerde Partij (SGP);;;1923;282;324;216;252;327;248;95;179
;;1;Molenaar, H.J.;1006;157;166;110;144;152;127;58;92
;;2;van Veldhuizen, H.M.;153;20;35;16;14;9;23;15;21
;;3;Heldoorn, G.J.;139;17;29;10;25;24;22;3;9
;;4;de Vogel, J.;49;6;7;5;7;5;15;0;4
;;5;Holleman, V.M.;104;10;14;16;13;22;14;3;12
;;6;Veenendaal, R.;97;25;32;8;9;8;9;2;4
;;7;van Ravenhorst, J.J.;40;6;7;6;4;17;0;0;0
;;8;van de Geer, J.;16;3;1;0;1;9;2;0;0
;;9;Groenendijk, W.J.;15;2;2;5;0;0;1;1;4
;;10;Lubbers, H.J.;44;11;7;7;6;3;3;3;4
;;11;van der Wind, W.J.;16;0;2;1;1;10;0;0;2
;;12;van de Lagemaat, C.;30;0;2;1;3;22;2;0;0
;;13;Prins, A.;3;0;0;0;2;1;0;0;0
