Verkiezing;;Gemeenteraad Zeist 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Zeist;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0355;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Hotel theater Figi;Bibliotheek;Maria Oord;Kerkgebouw de Ark;NoorderLichtgemeente;Wijkgebouw 't Lichtpunt;Restaurant Jagershuys;Zeister vrije school locatie van Tuyllaan;Speeltuin- en belangenvereniging kindervreugd;Dijnselburg A;Dijnselburg B;Wijkservicepunt Noord;Wijkservicepunt ’t Volle Hof;Flex@Work;Centraal Bureau 't Noorderpunt;Sionskerk A;Sionskerk B;VSO Heuvelrug college;CBS Nije-Kroost;St. Kerkelijk Centrum Zeist-West A;St. Kerkelijk Centrum Zeist-West B;Wijkcentrum De Koppeling A;Wijkcentrum De Koppeling B;Oude voedselbank;Comeniusschool;Zorgcentrum Amandelhof;Kerckebosch school;Binnenbos A;Binnenbos B;Dorpshuis Hart van Austerlitz;Abrona  't Lichtpunt;Adra Share & Care;Verpleeghuis de Wijngaard;Villa Den Dolder;Dolderse Sportclub DOSC;Maria Christinakerk Den Dolder;Hotel theater Figi (maandag);Dijnselburg (maandag);Flex@Work (maandag);St. Kerkelijk Centrum Zeist-West (maandag);Binnenbos (maandag);Dolderse Sportclub DOSC (maandag);Hotel theater Figi (dinsdag);Dijnselburg (dinsdag);Flex@Work (dinsdag);St. Kerkelijk Centrum Zeist-West (dinsdag);Binnenbos (dinsdag);Dolderse Sportclub DOSC (dinsdag)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;41;42;43;44;45;46;51;52;53;54;55;56
Postcode;;;;;3701 HS;3701 HS;3701 JZ;3702 VG;3702 SB;3707 AE;3707 BM;3707 HW;3707 CV;3705 XD;3705 GK;3705 GK;3705 HD;3706 AA;3706 AP;3706 AH;3705 BP;3705 BP;3704 GN;3704 EG;3704 KB;3704 KB;3704 KS;3704 KS;3703 AJ;3703 CG;3708 AB;3708 GA;3708 DL;3708 DL;3711 BP;3712 XJ;3712 AD;3735 MR;3734 BL;3734 EJ;3734 BG;3701 HS;3705 GK;3706 AP;3704 KB;3708 DL;3734 EJ;3701 HS;3705 GK;3706 AP;3704 KB;3708 DL;3734 EJ
;opgeroepenen;;;51470;1700;1400;1600;1400;1400;1000;1500;1300;1250;1000;1000;1000;1300;1000;1000;1200;1200;1200;1500;1700;1200;1200;1200;1200;800;1000;1200;600;1200;1200;1500;1300;620;1300;1100;700;1500;750;600;500;750;500;400;750;600;500;750;500;400
;geldige stempas;;;25778;916;482;1010;489;717;511;1116;516;557;410;173;231;822;336;628;495;608;508;441;761;569;404;487;439;243;329;512;322;527;539;808;443;348;554;486;426;647;565;413;287;640;411;238;804;461;459;784;627;279
;geldig volmachtbewijs;;;3062;127;69;106;53;72;58;150;101;64;55;24;29;88;34;67;46;77;66;63;95;74;50;75;80;19;41;66;31;73;74;107;57;42;81;67;57;62;65;31;13;64;37;26;73;51;32;71;61;38
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;28840;1043;551;1116;542;789;569;1266;617;621;465;197;260;910;370;695;541;685;574;504;856;643;454;562;519;262;370;578;353;600;613;915;500;390;635;553;483;709;630;444;300;704;448;264;877;512;491;855;688;317
;geldige stembiljetten;;;28718;1035;549;1110;539;784;568;1258;614;620;465;196;259;897;367;688;538;683;568;504;855;638;452;555;514;262;370;574;353;598;612;912;498;388;633;552;483;709;630;442;300;704;448;264;876;512;487;855;687;313
;blanco stembiljetten;;;76;5;2;5;1;4;0;3;1;1;0;0;0;9;2;7;3;2;4;0;1;2;0;5;3;0;0;3;0;2;0;2;0;0;0;1;0;0;0;1;0;0;0;0;1;0;3;0;1;2
;ongeldige stembiljetten;;;43;3;0;1;2;1;1;3;2;1;0;1;1;3;1;0;0;0;2;0;0;3;2;2;2;0;0;0;0;0;1;1;2;2;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2
