Verkiezing;;Gemeenteraad Amstelveen 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Amstelveen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0362;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Wijksteunpunt Pluspunt;Raadhuis Amstelveen;Paaskerk;Rode Kruis gebouw;Wijkcentrum Noorddamcentrum;Dorpshuis De Nesse;Schooltuinen Bankrasflora;Wijkcentrum Alleman;Wijkcentrum de Bolder;Tent naast Serviceflat De Seine;Ontmoetingscentrum De Meent;Wijksteunpunt Middenhof;Wijksteunpunt Dignahof;Boekhandel Libris Venstra;Kruiskerk;Gymzaal Oostelijk Halfrond;Villa Randwijck;Wijkcentrum Westend;Gymzaal Montessorischool;Space ToBe;o.b.s. Piet Heinschool;Brede School Roelof Venema;Wijkcentrum Westend 2;Enjoy! Learning;Gymzaal de Meent;Gymzaal Westwijk 1;Gymzaal Westwijk 2;Nieuwe Bankrashal 1;Nieuwe Bankrashal 2;Gemeentewerf;Ben Goudsmit sporthal 1;Ben Goudsmit sporthal 2;Gymzaal bij de Westwijzer;Maandag Raadhuis;Maandag Paaskerk;Maandag Villa Randwijck;Maandag Westend;Dinsdag Raadhuis;Dinsdag Paaskerk;Dinsdag Villa Randwijck;Dinsdag Westend;Il Caffè 1;Verpleeghuis Groenelaan;Gemeentewerf Escapade;Il Caffè 2;Maandag Wijksteunpunt Middenhof;Dinsdag Wijksteunpunt Middenhof;Maandag Kruiskerk;Dinsdag Kruiskerk;Maandag Wijkcentrum de Bolder;Dinsdag Wijkcentrum de Bolder;Maandag Wijkcentrum Alleman;Dinsdag Wijkcentrum Alleman
Gebiednummer;;;;;9;10;13;14;15;17;20;21;25;26;29;30;33;35;36;38;40;41;42;44;46;48;49;50;53;55;56;57;58;60;62;63;65;66;67;68;69;70;71;72;73;78;79;80;81;82;83;84;85;86;87;88;89
Postcode;;;;;1182 GC;1182 JR;1185 CN;1185 HH;1187 CM;1189 WD;1183 BA;1183 JM;1186 EP;1186 NR;1188 AM;1188 KD;1187 LN;1181 ZM;1181 RB;1183 EZ;1181 AT;1187 LS;1181 NC;1186 ZV;1181 XW;1181 ER;1187 LS;1182 GW;1188 AM;1187 DA;1187 DA;1183 KK;1183 KK;1185 XW;1185 TB;1185 TB;1187 ZS;1182 JR;1185 CN;1181 AT;1187 LS;1182 JR;1185 CN;1181 AT;1187 LS;1183 DB;1186 AB;1183 NM;1183 DB;1188 KD;1188 KD;1181 RB;1181 RB;1186 EP;1186 EP;1183 JM;1183 JM
;opgeroepenen;;;65488;1235;1268;1235;1235;1235;1235;1235;1235;1235;1235;1235;1235;1235;1235;1235;1235;1235;1235;1235;1235;1235;1235;1235;1235;1235;1235;1235;1235;1235;1235;1235;1235;1235;1235;1235;1235;1235;1235;1235;1235;1235;1235;1235;1235;1235;1235;1235;1235;1235;1235;1235;1235;1235
;geldige stempas;;;30999;606;915;546;884;617;348;679;921;992;427;899;913;457;1116;1162;475;944;1307;775;671;557;761;475;532;598;389;377;241;243;98;367;236;472;352;386;327;632;451;352;406;976;559;202;169;791;440;516;449;590;532;737;570;562
;geldig volmachtbewijs;;;3623;66;150;44;117;87;48;83;94;109;38;110;103;65;125;163;50;118;181;106;92;78;90;77;75;63;52;52;33;20;9;48;33;58;32;37;19;59;42;41;33;119;30;26;29;41;39;69;61;67;38;68;64;72
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;34622;672;1065;590;1001;704;396;762;1015;1101;465;1009;1016;522;1241;1325;525;1062;1488;881;763;635;851;552;607;661;441;429;274;263;107;415;269;530;384;423;346;691;493;393;439;1095;589;228;198;832;479;585;510;657;570;805;634;634
;geldige stembiljetten;;;34409;662;1059;580;992;698;394;755;1006;1090;461;1002;1011;520;1233;1321;522;1059;1482;873;763;629;844;550;602;657;439;429;274;262;107;415;269;524;382;421;345;688;491;393;435;1094;577;227;198;822;479;584;509;654;562;801;631;632
;blanco stembiljetten;;;79;6;3;3;4;1;1;3;4;5;3;0;3;0;1;1;2;1;1;2;0;2;1;0;2;0;0;0;0;0;0;0;0;4;1;1;0;0;1;0;1;1;8;1;0;8;0;1;0;1;1;0;0;1
;ongeldige stembiljetten;;;123;3;2;7;5;5;1;4;4;6;1;6;2;2;6;3;1;2;5;3;0;4;6;2;3;4;0;2;0;1;0;0;0;2;1;1;1;3;1;0;3;1;4;0;0;2;0;1;1;2;2;4;3;1
