Verkiezing;;Gemeenteraad Beverwijk 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Beverwijk;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0375;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Kennemer Theater;Sporthal Waterwijk;Gymzaal Kuikensweg;De Moriaan;Kennemer Theater;Sporthal Waterwijk;Gymzaal Kuikensweg;De Moriaan;Buurthuis Wijk aan Duin;Kennemer Theater;Immanuelkerk;Brandweerkazerne Beverwijk-Oost;Gymzaal de Dreef;OBS het Kompas;Beverwijkse Harmonie Kapel;Fysiotherapie Europa;Speeltuin Jeugd en Vreugd;TTV Rapidity;Nieuw Akerendam;Gymzaal Kuikensweg;Sporthal Waterwijk;Sporthal Waterwijk;De Moriaan;Stadhuis Bijzonder Stembureau;Vredevorstkerk;Mobiel Stembureau
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;20;21;22;23;24;25;26;32
;opgeroepenen;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geldige stempas;;;13179;537;271;352;159;636;387;525;230;744;991;389;797;829;399;698;277;215;431;558;1002;795;279;596;286;754;42
;geldig volmachtbewijs;;;1564;68;37;39;11;82;51;57;28;94;99;40;125;80;57;89;36;28;42;54;137;110;39;71;23;66;1
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;14743;605;308;391;170;718;438;582;258;838;1090;429;922;909;456;787;313;243;473;612;1139;905;318;667;309;820;43
;geldige stembiljetten;;;14697;607;307;390;169;714;437;580;257;836;1087;423;921;904;456;785;313;242;471;609;1136;900;318;664;308;820;43
;blanco stembiljetten;;;28;0;1;1;0;2;2;0;1;2;2;2;0;2;0;1;0;0;1;1;1;5;1;2;1;0;0
;ongeldige stembiljetten;;;20;0;0;0;1;2;0;2;0;0;0;4;1;3;0;1;0;1;1;2;1;0;0;1;0;0;0
;aangetroffen stembiljetten;;;14745;607;308;391;170;718;439;582;258;838;1089;429;922;909;456;787;313;243;473;612;1138;905;319;667;309;820;43
;meer stembiljetten dan toegelaten kiezers;;;4;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;geen verklaring;;;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;VVD;;;1954;35;88;58;22;53;93;66;33;54;97;33;69;192;38;139;18;9;32;162;193;209;84;69;33;73;2
;;1;Ferraro, S.G.;757;13;46;15;3;22;57;23;8;20;29;12;25;66;19;55;8;4;7;38;73;113;39;15;10;36;1
;;2;Middendorp, B.H.;471;10;7;19;0;19;11;22;5;17;25;4;17;56;8;35;4;4;13;68;45;25;14;8;4;30;1
;;3;Spindelaar, C.;146;3;2;6;0;4;3;6;0;1;7;2;5;39;1;11;3;1;1;15;16;11;2;0;7;0;0
;;4;van Bemmelen, M.;55;2;0;4;1;2;4;2;6;2;2;4;0;2;0;1;0;0;0;0;7;3;0;10;2;1;0
;;5;van Wijck, H.E.J.J.;65;1;1;0;13;0;0;0;14;0;2;0;0;0;0;1;0;0;0;2;2;0;0;29;0;0;0
;;6;Victoriashoop, M.S.;50;0;5;1;0;1;1;0;0;1;5;2;1;1;2;5;1;0;3;3;6;4;7;0;0;1;0
