Verkiezing;;Gemeenteraad Diemen 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Diemen;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0384;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Gemeentehuis trouwzaal;Zorgcentrum de Diem;Sociaal cult. centrum de Schakel;Keet Buitenlust;Sporthal Diemen zaal 1;Brede school Noorderbreedte;Wijkcentrum Noord zaal 1;Wijkcentrum Noord zaal 2;Berkenstede;Sportcentrum Duran zaal 1;Sportcentrum Duran zaal 2;Lounge and Garden Campus;Keet Boschplaat;Korfbalvereniging DKV;Zorginstituut Nederland;NS metrostation Diemen Zuid;Huis van de Buurt 't Kruidvat;Keet van Markenplantsoen;Keet Venserkade/Loswal;Gemeentehuis maandag;Gemeentehuis dinsdag;Wijkcentrum Noord maandag;Wijkcentrum Noord dinsdag;Huis van de buurt 't Kruidvat maandag;Huis van de buurt 't Kruidvat dinsdag
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;19;23;29;30;114;115;814;815;2314;2315
Postcode;;;;;1111 ZB;1111 ZB;1111 AM;1111 CC;1111 LZ;1111 ET;1111 WD;1113 HM;1113 HM;1112 CL;1112 BE;1112 BE;1112 XC;1112 KA;1111 PX;1112 ZA;1112 CK;1112 BE;1111 HV;1112 CH;1111 ZB;1111 ZB;1113 HM;1113 HM;1112 BB;1112 BB
;opgeroepenen;;;24319;1034;1579;0;1071;1943;1335;1829;1737;1702;0;898;1073;1359;723;1645;1560;1019;1473;1294;1045;0;0;0;0;0;0
;geldige stempas;;;9670;697;699;0;380;187;450;472;576;538;27;297;329;268;321;435;449;257;472;415;254;476;642;303;317;176;233
;geldig volmachtbewijs;;;1088;69;78;0;38;16;70;66;74;70;1;27;36;8;47;93;29;32;40;42;40;37;59;33;45;16;22
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;10758;766;777;0;418;203;520;538;650;608;28;324;365;276;368;528;478;289;512;457;294;513;701;336;362;192;255
;geldige stembiljetten;;;10680;764;764;0;413;202;517;534;645;608;27;321;360;274;368;525;475;286;505;455;292;506;697;335;362;191;254
;blanco stembiljetten;;;31;2;4;0;2;0;3;3;1;0;1;2;0;0;0;1;1;2;1;1;0;3;2;1;0;0;1
;ongeldige stembiljetten;;;42;0;9;0;3;0;0;1;3;0;0;1;5;2;0;2;1;1;6;1;2;1;3;0;0;1;0
;aangetroffen stembiljetten;;;10753;766;777;0;418;202;520;538;649;608;28;324;365;276;368;528;477;289;512;457;294;510;702;336;362;192;255
;meer stembiljetten dan toegelaten kiezers;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;6;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;GROENLINKS;;;2289;211;232;0;84;46;130;77;92;106;0;60;74;108;41;106;126;74;121;107;50;80;174;54;44;36;56
;;1;Sikkes-van den Berg, M.A.;580;60;52;0;16;21;39;23;27;22;0;14;13;19;8;22;36;20;21;36;19;28;43;4;14;6;17
;;2;van 't Riet, H.;400;30;39;0;21;7;24;22;15;22;0;11;9;12;6;21;15;8;27;12;6;14;35;17;11;7;9
;;3;Yildiz-Kaya, Y.;649;59;54;0;25;10;43;17;30;30;0;12;31;41;15;32;29;22;32;33;17;19;43;17;9;16;13
;;4;Bouwhuis, E.;36;2;0;0;0;0;2;0;2;1;0;1;2;0;0;1;8;1;3;3;0;2;3;1;2;1;1
;;5;de Bruijn, T.A.C.;81;15;25;0;2;1;0;0;0;3;0;0;0;7;1;0;4;2;1;3;0;4;8;1;0;1;3
;;6;de Smalen, A.M.;157;12;20;0;4;0;4;6;3;16;0;2;8;8;4;17;8;3;10;1;4;7;12;3;3;0;2
;;7;van Engelen, N.;83;5;6;0;5;0;10;0;4;3;0;5;1;4;4;9;4;2;9;1;0;1;2;2;3;1;2
;;8;Belt, C.S.;58;4;6;0;0;0;2;1;0;1;0;2;4;5;1;1;3;7;7;1;1;2;2;2;1;2;3
;;9;Niessen, R.G.T.;30;2;3;0;2;1;0;0;0;1;0;10;2;0;0;0;3;3;1;0;0;0;0;1;0;1;0
;;10;Bos, M.;68;8;13;0;1;1;4;2;2;1;0;0;1;9;0;1;4;1;2;9;0;1;7;0;1;0;0
;;11;Oranje, R.J.;12;1;2;0;2;0;0;0;0;0;0;0;0;1;0;0;1;0;1;2;0;0;1;1;0;0;0
;;12;van Dijk, D.;10;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;1;1;0;0;0;0;0;0;0
;;13;Engels, M.A.J.;24;1;3;0;2;0;0;0;4;2;0;1;0;0;0;1;1;0;1;2;0;0;1;2;0;0;3
;;14;Heemstra, A.R.;8;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;1
;;15;Smit, R.M.;8;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;3;1;0;0;0
;;16;Heerma van Voss, A.F.;7;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;1;1
;;17;van Schoot, M.B.A.;42;10;3;0;0;1;0;2;1;2;0;0;1;0;0;0;1;1;2;1;2;2;13;0;0;0;0
;;18;Schenk, J.;36;1;4;0;3;2;2;2;4;2;0;2;0;2;1;1;1;2;2;2;0;0;0;2;0;0;1
2;D66;;;1756;100;129;0;80;14;94;92;114;91;1;61;60;61;56;153;110;39;54;81;34;79;113;34;52;32;22
;;1;Klaasse, J.D.W.;612;27;32;0;30;6;28;37;42;23;1;22;15;17;23;58;47;15;19;21;14;34;44;12;17;16;12
;;2;Poelwijk, R.;133;16;7;0;10;3;2;1;13;10;0;4;6;6;2;5;6;1;1;19;0;6;10;4;0;0;1
;;3;Muijs, S.E.;441;22;34;0;19;2;28;25;34;19;0;18;16;16;9;43;22;4;17;12;9;15;34;9;20;9;5
;;4;Ramautarsing, O.U.;316;16;27;0;11;1;24;18;11;18;0;10;16;13;9;28;19;17;11;16;7;13;15;2;6;5;3
;;5;Berkhout, H.J.;19;0;2;0;1;0;1;0;4;3;0;0;1;0;0;0;0;0;1;0;0;1;0;1;4;0;0
;;6;Simonetti, F.B.;12;0;0;0;1;0;0;0;3;3;0;0;0;1;1;0;1;0;0;0;0;0;0;2;0;0;0
;;7;Ruting, T.S.;46;8;11;0;0;0;4;0;0;1;0;1;1;3;8;1;0;0;1;1;1;3;1;0;0;0;1
;;8;Lammertink, M.M.G.;79;4;9;0;2;1;3;7;4;9;0;1;0;3;2;7;9;1;3;1;1;6;2;1;3;0;0
;;9;Thomasz, A.C.;18;0;2;0;2;1;0;0;0;2;0;0;0;0;1;1;0;1;0;6;0;0;1;1;0;0;0
;;10;Hoes, T.;7;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;2;0;0;0;0;1;1;0
