Verkiezing;;Gemeenteraad Enkhuizen 2022;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;
Gebied;;Gemeente Enkhuizen;;;;;;;;;;;;;;;
Nummer;;0388;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;De Drommedaris;De Nieuwe Doelen;De Westerkerk;Franciscus Xaverius parochie, RK kerk;Buurthuis IJsselzand;Wijkcentrum de Bonte Veer;Sporthal De Drecht, nr. 1;Het Apostolisch Genootschap;sporthal De Drecht, nr. 2;Wijkcentrum de Bonte Veer (maandag);Wijkcentrum de Bonte Veer (dinsdag);De Drommedaris (maandag);De Drommedaris (dinsdag)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13
Postcode;;;;;1601 GD;1601 GG;1601 AN;1601 AS;1602 XZ;1602 PV;1602 DK;1602 JA;1602 DK;1602 PV;1602 PV;1601 GD;1601 GD
;opgeroepenen;;;15037;1693;1540;1369;1778;1564;1691;1727;1479;2196;0;0;0;0
;geldige stempas;;;6825;517;440;1055;547;224;1289;234;563;152;480;627;278;419
;geldig volmachtbewijs;;;762;71;52;102;40;21;166;28;72;19;51;83;20;37
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;7587;588;492;1157;587;245;1455;262;635;171;531;710;298;456
;geldige stembiljetten;;;7553;584;489;1151;586;245;1452;261;631;170;528;705;297;454
;blanco stembiljetten;;;16;0;1;4;1;0;1;0;3;1;0;3;0;2
;ongeldige stembiljetten;;;16;2;2;2;0;0;2;1;1;0;3;2;1;0
;aangetroffen stembiljetten;;;7585;586;492;1157;587;245;1455;262;635;171;531;710;298;456
;meer stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;2;2;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;2;2;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
