Verkiezing;;Gemeenteraad Heemstede 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Heemstede;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0397;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Raadhuis;Gymzaal Offenbachlaan;Hageveld;Huize Bosbeek;Wij De Princehof;Portocabin Drinkwatermuseum;Wij De Luifel;Wij De Luifel 2;Plein 1;De Ark;Crayenesterschool;Bosch en Hoven school;Portocabin Station;De Oude Kerk;Ons Tweede Thuis (voorheen Spaane Gasthuis);Tennisvereniging HBC;MHC Alliance;Petrakerk;Doopsgezinde gemeente;Raadhuis 14 maart 2022;Raadhuis 15 maart 2022;Gymzaal Offenbachlaan 14 maart 2022;Gymzaal Offenbachlaan 15 maart 2022;Plein 1 14 maart 2022;Plein 1 15 maart 2022;Wij De Princehof 14 maart 2022;Wij De Princehof 15 maart 2022
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27
Postcode;;;;;2101 HA;2102 ZL;2102 LM;2104 WG;2104 AH;2106 NB;2101 MP;2101 MP;2101 ZC;2105 TC;2101 AN;2101 AJ;;2103 GS;2102 CW;2103 XW;2103 VT;2101 SB;2101 VH;2101 HA;2101 HA;2102 ZL;2102 ZL;2101 ZC;2101 ZC;2104 AH;2104 AH
;opgeroepenen;;;21345;1209;1196;554;762;1426;1656;696;696;1283;1021;1265;1181;1246;1268;1239;1175;908;1410;1154;0;0;0;0;0;0;0;0
;geldige stempas;;;12138;1172;448;170;338;599;565;312;329;805;628;585;590;823;647;440;138;207;127;190;597;786;169;243;302;453;224;251
;geldig volmachtbewijs;;;1395;154;50;16;34;71;79;42;32;93;59;94;102;110;78;62;14;19;0;27;62;87;12;0;26;42;0;30
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;13533;1326;498;186;372;670;644;354;361;898;687;679;692;933;725;502;152;226;127;217;659;873;181;243;328;495;224;281
;geldige stembiljetten;;;13451;1312;494;185;367;664;641;353;359;887;684;677;691;933;721;499;152;221;124;217;658;865;181;243;326;495;224;278
;blanco stembiljetten;;;51;9;4;0;2;3;3;1;1;6;1;1;0;0;3;1;0;5;2;0;1;3;0;0;1;1;0;3
;ongeldige stembiljetten;;;30;5;0;1;3;3;0;0;1;5;2;0;0;0;1;2;0;0;1;0;0;5;0;0;1;0;0;0
;aangetroffen stembiljetten;;;13532;1326;498;186;372;670;644;354;361;898;687;678;691;933;725;502;152;226;127;217;659;873;181;243;328;496;224;281
;meer stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Heemsteeds Burger Belang;;;2875;310;119;27;85;172;124;66;73;199;151;112;142;195;156;81;49;59;31;37;131;187;42;51;56;89;53;78
;;1;van der Have, A.P.;1807;186;78;13;51;107;74;42;51;133;95;90;81;118;80;58;24;32;23;25;81;111;34;32;38;68;36;46
;;2;Lommerse, O.F.;189;22;7;1;8;14;12;3;5;12;18;3;6;17;6;2;6;4;1;1;6;14;1;2;4;3;6;5
;;3;Duinker, J.J.;78;11;4;0;1;2;3;1;2;4;2;0;2;4;8;2;4;0;1;2;8;8;2;1;2;1;0;3
;;4;Apswoude, A.M.;169;14;7;5;14;9;6;1;1;5;4;5;10;7;16;4;5;1;1;4;13;14;2;3;0;3;6;9
;;5;Post-van Zon, E.;44;5;1;1;2;2;0;1;0;6;0;0;1;2;2;1;0;1;0;2;6;3;1;4;2;0;0;1
;;6;Verhagen, A.J.W.M.;49;7;0;1;3;0;6;1;2;2;5;0;7;0;0;1;1;2;1;0;2;3;0;2;1;0;1;1
;;7;Efe, B.;53;8;7;1;0;1;0;0;0;5;1;2;1;20;1;0;0;2;0;0;0;4;0;0;0;0;0;0
;;8;van Asten, H.M.M.;133;23;3;1;3;12;5;8;4;4;1;1;9;3;19;3;2;9;1;0;2;8;0;2;0;7;2;1
;;9;de Vries, F.A.S.;174;15;7;2;1;18;12;4;3;10;9;6;11;15;10;3;3;6;1;3;7;16;1;1;4;2;1;3
;;10;van Lookeren Campagne, P.J.;29;2;0;0;0;1;2;0;0;6;0;1;5;3;0;5;0;0;0;0;0;0;0;2;1;1;0;0
;;11;Havers-Leemans, C.W.;14;1;0;0;0;0;0;2;1;0;0;0;0;0;7;0;2;0;0;0;0;0;0;0;0;0;0;1
;;12;Verhagen, V.A.W.M.;60;8;1;2;1;4;2;0;2;3;9;2;2;5;3;1;1;2;0;0;4;0;0;0;0;1;1;6
;;13;Keyser, P.C.;19;3;0;0;1;0;0;1;0;4;2;0;0;0;2;0;0;0;0;0;0;3;0;2;0;0;0;1
;;14;ten Have, D.R.;57;5;4;0;0;2;2;2;2;5;5;2;7;1;2;1;1;0;2;0;2;3;1;0;4;3;0;1
2;VVD;;;3137;294;115;58;68;94;105;79;84;208;107;209;190;253;120;165;26;73;21;48;169;212;55;77;80;122;45;60
;;1;Wulfers, J.J.;1622;144;54;31;31;49;60;38;46;100;56;124;88;100;64;85;11;38;11;23;101;117;34;46;42;67;27;35
;;2;Stam, A.M.C.E.;858;78;37;15;18;30;22;26;26;66;33;50;58;81;30;49;7;20;3;10;45;48;9;18;20;28;13;18
;;3;Bonnema, Y.;40;10;2;1;2;0;0;1;0;1;1;2;2;2;0;1;1;1;0;0;3;4;2;0;1;1;1;1
;;4;Storm van 's Gravesande-Penn, V.M.;207;22;7;7;3;4;4;4;5;15;7;12;18;38;1;6;0;5;3;4;10;9;8;1;3;6;1;4
;;5;Ates, R.M.F.;58;3;2;0;1;2;7;0;3;3;1;4;5;5;3;2;1;0;0;2;2;7;0;2;2;1;0;0
;;6;Bakhshyan, L.;122;11;3;0;4;1;4;4;2;8;1;8;8;8;10;14;1;3;2;6;2;9;0;5;2;6;0;0
;;7;Boudewijn, J.M.;39;7;0;0;6;2;1;1;0;1;1;0;2;3;1;1;0;0;0;0;1;5;0;2;1;2;2;0
;;8;Friedhoff, T.;29;6;2;0;0;0;0;1;0;5;2;2;1;2;0;0;0;0;0;0;1;1;0;0;2;3;1;0
;;9;de Jong, I.M.;45;4;2;1;3;2;3;1;0;2;1;0;2;1;4;1;4;1;1;1;2;4;0;1;3;1;0;0
;;10;Henstra, D.A.;6;0;0;0;0;0;0;0;0;1;0;0;0;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;11;Schotman-Kruiten, B.;40;3;2;0;0;0;1;1;0;3;0;5;4;1;1;3;0;5;0;1;2;4;0;0;0;4;0;0
;;12;Meerloo, E.P.;19;2;2;0;0;2;0;0;0;1;1;2;1;1;2;0;0;0;0;0;0;1;0;1;2;1;0;0
;;13;Kroll, A.A.J.F.;52;4;2;3;0;2;3;2;2;2;3;0;1;7;4;3;1;0;1;0;0;3;2;1;2;2;0;2
3;D66;;;2557;242;104;38;46;117;109;68;55;153;121;192;166;191;154;107;18;40;19;59;125;148;33;42;47;108;26;29
;;1;Rocourt, A.P.A.F.;763;71;24;12;20;36;39;23;18;34;43;49;43;59;41;32;7;11;8;17;39;32;13;18;12;36;12;14
;;2;Derks, M.;1156;119;57;13;16;62;47;29;22;79;55;82;79;84;70;48;7;19;6;30;48;63;15;17;23;50;5;11
;;3;Zwijnenburg, T.J.;84;6;4;0;3;0;3;4;1;4;4;15;3;3;11;2;0;2;1;0;2;9;0;0;4;1;2;0
;;4;Nielen, P.P.M.;65;3;7;0;0;1;3;1;3;5;2;1;8;3;8;4;0;1;1;1;5;3;3;2;0;0;0;0
;;5;Luiken, W.L.;143;22;1;8;3;4;6;5;5;8;2;9;5;11;14;6;0;1;0;2;8;13;0;0;1;3;2;4
;;6;van der Hoff, C.V.;134;9;4;1;1;5;5;3;2;12;7;13;13;12;4;4;3;2;1;1;7;9;1;3;1;9;2;0
;;7;Vossen, G.A.;14;1;0;0;0;0;1;0;0;1;1;2;1;3;0;1;0;0;0;0;1;1;0;0;1;0;0;0
;;8;van Oirschot, F.C.;20;1;1;3;0;1;1;0;2;0;0;1;2;3;1;3;0;0;0;1;0;0;0;0;0;0;0;0
;;9;Vink-van Wijngaarden, T.;20;0;0;0;0;1;1;1;1;3;0;1;1;1;1;0;1;0;0;0;0;6;0;1;0;1;0;0
;;10;van der Meer, C.E.;45;3;3;0;1;2;0;2;0;2;5;6;3;0;0;2;0;4;0;1;2;3;1;0;3;2;0;0
;;11;ter Kuile, R.R.;21;2;0;0;0;0;0;0;0;1;0;3;0;6;0;1;0;0;0;0;5;0;0;0;1;0;2;0
;;12;Matzka-Blaas, C.A.M.;14;1;0;0;1;0;0;0;0;2;2;0;0;0;0;0;0;0;0;3;0;1;0;0;0;3;1;0
;;13;Terwiel-Kuneman, A.C.;20;1;2;0;0;0;0;0;0;0;0;2;2;4;1;1;0;0;0;0;2;2;0;0;1;2;0;0
;;14;van Hattum, A.W.;13;0;0;0;1;0;0;0;0;0;0;4;1;0;0;2;0;0;0;0;1;3;0;0;0;1;0;0
;;15;de Heer-Dehue, J.L.J.;6;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0
;;16;Schut, G.;8;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0
;;17;Schnerr, E.;31;2;1;1;0;4;3;0;1;1;0;1;4;2;3;1;0;0;2;3;2;0;0;0;0;0;0;0
4;GROENLINKS;;;1871;163;61;24;61;115;139;50;44;117;125;66;86;156;141;52;25;18;16;29;74;88;17;27;40;64;32;41
;;1;van der Heijden, T.J.G.;1138;94;36;16;39;70;74;24;26;76;91;49;50;97;81;36;13;12;8;16;45;49;11;15;26;41;22;21
;;2;'t Hart, M.C.;306;22;10;2;8;21;24;14;10;20;17;9;16;27;26;5;5;1;3;4;10;17;2;3;8;12;2;8
;;3;Zoetemeijer, P.;58;4;0;0;3;2;12;1;0;0;2;1;2;6;2;1;1;1;0;4;3;6;1;2;0;1;1;2
;;4;Verrips, B.;68;9;4;2;0;5;4;2;0;6;2;2;3;3;9;0;0;2;1;0;1;5;0;2;0;3;1;2
;;5;Buddelmeijer, A.M.A.;81;8;3;2;2;3;9;2;1;5;4;3;7;8;6;2;2;0;3;1;2;2;1;0;0;3;0;2
;;6;Pagano van Amersfoort, A.A.;18;1;1;0;0;5;3;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;2;0;0;0;1;2
;;7;Kramer, M.T.;28;1;0;0;2;4;3;2;0;0;2;0;0;1;9;0;2;0;0;0;1;0;0;1;0;0;0;0
;;8;van Schalkwijk, R.W.F;5;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1
;;9;Sabelis, I.H.J.;77;15;4;0;2;2;3;2;2;3;3;1;3;4;4;5;2;0;0;4;6;2;0;3;3;1;3;0
;;10;Wiebosch, W.J.D.;5;0;0;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0
;;11;Schnerr, J.W.P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;van Drie, G.C.J.;13;1;1;0;1;0;2;0;0;0;0;0;0;2;1;1;0;0;0;0;1;2;0;0;0;0;0;1
;;13;Appel, A.J.;8;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;3;0;0;0;0;0;0
;;14;de Haan, H.M.G.;16;1;0;1;2;0;1;0;1;0;0;1;0;3;0;1;0;0;0;0;2;0;0;0;0;2;0;1
;;15;Keur, A.;25;2;1;1;1;2;1;0;4;2;0;0;4;2;0;0;0;2;0;0;2;0;0;0;1;0;0;0
;;16;Borghouts, H.C.J.L.;5;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
;;17;de Zeeuw, E.;20;3;0;0;1;1;2;1;0;2;3;0;0;1;0;0;0;0;0;0;0;2;0;0;2;1;1;0
5;CDA;;;1270;106;44;20;52;57;64;30;52;75;87;40;51;55;66;50;16;18;8;23;70;95;20;20;40;50;25;36
;;1;Boeder, O.J.;548;46;11;8;31;25;18;14;28;35;44;14;28;28;25;21;3;6;7;7;32;39;5;8;18;20;12;15
;;2;de Wit-van der Linden, S.A.;362;19;21;4;13;19;10;5;14;22;19;20;17;16;24;20;4;4;0;6;12;24;10;9;17;19;8;6
;;3;van der Weijden, S.J.P.;102;9;0;2;0;3;30;2;3;5;6;0;1;3;1;1;2;2;1;3;7;6;2;1;0;3;0;9
;;4;Kroon, S.P.;34;0;6;0;2;0;0;0;1;5;2;2;1;1;1;1;0;1;0;2;1;3;0;2;1;0;1;1
;;5;Heeremans, W.M.M.;34;6;0;1;2;3;0;0;0;3;2;2;0;0;4;2;0;2;0;2;2;1;1;0;0;0;1;0
;;6;Kerkvliet-van Holk, E.J.;29;7;0;0;0;0;0;2;1;1;0;0;2;0;5;0;0;0;0;2;3;4;0;0;2;0;0;0
;;7;Debets, J.C.M.;76;8;3;1;0;1;5;5;1;3;9;1;1;6;3;2;2;2;0;1;7;11;0;0;0;3;1;0
;;8;Assendelft, R.B.;51;9;3;4;4;0;0;1;4;1;5;0;0;0;2;0;5;0;0;0;3;3;2;0;1;2;1;1
;;9;Nijboer-Verdonkschot, C.J.;34;2;0;0;0;6;1;1;0;0;0;1;1;1;1;3;0;1;0;0;3;4;0;0;1;3;1;4
6;Partij van de Arbeid (P.v.d.A.);;;1179;146;34;9;40;61;58;44;44;93;67;41;46;66;45;32;13;5;20;13;63;80;10;17;43;44;25;20
;;1;Pameijer, R.N.;660;73;24;4;24;32;34;22;36;35;41;27;34;45;24;22;9;2;9;6;34;41;8;11;22;17;14;10
;;2;Meerhoff, S.A.;172;23;0;0;3;8;7;4;1;42;6;1;7;6;6;3;1;0;4;3;10;8;0;1;10;14;2;2
;;3;Vidal Queta, C.M.;158;39;3;4;7;10;10;5;2;6;7;6;3;4;5;2;0;1;5;2;7;12;1;0;3;6;3;5
;;4;Hermsen, N.M.;74;2;2;0;2;4;2;8;2;7;7;4;0;2;3;2;2;1;1;0;3;8;0;1;3;3;4;1
;;5;Zilverberg, W.;11;1;1;0;0;1;1;1;1;0;1;0;0;0;0;1;0;0;0;0;2;0;0;0;0;1;0;0
;;6;Mulder, A.;15;0;0;0;2;0;0;3;0;0;0;0;1;4;1;0;1;0;0;1;1;0;0;0;0;1;0;0
;;7;Smithuis, J.M.;7;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0
