Verkiezing;;Gemeenteraad Uithoorn 2022;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Uithoorn;;;;;;;;;;;;;;;;;;;;
Nummer;;0451;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis - 1403;Gemeentehuis - 1503;Gemeentehuis;Gymzaal Meerwijk;KnA-gebouw (muziek ver);Dorpshuis de Quakel - 1403;Dorpshuis de Quakel - 1503;Dorpshuis de Quakel;Alkwin Kollege;Buurthuis Ponderosa;Wijkcentrum Bilderdijkhof;Evangelische Christen Gemeenschap;Sportvereniging KDO;Legmeervogels;Thamerkerk;Poldersport De Kwakel;De Schutse P.G.U.;'t Buurtnest
Gebiednummer;;;;;114;115;1;2;3;414;415;4;5;6;7;8;9;10;11;12;13;14
;opgeroepenen;;;23930;0;0;1331;1585;1802;0;0;1476;1695;1541;1764;1658;1632;2043;1977;1670;1796;1960
;geldige stempas;;;9994;394;600;811;777;839;157;232;769;670;418;703;518;450;574;386;521;740;435
;geldig volmachtbewijs;;;1174;47;70;131;95;81;10;29;104;84;42;60;54;45;93;52;64;68;45
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;11169;441;670;942;872;920;167;261;873;754;460;763;572;495;667;439;585;808;480
;geldige stembiljetten;;;11068;439;666;927;865;912;166;261;867;742;458;753;569;491;665;429;582;805;471
;blanco stembiljetten;;;58;1;1;11;4;4;1;0;3;7;2;6;0;1;1;8;1;3;4
;ongeldige stembiljetten;;;43;1;3;4;2;4;0;0;2;5;0;4;3;3;1;2;2;1;6
;aangetroffen stembiljetten;;;11169;441;670;942;871;920;167;261;872;754;460;763;572;495;667;439;585;809;481
;meer stembiljetten dan toegelaten kiezers;;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
;minder stembiljetten dan toegelaten kiezers;;;2;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;4;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Gemeentebelangen;;;3382;141;166;240;240;276;87;150;415;179;152;219;132;246;137;91;182;197;132
;;1;Bezuijen, H.F.M.;1197;55;64;97;105;129;9;37;51;68;69;117;63;48;38;49;33;108;57
;;2;van Leeuwen-van der Hoorn, P.E.M.;747;32;32;41;35;43;35;55;149;26;20;32;19;82;25;12;62;32;15
;;3;Hoekstra, F.;201;10;7;15;14;19;2;1;12;15;17;10;12;2;15;7;15;15;13
;;4;Polak, R.H.;100;10;8;8;11;15;1;1;1;7;5;9;5;2;2;3;2;8;2
;;5;Feitsma-Zwaan, C.;68;3;6;4;2;6;1;3;4;10;1;5;0;7;2;0;7;4;3
;;6;ten Brink, P.P.;178;10;11;18;11;14;3;2;9;14;20;19;7;7;4;2;5;8;14
;;7;Verdegaal, M.A.M.;52;0;4;7;1;0;5;5;10;0;2;1;2;3;7;0;1;4;0
;;8;Hogenboom, R.J.;230;4;6;6;12;11;17;16;73;13;6;1;1;35;8;2;10;4;5
;;9;Boor-Theijssen, I.;223;6;7;17;23;10;4;13;36;10;4;8;5;33;5;4;28;3;7
;;10;de Boer-Bezuijen, L.M.C.;84;0;5;3;5;9;0;5;18;4;1;2;4;4;9;3;5;4;3
;;11;Börger, W.P.H.;22;0;1;0;0;1;1;2;6;1;0;1;0;4;3;0;2;0;0
;;12;Post, C.;17;2;1;2;0;1;0;0;1;0;1;1;2;1;1;0;1;2;1
;;13;Kooijman, H.J.M.;62;0;0;4;3;1;2;6;26;1;0;1;0;12;3;0;1;0;2
;;14;van Dijk-Hogenboom, M.;24;1;1;2;4;0;0;2;5;0;0;0;1;1;0;1;4;0;2
;;15;Rekelhof, A.P.C.;28;0;1;0;3;0;2;2;11;0;0;0;0;3;0;3;3;0;0
;;16;Bouma, H.;34;0;5;6;0;2;5;0;1;3;1;2;2;2;1;2;1;1;0
;;17;Hirschfeld-van Zeland, M.T.I.;64;3;5;5;4;8;0;0;0;5;3;3;7;0;10;1;1;2;7
;;18;Hirschfeld, E.W.;7;0;0;0;0;2;0;0;0;0;0;2;1;0;1;0;0;1;0
;;19;Borghouts, A.R.P.M.;10;2;0;1;2;1;0;0;0;1;1;0;0;0;1;0;0;1;0
;;20;Bosma, J.W.M.;34;3;2;4;5;4;0;0;2;1;1;5;1;0;2;2;1;0;1
2;VVD;;;1947;54;118;193;186;157;28;19;148;167;42;94;85;69;202;78;120;126;61
;;1;Hazen, J.P.G.;799;19;52;80;77;69;13;12;83;55;17;34;30;39;57;27;62;48;25
;;2;Cranendonk, M.;507;13;29;56;49;28;6;4;18;56;13;36;24;9;72;24;21;30;19
;;3;Bergman, N.D.;136;5;9;10;14;10;0;0;3;14;4;5;8;5;16;5;5;20;3
;;4;Noordanus, D.J.;49;2;0;5;5;2;0;0;2;5;4;0;2;4;6;4;4;3;1
;;5;Coors-Elout, L.A.;61;1;2;8;5;1;3;1;11;2;0;1;3;5;7;5;3;3;0
;;6;Bouwmeester, M.G.;30;1;3;0;0;2;3;1;9;1;1;2;0;3;1;0;2;1;0
;;7;Reuvekamp, A.E.;78;6;4;12;12;10;0;0;1;8;2;1;2;0;8;2;5;4;1
;;8;van Driel-Bakker, M.;28;0;2;1;2;1;2;1;7;2;0;1;0;2;1;0;4;2;0
;;9;Laugs-Wolffensperger, K.;33;1;0;2;3;3;0;0;1;5;0;3;1;0;2;2;3;4;3
;;10;van Kooten, F.A.J.;26;0;0;1;4;1;1;0;2;5;0;2;3;1;2;0;1;2;1
;;11;van Borkulo, B.;36;2;5;1;3;0;0;0;0;3;1;4;2;0;8;1;4;1;1
;;12;Knol, G.K.F.;7;0;0;1;1;0;0;0;0;0;0;0;0;0;5;0;0;0;0
;;13;Roosendaal, N.A.L.;65;1;4;5;1;21;0;0;3;6;0;0;5;0;7;4;1;3;4
;;14;Pattiasina, F.M.;18;0;1;2;3;3;0;0;1;2;0;0;2;0;1;0;0;1;2
;;15;Dijksterhuis-Dieterman, B.;16;0;0;0;2;2;0;0;2;0;0;1;1;0;2;1;1;3;1
;;16;Wolffensperger-Laugs, D.;11;0;2;1;1;2;0;0;1;1;0;0;0;0;0;2;0;1;0
;;17;Dooijewaard, R.R.;10;0;2;3;1;0;0;0;0;2;0;0;0;0;0;0;2;0;0
;;18;van Rijswijk, N.;10;0;0;0;1;0;0;0;0;0;0;1;0;0;6;0;2;0;0
;;19;Hoogkamer, J.H.;27;3;3;5;2;2;0;0;4;0;0;3;2;1;1;1;0;0;0
3;DUS! GroenLinks en D66;;;2846;108;183;263;256;208;29;43;158;220;94;225;161;102;176;113;164;226;117
;;1;Beuse-Dijkstra, J.E.;1725;60;121;151;162;146;6;18;56;130;60;141;100;52;113;78;106;157;68
;;2;Gierman, J.;137;10;14;12;13;8;3;4;1;14;6;11;6;1;7;8;7;4;8
;;3;de Robles, J.C.;147;9;4;15;7;11;4;2;12;17;0;6;8;8;8;4;13;11;8
;;4;Brautigam, O.E.M.;79;1;10;11;6;10;0;0;4;12;1;10;4;0;0;1;2;5;2
;;5;de Zanger, S.;107;3;5;6;5;6;5;2;18;2;5;7;7;11;5;1;6;7;6
;;6;van Dam, B.J.;57;3;3;2;5;5;2;0;6;11;0;2;3;1;5;0;1;7;1
;;7;Zaborska-Jansen, B.Z.;52;2;0;4;2;1;0;3;10;4;1;2;2;5;4;0;5;5;2
;;8;Boswijk, W.R.K.;136;6;6;10;7;6;0;1;10;10;11;30;2;2;8;8;6;9;4
;;9;Ossenkoppele, G.J.;34;0;6;2;7;0;0;0;1;1;1;3;2;3;2;0;0;2;4
;;10;van Hoorn-Scheel, M;48;1;3;6;4;5;0;1;2;3;4;0;6;0;3;3;0;2;5
;;11;Lek, T.N.M.;36;4;4;8;2;1;0;3;0;1;1;4;2;0;0;1;2;3;0
;;12;Blommestijn, A.M.D.G.;17;1;0;1;2;0;0;1;1;2;0;0;1;1;3;0;0;3;1
;;13;Verlaan, W.E.M.;66;7;3;5;3;2;4;1;16;3;0;2;1;6;5;0;2;5;1
;;14;Henraat, J.E.;9;0;0;0;1;1;0;0;0;1;0;2;2;0;0;0;0;0;2
;;15;Schartman, A.C.;15;0;0;7;3;0;0;0;0;0;0;0;5;0;0;0;0;0;0
;;16;Prinssen, E.;10;0;0;0;4;0;0;0;0;0;0;1;3;0;1;0;1;0;0
;;17;Worm, A.B.;18;0;2;2;0;3;0;0;1;2;1;0;0;1;1;1;0;2;2
;;18;Verlaan, T.A.;56;0;0;5;16;1;0;1;9;4;0;1;1;4;3;2;8;1;0
;;19;Verstelle, J.A.;27;0;0;0;0;0;3;4;7;3;0;0;3;4;1;1;1;0;0
;;20;Timmer, P.A.M.;11;0;0;1;1;1;0;0;0;0;1;0;0;0;4;1;0;0;2
;;21;Otto-Ossenkoppele, F;59;1;2;15;6;1;2;2;4;0;2;3;3;3;3;4;4;3;1
4;CDA;;;1041;44;60;72;70;67;12;30;82;66;74;82;70;34;47;54;50;93;34
;;1;Jansen, A.A.A.;371;19;16;19;30;26;3;8;23;19;22;41;30;12;22;11;10;49;11
;;2;Kreike, C.A.M.;67;1;3;2;4;0;0;4;20;4;0;2;0;5;2;0;11;5;4
;;3;Hoogenstraaten, N.P.J.;108;4;8;8;8;5;4;6;15;7;2;6;9;4;4;2;10;4;2
;;4;Zethoven, M.D.H.;139;6;10;17;2;13;0;3;5;9;15;6;4;1;4;26;7;7;4
;;5;Tijsterman, K.;124;3;12;9;7;7;0;0;2;7;12;13;14;3;5;6;3;17;4
;;6;Vos, L.G.;61;5;2;4;7;5;0;3;2;5;5;1;5;1;4;5;3;3;1
;;7;Goossens, P.M.;39;0;4;6;8;3;0;0;0;4;3;1;3;1;2;1;1;1;1
;;8;Aoulad Bouchta, N.;19;1;0;2;1;1;0;1;2;1;2;2;0;0;1;0;1;0;4
;;9;van Gaalen, A.S.;11;2;3;0;0;0;0;0;0;2;0;3;0;0;0;0;0;1;0
;;10;Smits, A.C.M.;25;1;1;2;1;1;0;0;3;3;7;2;0;0;1;1;0;1;1
;;11;Oudshoorn, P.M.;16;0;0;2;0;0;1;3;4;2;0;0;0;1;0;1;1;1;0
;;12;Goossens, M.M.J.;19;2;0;1;0;0;1;0;0;0;4;3;2;0;2;1;2;1;0
;;13;Groeneweg, W.G.;12;0;1;0;0;3;0;0;0;1;2;1;1;0;0;0;0;3;0
;;14;van Egmond e/v Oudshoorn, M.M.C.M.;30;0;0;0;2;3;3;2;6;2;0;1;2;6;0;0;1;0;2
5;Partij van de Arbeid (P.v.d.A.);;;1015;57;91;80;55;128;6;11;39;62;55;66;64;18;31;52;36;90;74
;;1;Brink, J.;402;23;28;32;26;32;4;7;10;33;21;27;22;8;10;22;19;44;34
;;2;Gasseling-Boone, P.D.;367;24;42;34;20;40;2;3;23;19;17;21;25;3;11;19;9;27;28
;;3;Moeijes-van den Hooff, M. E.;141;5;12;1;1;47;0;0;2;7;8;12;11;4;6;4;6;8;7
;;4;Portengen, J.;26;0;1;0;0;2;0;0;0;2;3;0;4;0;1;5;1;4;3
;;5;van Velzen, J.N.P.;7;0;3;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0
;;6;van Leeuwen, R.;14;1;2;3;5;1;0;0;0;0;0;0;0;0;1;0;0;0;1
;;7;van Schagen- van Gilse, J.S.;36;2;2;5;1;6;0;1;1;1;5;4;2;0;2;0;0;3;1
;;8;de Boer, R.;22;2;1;4;1;0;0;0;3;0;1;1;0;3;0;1;1;4;0
6;Groen Uithoorn;;;837;35;48;79;58;76;4;8;25;48;41;67;57;22;72;41;30;73;53
;;1;Albers, J.T.M.M.;411;16;29;42;27;37;1;2;14;22;19;27;32;10;43;21;15;33;21
;;2;Körnmann, W.J.;85;2;4;3;8;6;0;3;3;4;2;6;2;3;6;5;1;21;6
;;3;Güppertz, J.L.B.;134;3;7;11;10;15;1;0;5;9;6;15;12;3;9;6;6;10;6
;;4;de Wolde, J.C.;118;10;4;11;6;11;0;3;1;7;6;12;5;5;10;6;3;7;11
;;5;van de Kar, N.T.;89;4;4;12;7;7;2;0;2;6;8;7;6;1;4;3;5;2;9
