Verkiezing;;Gemeenteraad Velsen 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Velsen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0453;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Woon en zorgcentrum Huis ter Hagen;RKVV Velsen;Engelmunduskerk Oud Velsen;gem. zaal Roos en Beek appartementencomlex;Cafe Zaal De Wildeman;Bosbeekschool, ingang schoolplein;'t Brederode Huys;Basisschool Floriant;Brederode Daltonschool;COB Hofstede;Jongerencentrum de Koe;Basisschool De Westbroek;Basisschool De Hoeksteen;Sporthal Het Polderhuis;Sporthal IJmuiden-Oost;Stichting OIG-IHD;Willemsbeekzaal;Buurthuis De Spil;Verpleeghuis Velserduin;CBS de Kompas;Woon-en zorgcentrum W.F. Visserhuis;IJmuider Zee en Havenmuseum;Buurthuis De Brulboei;Woonzorgcentrum De Moerberg;Sporthal Zeewijk;Basisschool De Origon;Buurtcentrum de Dwarsligger;Dienstencentrum Zeewijk;Wijkcentrum De Stek;Voetbalvereniging F.C. Velsenoord;Gemeentehuis maandag;gem. zaal Roos en Beek appartementencomlex maandag;'t Brederode Huys maandag;Sporthal Het Polderhuis maandag;Sporthal Zeewijk maandag;Wijkcentrum De Stek maandag;Gemeentehuis dinsdag;gem. zaal Roos en Beek appartementencomlex dinsdag;'t Brederode Huys dinsdag;Sporthal Het Polderhuis dinsdag;Sporthal Zeewijk dinsdag;Wijkcentrum De Stek dinsdag
Gebiednummer;;;;;1;2;3;4;10;11;13;14;15;16;17;18;19;20;22;32;33;35;36;41;42;44;46;48;50;53;55;56;57;81;83;101;110;114;122;153;181;201;210;214;222;253;281
Postcode;;;;;1971 EN;1985 CV;1985 HT;1981 BH;2071 SM;2071 EL;2071 AW;2082 GE;1991 BZ;2082 BD;1991 PT;1991 JE;1991 NN;1991 ET;1991 RK;1971 HN;1971 NL;1971 GZ;1971 VZ;1972 TL;1972 RR;1972 EE;1973 AK;1975 BJ;1973 XM;1973 BE;1974 TV;1974 BP;1974 PC;1951 CD;1951 HH;1971 EN;2071 SM;2082 GE;1991 RK;1973 BE;1951 CD;1971 EN;2071 SM;2082 GE;1991 RK;1973 BE;1951 CD
;opgeroepenen;;;55303;1844;1377;1423;1707;1878;1742;1685;1502;1701;1487;1874;1978;2247;1921;2639;1951;1812;1798;1648;1692;1644;1795;1816;2221;1475;1754;1567;1423;1626;2161;1915;0;0;0;0;0;0;0;0;0;0;0;0
;geldige stempas;;;23828;869;820;769;694;800;1117;752;909;548;300;728;760;1053;583;1095;449;529;408;504;489;537;591;664;586;496;385;569;474;532;617;244;375;274;207;418;198;137;552;424;277;615;275;205
;geldig volmachtbewijs;;;2878;109;101;100;93;95;130;84;119;56;38;69;98;138;81;128;57;74;48;46;52;64;77;93;59;41;56;66;58;56;75;26;47;22;17;50;28;14;54;49;30;108;50;22
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;26706;978;921;869;787;895;1247;836;1028;604;338;797;858;1191;664;1223;506;603;456;550;541;601;668;757;645;537;441;635;532;588;692;270;422;296;224;468;226;151;606;473;307;723;325;227
;geldige stembiljetten;;;26567;973;919;867;785;892;1239;834;1024;603;338;792;856;1191;659;1206;503;599;454;545;533;596;662;754;641;533;438;633;526;582;685;269;421;296;224;467;226;150;603;473;305;720;325;226
;blanco stembiljetten;;;79;2;2;1;0;4;5;1;1;1;0;4;1;0;3;15;2;1;1;2;3;3;5;0;1;3;2;2;2;1;2;0;1;0;0;0;0;0;3;0;2;2;0;1
;ongeldige stembiljetten;;;63;3;0;1;2;1;3;1;3;0;0;1;2;0;2;1;1;3;1;3;5;2;1;3;3;1;1;1;4;5;5;1;0;0;0;1;0;1;0;0;0;1;0;0
;aangetroffen stembiljetten;;;26709;978;921;869;787;897;1247;836;1028;604;338;797;859;1191;664;1222;506;603;456;550;541;601;668;757;645;537;441;636;532;588;692;270;422;296;224;468;226;151;606;473;307;723;325;227
;meer stembiljetten dan toegelaten kiezers;;;4;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;4;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Velsen Lokaal;;;5322;263;148;129;146;130;228;114;95;117;36;198;171;213;140;278;124;128;105;145;127;137;150;129;148;133;104;132;157;154;84;37;119;51;22;108;59;25;190;59;25;158;82;24
