Verkiezing;;Gemeenteraad Wormerland 2022;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Wormerland;;;;;;;;;;;;;;;;;;;;
Nummer;;0880;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis (ontvangsthal);De Stoomhal;KV Groen Geel;M.F.A. De Omslag;WSV'30, Stembureau 1;WSV'30, Stembureau 2;O.B.S De Harpoen;Dorpshuis Wijdewormer;Dorpshuis Oostknollendam;Unit Evenemententerrein;Unit Evenemententerrein;Unit Evenemententerrein;KV Groen Geel;KV Groen Geel;M.F.A. De Omslag;M.F.A. De Omslag;Dorpshuis Wijdewormer;Dorpshuis Wijdewormer
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;31;32;41;42;81;82
Postcode;;;;;1531 NX;1531 MZ;1531 SJ;1531 WH;1531 LZ;1531 LZ;1546 LB;1456 CB;1534 NE;1531 PS;1531 PS;1531 PS;1531 SJ;1531 SJ;1531 WH;1531 WH;1456 CB;1456 CB
;opgeroepenen;;;13335;1380;1669;1589;1601;1178;1345;1025;1625;649;1274;0;0;0;0;0;0;0;0
;geldige stempas;;;6752;473;529;416;730;311;473;532;572;310;624;194;336;138;168;293;404;87;162
;geldig volmachtbewijs;;;654;56;40;1;73;48;48;72;73;27;78;15;25;9;12;22;37;6;12
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;7406;529;569;417;803;359;521;604;645;337;702;209;361;147;180;315;441;93;174
;geldige stembiljetten;;;7333;523;565;411;796;356;519;592;640;333;693;208;358;146;178;310;439;92;174
;blanco stembiljetten;;;49;6;1;3;5;2;2;9;5;3;6;0;1;0;2;2;1;1;0
;ongeldige stembiljetten;;;24;0;3;3;2;1;0;3;0;1;3;1;2;1;0;3;1;0;0
;aangetroffen stembiljetten;;;7406;529;569;417;803;359;521;604;645;337;702;209;361;147;180;315;441;93;174
;meer stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;GROENLINKS;;;1520;116;96;85;144;109;126;151;99;87;128;43;72;34;30;60;90;18;32
;;1;Schoonheim, K.A.;761;69;45;36;77;71;51;83;55;52;58;16;28;21;12;24;35;11;17
;;2;Fens, P.J.M.;261;20;23;16;31;15;20;16;14;3;22;7;21;9;7;12;17;3;5
;;3;Doorn, R.;25;1;1;0;1;2;1;3;4;5;0;2;0;0;0;0;0;0;5
;;4;Stoop, F.C.;46;9;3;3;0;6;7;4;4;0;4;2;1;0;0;2;1;0;0
;;5;Halewijn, H.P.J.;160;4;10;13;9;4;20;13;11;20;10;4;6;3;6;9;12;3;3
;;6;Kerssens, N.;170;8;8;16;14;2;22;12;8;3;29;6;11;0;2;12;17;0;0
;;7;Bakkum, F.G.M.;16;1;2;0;2;2;0;0;0;0;1;3;2;0;2;0;1;0;0
;;8;Bijmoer, L.;31;2;4;0;5;2;0;3;0;4;2;1;1;0;0;1;5;0;1
;;9;Koelemeijer, N.M.;28;1;0;1;4;0;1;14;2;0;1;2;0;1;0;0;0;0;1
;;10;Koelemeijer, F.T.;22;1;0;0;1;5;4;3;1;0;1;0;2;0;1;0;2;1;0
2;VVD;;;1544;111;109;100;128;43;105;133;256;45;149;32;75;28;33;44;55;36;62
;;1;van Wanrooij, R.F.T.;538;28;39;36;34;18;42;45;110;20;47;11;22;7;5;10;14;19;31
;;2;de Boer-Kocx, Y.M.;313;23;29;29;36;10;34;34;12;7;38;3;12;5;8;12;18;0;3
;;3;Doorenbos, C.J.M.;50;2;2;2;1;0;1;4;17;2;0;1;1;1;1;0;2;3;10
;;4;Rozemeijer, G.M.;41;3;3;5;6;1;7;0;2;2;3;3;4;0;1;1;0;0;0
;;5;Sanders, F.C.;21;2;0;0;1;0;0;1;1;0;5;2;4;0;1;1;1;1;1
;;6;van Erkelens, E.;131;13;3;16;12;2;12;12;2;3;20;7;7;6;13;3;0;0;0
;;7;Berkhout, R.J.G.;168;22;12;5;28;6;3;10;8;5;16;4;14;4;2;13;14;0;2
;;8;de Boer, M.;7;1;3;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0
;;9;Roeleveld, V.T.;18;0;0;0;0;0;0;0;12;0;0;0;0;0;0;1;1;0;4
;;10;Laan, B.C.D.;38;0;1;0;0;1;0;1;26;0;0;0;0;0;0;0;0;5;4
;;11;Sluiter, B.;7;2;2;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0
;;12;Boots, P.C.M.;37;4;0;0;0;0;0;2;28;0;0;0;0;0;0;0;0;2;1
;;13;Poutsma, J.G.;5;0;1;0;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0
;;14;van Berkel, L.J.;8;0;0;0;0;0;0;1;3;0;1;0;0;0;0;0;0;0;3
;;15;Laan, S.;24;1;0;0;0;0;1;2;13;1;1;0;3;1;0;0;0;1;0
;;16;van Maanen, M.;56;5;6;3;5;4;1;4;0;0;12;1;7;1;1;1;5;0;0
;;17;de Groot, H.H.;8;1;0;3;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0
;;18;Vaartjes, K.L.;36;2;0;0;3;0;1;1;20;4;1;0;0;2;0;0;0;0;2
;;19;Kramer, P.J.;7;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Gerssen, C.J.M.;23;1;1;0;0;1;0;15;0;0;2;0;0;0;0;0;0;3;0
;;21;Laan, K.;8;1;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;2;1
3;Partij voor Ouderen en Veiligheid;;;2066;135;163;93;261;100;118;144;138;123;189;71;121;45;52;91;161;13;48
;;1;Hoovenstat, G.L.;1193;91;109;48;152;63;69;100;43;36;117;53;78;31;30;64;94;1;14
;;2;Haalboom, M.;146;3;4;10;8;3;6;12;3;51;17;1;8;4;3;2;9;0;2
;;3;Smit-de Ridder, A.;294;13;16;12;22;10;9;18;85;1;16;3;7;4;10;9;16;11;32
;;4;Hendriks, J.W.P.;112;8;10;7;24;3;12;1;1;4;10;5;8;2;2;4;11;0;0
;;5;Luttik, K.IJ.;139;13;15;6;31;5;7;8;0;0;11;3;6;1;7;11;15;0;0
;;6;Ton-Betjes, C.D.;82;4;8;4;10;7;3;2;2;16;3;3;8;3;0;1;8;0;0
;;7;Wijtvliet, W.C.;7;1;0;0;1;0;1;0;0;0;3;0;1;0;0;0;0;0;0
;;8;Haalboom, K.;29;1;0;1;1;0;3;1;2;15;3;0;1;0;0;0;1;0;0
;;9;de Boer, D.;64;1;1;5;12;9;8;2;2;0;9;3;4;0;0;0;7;1;0
4;CDA;;;675;33;56;34;84;36;66;55;53;24;73;9;29;10;16;30;40;13;14
;;1;Schalkwijk, J.M.;376;14;41;19;45;19;41;36;16;10;44;6;16;4;7;15;30;5;8
;;2;Meerhoff, L.;32;1;2;3;4;0;2;0;1;1;4;0;3;0;5;2;2;1;1
;;3;Bruijn, M.;65;4;3;6;9;6;13;7;0;0;11;0;0;2;1;2;1;0;0
;;4;Loonen, W.A.M.;13;0;1;0;2;1;0;0;2;2;1;0;0;0;0;3;1;0;0
;;5;Carrilho, M.R.;18;2;3;2;3;1;1;2;1;0;2;0;0;0;0;1;0;0;0
;;6;Stol, A.K.;5;0;0;0;3;0;0;0;0;1;0;0;1;0;0;0;0;0;0
;;7;Holdener-van de Geer, M.E.;56;3;3;3;8;5;7;0;2;0;6;3;6;2;0;3;4;0;1
;;8;van Druten, M.L.;7;0;0;1;1;3;0;0;0;0;1;0;0;0;0;1;0;0;0
;;9;Roeleveld, H.G.;35;1;0;0;1;0;0;0;26;0;0;0;0;0;0;0;0;3;4
;;10;Rijken, J.;8;0;2;0;1;0;0;0;0;1;2;0;0;0;0;1;1;0;0
;;11;Burger, C.M.;5;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
;;12;Pranger, D.;7;1;1;0;1;0;0;0;0;1;0;0;0;2;0;1;0;0;0
;;13;Bijvoet, C.J.G.;48;4;0;0;6;1;2;10;5;8;1;0;3;0;3;1;1;3;0
5;Partij van de Arbeid (P.v.d.A.);;;1071;94;115;62;135;53;75;77;24;38;109;37;48;19;36;66;66;7;10
;;1;Kindt, C.J.;582;55;62;26;77;30;46;41;7;20;46;25;27;13;18;36;44;2;7
;;2;Klootwijk, M.;232;14;15;19;34;13;12;15;11;10;24;5;8;5;8;16;17;4;2
;;3;Ross, A.F.;31;4;1;4;4;1;1;0;1;0;2;0;6;0;2;4;0;0;1
;;4;Bonn, J.E.;74;9;5;7;15;1;4;2;1;3;12;1;2;1;3;6;2;0;0
;;5;Holshof, I.;5;0;2;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0
;;6;Cornelissen, W.J.;18;1;10;1;0;0;0;0;1;0;2;0;1;0;0;2;0;0;0
;;7;Leeuwenkamp, J.C.S.J.;5;0;1;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0
;;8;Knap, J.;19;2;0;2;0;2;1;0;0;2;10;0;0;0;0;0;0;0;0
;;9;van Roode-van Leeuwen, H.J.M.;29;2;12;1;0;1;0;2;2;2;2;2;1;0;0;1;0;1;0
;;10;Verver, J.W.C.;20;1;5;0;2;0;3;0;1;0;6;1;1;0;0;0;0;0;0
;;11;van Waaijen, K.;56;6;2;2;1;4;8;17;0;0;4;1;2;0;5;1;3;0;0
6;D66;;;457;34;26;37;44;15;29;32;70;16;45;16;13;10;11;19;27;5;8
;;1;Kramer, H.A.;233;22;10;19;20;8;21;16;18;7;30;9;10;3;7;12;16;2;3
;;2;Pielkenrood, L.C.;38;0;3;6;8;1;1;1;0;1;5;2;0;3;0;3;4;0;0
;;3;de Waard, B.;55;2;1;12;0;1;0;0;25;0;2;1;1;0;0;0;5;1;4
;;4;van Teijlingen, B.C.;124;10;12;0;16;5;7;15;23;8;8;3;2;4;4;3;2;1;1
;;5;van den Braak, D.;7;0;0;0;0;0;0;0;4;0;0;1;0;0;0;1;0;1;0
