Verkiezing;;Gemeenteraad Zandvoort 2022;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Zandvoort;;;;;;;;;;;;;;;;;;;;
Nummer;;0473;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Zandvoorts Museum;Strandhotel Centerparcs;Tent Oranje Nassauschool;"Brede-School ""De Blauwe Tram"" (A)";Circuit Zandvoort;"Brede-school ""De Blauwe Tram"" (B)";Stichting Pluspunt Zandvoort;Wooncentrum Kostverloren;Nieuw-Unicum;Tent Bodaan;Nicolaasschool;Tent NS Station;Strandhotel Centerparcs;"Brede-School ""De Blauwe Tram"" (A)";Circuit Zandvoort;Strandhotel Centerparcs;"Brede-School ""De Blauwe Tram"" (A)";Circuit Zandvoort
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;102;104;105;202;204;205
Postcode;;;;;2042 KA;2041 JB;2042 CH;2042 VD;2041 KP;2042 VD;2041 VW;2042 PZ;2042 XK;2116 TR;2041 BM;2041 AB;2041 JB;2042 VD;2041 KP;2041 JB;2042 VD;2041 KP
;opgeroepenen;;;14256;1195;1215;1295;1515;350;1466;1040;2032;877;304;723;1044;200;200;200;200;200;200
;geldige stempas;;;7001;600;221;735;332;546;338;888;207;149;440;140;831;119;330;204;138;435;348
;geldig volmachtbewijs;;;665;64;27;1;46;2;41;95;32;7;58;17;93;16;39;24;14;55;34
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;7665;664;248;736;378;548;379;983;239;156;498;157;923;135;369;228;152;490;382
;geldige stembiljetten;;;7615;659;248;733;377;545;378;970;236;153;497;157;915;135;366;228;151;490;377
;blanco stembiljetten;;;18;1;0;2;1;0;0;3;2;2;0;0;2;0;0;0;1;0;4
;ongeldige stembiljetten;;;31;4;0;1;0;3;1;9;1;1;1;0;6;0;3;0;0;0;1
;aangetroffen stembiljetten;;;7664;664;248;736;378;548;379;982;239;156;498;157;923;135;369;228;152;490;382
