Verkiezing;;Gemeenteraad Alblasserdam 2022;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Alblasserdam;;;;;;;;;;;;;;;;;;;
Nummer;;0482;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;De Damsteen;Stichting De Poort;Zwembad De Blokweer;De Loopplank (IKC De Twijn);Ds. Joannes Beukelmanschool;MFC Maasplein;Sportpark Molenzicht;De Rederij (gemeentehuis);De Havenkerk;De Postduif;De Ontmoetingskerk;De Damsteen;De Loopplank (IKC De Twijn);Sportpark Molenzicht;De Damsteen;De Loopplank (IKC De Twijn);Sportpark Molenzicht
Gebiednummer;;;;;1;3;5;6;7;9;11;12;13;14;15;301;306;311;401;406;411
Postcode;;;;;2951 ED;2951 AK;2951 HL;2951 SC;2951 BZ;2953 CH;2953 BD;2951 ED;2951 CB;2951 XT;2954 PC;2951 ED;2951 SC;2953 BD;2951 ED;2951 SC;2953 BD
;opgeroepenen;;;15532;1053;1092;1476;535;767;1256;531;1943;1544;1051;1610;390;335;1096;434;287;132
;geldige stempas;;;7732;331;769;751;475;304;764;366;580;453;332;606;373;302;250;455;311;310
;geldig volmachtbewijs;;;1045;45;117;92;74;56;120;45;76;60;46;70;42;36;22;73;37;34
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;8777;376;886;843;549;360;884;411;656;513;378;676;415;338;272;528;348;344
;geldige stembiljetten;;;8694;374;879;832;543;355;875;403;647;510;378;670;412;336;271;523;345;341
;blanco stembiljetten;;;49;0;5;9;3;3;3;6;4;0;0;5;2;2;1;2;1;3
;ongeldige stembiljetten;;;32;1;2;1;3;1;6;2;5;3;0;1;2;0;0;3;2;0
;aangetroffen stembiljetten;;;8775;375;886;842;549;359;884;411;656;513;378;676;416;338;272;528;348;344
;meer stembiljetten dan toegelaten kiezers;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;3;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
