Verkiezing;;Gemeenteraad Albrandswaard 2022;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Albrandswaard;;;;;;;;;;;;;;;;;;;;
Nummer;;0613;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Scouting Albrandswaard;Cultureel centrum De Brinkhoeve;Gymzaal Poortugaal;FPC De Kijvelanden;Hooge Werf + Ghijseland mobiel stembureau;Sportvereniging Poortugaal;Huis van Albrandswaard;Sporthal Metro Rhoon;Maranathakerk Rhoon;Gymzaal Rhoon;Sporthal Portland A;Sporthal Portland B;Cultureel centrum De Brinkhoeve MAANDAG;Cultureel centrum De Brinkhoeve DINSDAG;Maranathakerk Rhoon MAANDAG;Maranathakerk Rhoon DINSDAG;Sporthal Portland MAANDAG;Sporthal Portland DINSDAG
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
Postcode;;;;;3176 PT;3171 GG;3171 AD;3172 AB;3171 BJ;3172 XC;3161 KP;3161 KP;3161 HG;3161 TS;3162 WB;3162 WB;3171 GG;3171 GG;3161 HG;3161 HG;3162 WB;3162 WB
;opgeroepenen;;;20246;2013;1959;2245;196;180;1185;1500;1389;1474;2627;2560;2918;0;0;0;0;0;0
;geldige stempas;;;8906;664;654;891;18;56;317;540;432;893;762;690;638;294;471;389;568;269;360
;geldig volmachtbewijs;;;1090;102;69;121;0;1;37;60;52;107;117;104;113;31;44;25;43;21;43
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;9996;766;723;1012;18;57;354;600;484;1000;879;794;751;325;515;414;611;290;403
;geldige stembiljetten;;;9922;759;721;1009;18;56;351;592;479;987;870;790;747;324;510;413;604;289;403
;blanco stembiljetten;;;51;7;0;2;0;0;3;3;5;10;6;1;4;1;4;0;4;1;0
;ongeldige stembiljetten;;;19;0;1;1;0;1;0;5;0;3;2;3;0;0;0;1;2;0;0
;aangetroffen stembiljetten;;;9992;766;722;1012;18;57;354;600;484;1000;878;794;751;325;514;414;610;290;403
;meer stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;4;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0
;kiezers met stembiljet hebben niet gestemd;;;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;VVD;;;2030;212;110;182;4;6;47;79;110;202;184;193;194;66;91;93;125;54;78
;;1;Verduyn, R.;863;81;41;75;0;5;22;27;42;82;101;84;87;21;36;39;51;29;40
;;2;van Klaveren, A.;419;29;19;39;1;1;9;20;20;41;25;64;52;9;13;21;24;10;22
;;3;Goedknegt, M.C.C.;176;40;21;33;0;0;5;11;7;9;12;3;1;11;14;3;5;0;1
;;4;Bianchi, M.;58;0;1;6;0;0;0;7;8;3;1;4;14;2;2;4;2;2;2
;;5;van der Klooster, E.;27;0;2;0;0;0;0;1;0;1;1;7;4;0;1;2;2;2;4
;;6;Weijers, R.;35;3;0;0;1;0;0;1;0;0;0;10;8;0;3;2;0;5;2
;;7;Polder, E.J.;87;31;4;5;0;0;2;3;5;11;1;1;3;6;5;2;5;2;1
;;8;'t Gilde, J.H.B.;91;2;2;3;0;0;3;3;9;25;12;1;2;3;2;7;15;1;1
;;9;van der Weijde, R.A.;45;0;3;2;1;0;1;1;3;4;2;9;10;0;2;0;5;1;1
;;10;van Hamburg, A.;41;3;2;0;0;0;0;0;6;8;3;1;1;0;1;7;7;1;1
;;11;Ligthart, E.;54;12;7;11;1;0;2;0;1;3;7;0;3;3;2;0;1;0;1
;;12;Beckers, A.W.;19;0;0;2;0;0;0;1;1;2;5;1;2;2;0;2;1;0;0
;;13;Heezen, J.H.M.;35;6;4;2;0;0;1;2;3;3;3;0;1;1;6;3;0;0;0
;;14;Kingma-Vos, A.M.;20;0;2;0;0;0;0;0;2;1;8;0;2;1;1;1;2;0;0
;;15;Latenstein van Voorst-Woldringh, A.;60;5;2;4;0;0;2;2;3;9;3;8;4;7;3;0;5;1;2
2;Echt voor Albrandswaard (EVA);;;2482;200;169;224;3;4;62;175;129;255;212;258;206;57;95;93;147;72;121
;;1;Vergouwe, M.;1403;104;81;105;0;2;34;117;68;146;133;167;119;26;38;63;91;44;65
;;2;Polder, R.;251;27;36;61;1;1;22;5;8;12;10;11;5;10;26;3;4;1;8
;;3;Blok, M.;239;14;13;6;0;0;1;7;13;12;15;54;32;3;5;3;7;21;33
;;4;Kooijman-Castelijns, S.;185;24;11;7;0;0;1;20;9;25;19;14;22;8;2;3;13;2;5
;;5;Vianen, S.W.;26;0;1;0;0;0;0;2;1;4;3;1;3;2;0;0;4;2;3
;;6;Hondebrink, R.;38;2;3;7;0;0;1;2;1;2;2;3;4;4;4;1;0;0;2
;;7;Driece, R.A.;12;2;0;2;0;0;1;0;2;0;2;1;0;0;1;0;1;0;0
;;8;van der Kemp, F.J.;116;14;11;22;2;1;2;9;8;20;2;2;2;2;6;2;10;0;1
;;9;van der Knaap, T.W.;67;6;4;2;0;0;0;6;8;6;6;3;6;1;7;5;4;1;2
;;10;Driece, S.A.;45;5;1;6;0;0;0;3;2;5;7;2;9;0;0;4;1;0;0
;;11;Binder, T.A.;100;2;8;6;0;0;0;4;9;23;13;0;4;1;6;9;12;1;2
3;Stem-Lokaal;;;1452;94;107;150;0;17;54;127;61;120;145;83;98;32;94;43;102;64;61
;;1;Heezen, L.M.;507;38;55;66;0;7;25;39;17;31;47;23;21;18;38;16;37;15;14
;;2;Verduijn, W.;210;13;8;12;0;2;5;10;13;22;16;23;22;4;4;7;8;18;23
;;3;van der Stam, F.B.;83;5;1;5;0;0;1;3;1;2;8;10;12;0;8;0;3;15;9
;;4;van Zaalen, F.P.;70;0;3;8;0;0;0;4;3;7;4;8;18;0;1;2;1;3;8
;;5;Padmos, L.A.;37;1;0;6;0;1;0;1;0;3;9;5;4;0;2;1;3;1;0
;;6;Niehot, A.C.;37;3;1;0;0;2;0;19;2;5;1;0;0;0;0;2;2;0;0
;;7;Drenth, S.;53;4;14;6;0;0;4;2;4;3;5;0;0;0;2;2;5;1;1
;;8;Janssen, R.J.;14;0;3;4;0;0;0;1;1;0;0;0;1;0;3;0;1;0;0
;;9;Weterings, C.;66;17;3;14;0;1;1;3;0;6;1;2;4;6;7;0;0;1;0
;;10;Giezen, H.G.E.;13;0;0;0;0;3;1;2;1;1;0;0;0;0;2;0;3;0;0
;;11;de Zanger, J.;25;0;1;0;0;0;0;2;3;10;2;0;0;1;1;3;2;0;0
;;12;Verduijn, T.R.C.;29;2;1;0;0;0;2;6;1;1;0;2;4;0;3;1;1;5;0
;;13;de Zanger, R.;24;0;0;3;0;0;0;1;2;4;5;1;1;0;1;3;3;0;0
;;14;de Raadt, E.G.;24;2;5;1;0;0;0;3;0;1;5;1;0;0;1;2;3;0;0
;;15;Blok, J.;6;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;1;0;2
;;16;Ketting, J.C.;8;0;0;2;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0
;;17;Heezen, L.;47;1;2;4;0;1;4;6;2;4;6;1;1;0;5;1;7;0;2
;;18;van der Burg, O.;18;2;0;1;0;0;0;4;0;1;3;0;1;0;4;0;1;1;0
;;19;Boer- van den Heuvel, C.;13;0;3;5;0;0;2;0;0;0;2;0;0;0;0;0;1;0;0
;;20;Verduijn, O.R.;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;21;Heezen, H.P.L.;31;2;1;4;0;0;1;1;2;4;8;1;1;0;2;0;4;0;0
;;22;de Raadt, S.P.M.;2;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;23;Ederzeel, R.J.;23;1;0;2;0;0;0;3;4;3;3;0;1;1;2;1;2;0;0
;;24;Vlasblom-Giele, W.J.;10;0;1;0;0;0;4;1;0;0;0;0;0;0;3;1;0;0;0
;;25;Heezen, S.J.;9;0;0;2;0;0;1;0;1;0;0;0;1;1;0;0;3;0;0
;;26;de Haas, J.;9;0;0;0;0;0;0;0;0;1;5;0;0;0;1;0;2;0;0
;;27;de Raadt-Luscuere, J.J.A.;4;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0
;;28;Mallens, W.A.;33;1;3;2;0;0;2;1;0;3;7;3;2;0;4;0;2;3;0
;;29;van Ginkel, M.A.J.;29;2;0;1;0;0;1;10;3;2;3;0;1;0;0;0;5;0;1
;;30;van de Grind, M.;16;0;1;0;0;0;0;0;0;5;3;0;3;1;0;1;1;0;1
4;GROENLINKS / Partij van de Arbeid (P.v.d.A.);;;1359;87;102;152;5;10;79;75;61;134;127;94;76;54;96;55;63;41;48
;;1;Scharink, J.W.H.;575;40;51;76;1;5;37;32;22;43;48;39;32;22;49;25;21;14;18
;;2;Heukels, H.M.;28;0;0;4;0;0;0;0;0;9;11;0;0;1;0;0;3;0;0
;;3;Bovens, A.M.A.;339;25;16;23;1;0;17;15;13;43;43;29;20;13;12;16;23;15;15
;;4;Körnmann Rudi, C.L.P.;17;0;1;1;0;0;0;2;3;1;2;1;1;0;0;3;1;1;0
;;5;van den Berg, J.J.;42;1;2;6;2;2;3;2;5;4;2;1;0;0;1;5;2;1;3
;;6;Kalis, M.F.G.;17;0;0;1;0;0;1;4;0;3;1;3;0;0;0;3;1;0;0
;;7;de Neef, M.;109;7;3;10;1;0;3;6;5;16;13;9;15;3;0;0;6;4;8
;;8;Rooimans, P.B.;164;13;24;28;0;3;16;9;10;9;4;1;0;12;29;1;3;2;0
;;9;Duurkoop, H.J.;13;0;1;0;0;0;0;2;1;5;0;0;0;1;3;0;0;0;0
;;10;Brussaard, G.A.D.;17;0;1;2;0;0;0;3;2;0;1;2;1;0;2;1;2;0;0
;;11;van der Graaff, H.J.;38;1;3;1;0;0;2;0;0;1;2;9;7;2;0;1;1;4;4
5;Leefbaar Albrandswaard;;;684;52;81;119;2;7;25;31;44;54;47;35;41;34;37;23;22;13;17
;;1;Vuik, T.M.;292;25;32;59;1;3;10;11;13;28;17;17;9;12;16;13;5;8;13
;;2;van Opstal, E.E.;83;2;4;7;0;2;6;7;8;5;10;5;10;2;1;4;6;3;1
;;3;van IJzendoorn, I.M.;123;13;16;30;0;0;2;8;6;6;10;5;10;7;5;2;1;1;1
;;4;Roedolf, E.;42;1;4;5;0;2;3;1;5;4;3;0;0;7;2;0;2;1;2
;;5;Hoedemans, A.;12;0;0;4;0;0;1;0;0;0;0;0;4;1;1;0;1;0;0
;;6;Bot, L.;17;2;3;2;0;0;1;1;2;3;2;0;0;0;0;1;0;0;0
;;7;Roedolf, T.;12;0;1;4;0;0;1;1;3;1;0;0;0;0;1;0;0;0;0
;;8;Hoedemans-Bosch, J.C.;9;1;0;3;1;0;0;0;0;1;0;0;1;0;2;0;0;0;0
;;9;Heezen-van Hal, E.C.;31;0;3;0;0;0;0;1;0;4;2;7;7;2;0;0;5;0;0
;;10;Boender, B.P.;63;8;18;5;0;0;1;1;7;2;3;1;0;3;9;3;2;0;0
6;CDA;;;1272;63;100;129;3;11;42;76;36;161;98;73;91;58;55;85;111;26;54
;;1;van der Kaaij, S.;615;35;29;55;0;10;20;46;17;97;52;34;35;15;23;59;62;8;18
;;2;Goudriaan, L.H.;42;5;2;4;0;0;0;3;0;5;0;2;6;3;2;1;3;3;3
;;3;van Ginkel, M.P.C.;166;7;7;11;0;0;3;6;5;17;21;14;18;11;4;6;15;6;15
;;4;de Jongh, R.;52;2;3;13;1;0;3;4;3;1;5;0;0;3;7;4;3;0;0
;;5;Hek, S.E.M.;35;0;6;9;0;0;2;0;1;2;2;5;4;0;1;0;0;0;3
;;6;van de Ven, H.I.;10;0;0;1;0;0;0;0;0;3;1;0;1;0;0;3;0;0;1
;;7;Nootenboom, B.J.;25;2;0;0;0;0;0;2;0;0;0;4;12;0;0;0;0;1;4
;;8;Boekhoud, P.S.;32;3;9;3;0;0;2;0;5;1;1;2;0;0;3;2;0;0;1
;;9;Roest, D.H.J.;19;0;4;5;0;0;2;0;0;0;1;0;0;2;2;0;2;0;1
;;10;van der Kaaij, C.;27;5;1;0;2;0;0;3;1;4;3;0;0;0;2;4;2;0;0
