Verkiezing;;Gemeenteraad Barendrecht 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Barendrecht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0489;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Bethelkerk;trouwzaal De Watertoren;'t Trefpunt;Sportzaal De Kruidentuin (1);Sportzaal De Kruidentuin (2);Sporthal De Driesprong (1);Sporthal de Driesprong (2);basisschool Groen van Prinsterer;jongerencentrum BLOK 0180;Sporthal Aksent (1);Sporthal Aksent (2);Eben Haezerkerk (bibliotheek);Carnisse Haven (kerk);Sporthal Vrijenburgpoort;Pop-up stembureau bij gem. gemaal;Sportpark vv Smitshoek;Sporthal Riederpoort;Sporthal Waterpoort (1);Sporthal Waterpoort (2);Sporthal Waterpoort (3);Gemeentehuis MAANDAG;BLOK 0180 MAANDAG;Carnisse Haven (kerk) MAANDAG;Sportpark vv Smitshoek MAANDAG;Gemeentehuis DINSDAG;BLOK 0180 DINSDAG;Carnisse Haven (kerk) DINSDAG;Sportpark vv Smitshoek DINSDAG
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;101;110;114;117;201;210;214;217
Postcode;;;;;2991 AA;2992 SG;2992 BE;2991 GB;2991 RK;2991 RK;2991 BK;2991 BK;2992 DN;2992 ZB;2992 GK;2992 GK;2992 AM;2993 TA;2994 CC;;2993 BZ;2993 XE;2993 DL;2993 DL;2993 DL;2991 AA;2992 ZB;2993 TA;2993 BZ;2991 AA;2992 ZB;2993 TA;2993 BZ
;opgeroepenen;;;37963;1350;1619;1144;1299;1784;1619;1899;1562;2180;2549;1395;1897;1699;2012;1980;2058;2284;1136;2235;2025;2237;0;0;0;0;0;0;0;0
;geldige stempas;;;18984;1051;475;602;401;318;322;1025;1024;1036;918;758;625;1026;746;496;612;669;617;700;712;678;801;334;521;186;991;474;556;310
;geldig volmachtbewijs;;;2617;165;52;74;54;40;29;137;138;138;168;99;93;112;140;100;92;108;87;86;78;111;89;38;69;28;126;60;69;37
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;21601;1216;527;676;455;358;351;1162;1162;1174;1086;857;718;1138;886;596;704;777;704;786;790;789;890;372;590;214;1117;534;625;347
;geldige stembiljetten;;;21514;1212;526;673;452;357;349;1161;1159;1171;1081;856;717;1137;880;591;699;771;699;784;782;782;889;372;590;214;1109;533;621;347
;blanco stembiljetten;;;51;3;1;3;0;0;0;1;1;2;5;1;0;1;4;5;3;6;1;1;2;2;1;0;0;0;5;0;3;0
;ongeldige stembiljetten;;;31;1;0;0;3;1;2;0;1;1;0;0;0;0;2;0;2;0;2;0;6;5;0;0;0;0;3;1;1;0
