Verkiezing;;Gemeenteraad Gouda 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Gouda;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0513;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau de Agnietenkapel;Stembureau Gymzaal Herpstraat;Stembureau de Speelwinkel;Stembureau Sociëteit Concordia;Stembureau Gereformeerde gemeente Gouda;Stembureau Gereformeerde gemeente Gouda;Stembureau Gereformeerde gemeente Gouda;Stembureau Cultuurhuis Garenspinnerij;Stembureau de Westerkerk;Stembureau Gymzaal G. Leeustraat;Stembureau Ontmoetingscentrum De Walvis;Stembureau Gymzaal Columbuslaan;Stembureau Gymzaal Coniferensingel;Stembureau Huis van de Stad (R);Stembureau De Dick van Dijk Hal;Stembureau Huis van de Stad (L);Stembureau Huis van de Stad (R);Stembureau Huis van de Stad (R);Stembureau De Dick van Dijk Hal;Stembureau De Dick van Dijk Hal;Stembureau Sportcentrum de Mammoet (L);Stembureau Sportcentrum de Mammoet (R);Stembureau De Veste;Stembureau Vaste Burcht;Stembureau Gymzaal Brittenburg;Stembureau Sportcentrum de Mammoet (L);Stembureau Sportcentrum de Mammoet (L);Stembureau Buurthuis De Buhne;Stembureau Hervormd centrum De Brug;Stembureau Party- & Zalencentrum Le Patapouf;Stembureau Wijkvereniging Achterwillens;Stembureau Chocoladefabriek;Stembureau De Zuidrandflat;Stembureau Nelson Mandela Centrum;Stembureau Buurthuis De Kade;Stembureau Gymzaal J. den Haenstraat;Stembureau CVV de Jodan Boys;Stembureau De Molenkap;Stembureau De Oostpoort;Stembureau Sporthal de Zebra;Stembureau Gymzaal Middenmolenlaan;Stembureau Sporthal de Zebra;Stembureau Sporthal de Zebra;Stembureau Kindcentrum De Ontdekkingsreizigers
Gebiednummer;;;;;101;102;105;106;108;115;116;201;205;206;207;302;304;305;311;312;315;316;325;326;401;402;404;407;409;415;416;501;505;506;507;602;603;605;607;608;700;702;703;706;707;715;716;901
Postcode;;;;;2801 GR;2801 CR;2801 VM;2801 PJ;2801 SB;2801 SB;2801 SB;2802 BC;2802 LD;2802 RZ;2802 SB;2803 ET;2803 JH;2803 PG;2803 WH;2803 PG;2803 PG;2803 PG;2803 WH;2803 WH;2804 RT;2804 RT;2804 RS;2804 XG;2804 ZZ;2804 RT;2804 RT;2805 VC;2805 BP;2805 CG;2805 DZ;2806 CA;2806 DC;2806 JM;2806 PD;2806 DK;2806 HC;2807 EC;2807 KL;2807 DZ;2807 EC;2807 DZ;2807 DZ;2809 RB
;opgeroepenen;;;59154;684;1617;1830;1403;1691;0;0;2250;2017;1826;1469;1864;1736;1275;2100;1431;0;0;0;0;1992;2116;1915;1987;1752;0;0;1880;1905;2217;1775;1388;1203;1881;1701;1794;1557;1749;1932;1861;1425;0;0;1931
;geldige stempas;;;27346;930;737;654;536;441;209;223;459;653;463;656;791;769;551;719;636;575;846;318;420;466;383;883;1152;1115;374;515;672;679;830;844;603;646;638;634;908;339;521;639;694;534;407;510;774
;geldig volmachtbewijs;;;3299;83;66;88;57;65;30;44;73;86;69;90;121;92;61;80;57;44;96;38;48;66;46;108;127;0;47;56;113;84;86;99;65;76;103;72;125;57;84;107;107;75;50;77;81
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;30645;1013;803;742;593;506;239;267;532;739;532;746;912;861;612;799;693;619;942;356;468;532;429;991;1279;1115;421;571;785;763;916;943;668;722;741;706;1033;396;605;746;801;609;457;587;855
;geldige stembiljetten;;;30465;1010;802;738;589;502;237;266;529;734;526;731;906;855;610;797;688;616;937;353;466;532;427;984;1270;1113;419;571;779;759;913;940;662;715;729;703;1027;394;600;738;796;608;456;586;852
;blanco stembiljetten;;;98;2;1;3;2;1;2;1;1;1;2;8;2;2;2;3;2;0;3;4;0;0;2;5;4;1;1;0;3;3;1;3;2;4;2;1;5;1;5;5;5;1;0;0;2
;ongeldige stembiljetten;;;85;3;0;1;2;3;0;0;2;3;4;7;4;4;0;0;3;3;2;0;1;0;0;2;5;1;1;1;3;1;2;0;4;4;9;2;1;1;0;3;0;0;1;1;1
