Verkiezing;;Gemeenteraad Hardinxveld-Giessendam 2022;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;
Gebied;;Gemeente Hardinxveld-Giessendam;;;;;;;;;;;;;;;;
Nummer;;0523;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Trouwzaal  Gemeentehuis;De Ducdalf, Scheldestraat 1;Kerkgebouw Gereformeerde Gemeente;Dependance Willem de Zwijger College, Bellefleur 6;De Gereformeerde Kerk, Stationsstraat;Restaurant Kampanje;Stichting Christen-Gemeente;Kerk Hers.Herv.Gem., Nassaustraat;De Lange Wei;Gereformeerde Kerk, ingang. W. Droststraat;Trouwzaal Gemeentehuis 14 maart;Gereformeerde Kerk, ingang. W. Droststraat 14 maart;Trouwzaal Gemeentehuis 15 maart;Gereformeerde Kerk, ingang. W. Droststraat 15 maart
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14
Postcode;;;;;3371 AS;3371 SV;3371 BN;3371 NA;3371 PN;3371 VJ;3371 CX;3372 EE;3372 XV;3372 XH;;;;
;opgeroepenen;;;14126;1413;1409;1413;1413;1413;1413;1413;1413;1413;1413;0;0;0;0
;geldige stempas;;;7646;1118;622;762;482;925;300;276;392;438;557;540;193;767;274
;geldig volmachtbewijs;;;1201;178;74;138;84;149;51;62;73;49;107;61;30;103;42
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;8847;1296;696;900;566;1074;351;338;465;487;664;601;223;870;316
;geldige stembiljetten;;;8809;1285;695;898;562;1074;349;333;464;486;660;601;223;866;313
;blanco stembiljetten;;;22;6;0;1;2;1;2;4;0;1;0;0;0;2;3
;ongeldige stembiljetten;;;17;5;1;1;2;0;0;1;1;0;4;0;0;2;0
;aangetroffen stembiljetten;;;8848;1296;696;900;566;1075;351;338;465;487;664;601;223;870;316
;meer stembiljetten dan toegelaten kiezers;;;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;T@B;;;2376;336;184;166;190;219;100;85;142;176;224;149;70;217;118
;;1;Baggerman, G.K.C.;1099;170;86;73;83;110;49;32;68;85;84;87;26;95;51
;;2;Fijnekam, D.;181;18;8;17;15;10;6;9;18;18;21;7;5;20;9
;;3;van Tilborg, H.;115;16;22;2;2;14;3;7;1;8;3;14;6;12;5
;;4;Hoogstraten, P.;17;2;1;0;0;1;1;1;0;0;7;0;2;1;1
;;5;de Rooij, A.;176;11;7;21;18;11;7;8;12;9;35;2;3;15;17
;;6;van den Bosch, A.A.J.;56;8;3;8;11;1;0;1;3;2;4;3;1;10;1
;;7;de Hon, J.S.;199;34;20;9;17;19;15;7;5;8;13;18;2;23;9
;;8;Both van de Walle, E.N.;49;10;0;4;3;9;0;2;2;4;5;2;1;6;1
;;9;Slagboom, A.M.;126;14;18;10;17;13;8;4;8;6;6;5;4;11;2
;;10;van Helden, H.;14;1;0;0;0;0;0;0;1;5;4;2;0;0;1
;;11;Dubbeldam, W.E.;19;0;0;1;2;0;0;1;0;8;1;0;4;0;2
;;12;de Blok, W.J.;8;0;0;3;2;3;0;0;0;0;0;0;0;0;0
;;13;Nederveen, K.;49;14;5;3;7;5;1;2;2;0;2;2;0;6;0
;;14;van Wijngaarden, J.C.;18;2;0;4;1;2;2;0;5;0;0;0;0;1;1
;;15;van Baaren, A.C.J.;9;1;0;0;0;1;0;0;2;0;0;2;0;2;1
;;16;van den Boogaard, P.;12;0;1;0;0;0;1;1;0;2;3;0;0;3;1
;;17;Donk-Versluis, J.M.C.;25;10;0;0;2;1;0;5;0;4;0;0;1;2;0
;;18;van Tilborg, A.;32;7;6;1;3;3;5;3;1;0;0;1;0;2;0
;;19;van Wingerden, J.C.;11;3;0;0;0;2;0;0;0;2;2;0;0;1;1
;;20;Ritmeester, P.L.A.;3;1;0;0;0;1;0;0;0;0;1;0;0;0;0
;;21;Pouw, E.;7;1;0;0;0;0;0;0;2;0;0;1;0;1;2
;;22;Wieringa, B.E.J.;6;0;0;1;2;1;1;1;0;0;0;0;0;0;0
;;23;van Houwelingen, M.E.;20;3;2;1;0;4;0;1;0;2;3;0;0;1;3
;;24;Hoedelmans, A.J.;2;0;0;1;0;0;0;0;0;0;0;0;1;0;0
;;25;van Houwelingen, R.;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Verschoor, P.;20;1;0;1;1;2;0;0;2;5;4;0;2;1;1
;;27;van Houwelingen, R.A.;101;8;4;6;4;6;1;0;10;8;26;3;12;4;9
2;Staatkundig Gereformeerde Partij (SGP);;;2359;332;175;368;144;292;73;77;176;89;182;129;43;233;46
;;1;Meerkerk, J.A.;1540;197;132;249;106;200;38;44;99;60;109;99;30;146;31
;;2;van den Bosch, N.H.;101;13;10;24;2;11;0;6;6;4;10;7;0;8;0
;;3;Schouten, K.J.;175;42;8;16;9;37;12;11;3;2;1;9;1;24;0
;;4;van den Berg, A.A.;34;7;1;1;0;1;4;1;2;4;2;3;0;7;1
;;5;Lock, C.G.;137;23;5;39;6;11;12;6;5;7;6;1;0;14;2
;;6;van Bennekom, D.W.H.;102;6;1;7;0;3;4;0;39;0;17;5;6;10;4
;;7;de Jong, J.M.;21;2;1;4;0;1;0;1;3;0;4;0;0;4;1
;;8;de Jong, W.M.;60;9;3;6;0;17;1;1;5;2;11;1;0;4;0
;;9;Voorwinden, J.W.;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;van Meerendonk, T.M.;7;1;0;1;1;0;2;0;0;0;1;0;0;1;0
;;11;Theunisse, J.A.;16;0;0;1;3;0;0;0;4;3;1;0;1;0;3
;;12;Egas, J.;14;5;6;3;0;0;0;0;0;0;0;0;0;0;0
;;13;Blom, P.D.;4;2;0;0;1;0;0;0;0;0;0;0;0;1;0
;;14;Ritmeester, J.P.;30;1;0;1;0;1;0;1;4;3;13;0;3;1;2
;;15;van Wingerden, J.;25;3;1;2;5;1;0;2;1;0;2;2;0;4;2
;;16;Huisman, W.;5;1;0;0;0;1;0;3;0;0;0;0;0;0;0
;;17;de Koeijer, F.D.;27;4;3;6;2;1;0;0;1;3;1;0;0;6;0
;;18;Hartog, K.;9;1;2;5;0;0;0;0;0;0;0;0;1;0;0
;;19;Vlot, J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Vlot, J.;7;3;0;1;0;1;0;0;0;0;1;0;0;1;0
;;21;Spek, C.;5;0;0;1;0;0;0;0;0;0;2;2;0;0;0
;;22;Noordzij, J.;7;1;0;1;3;0;0;0;2;0;0;0;0;0;0
;;23;de Vos, J.;3;1;0;0;1;1;0;0;0;0;0;0;0;0;0
;;24;Boerman, T.;24;4;2;0;5;5;0;1;2;1;1;0;1;2;0
3;ChristenUnie;;;1985;270;144;250;105;316;79;101;62;96;112;142;41;191;76
;;1;Pors, L.W.;822;118;52;91;27;135;47;38;26;41;42;59;23;83;40
;;2;IJzerman, W.;339;50;27;54;17;61;13;8;7;7;11;25;5;45;9
;;3;Ouwerkerk-Breedveld, A.;191;16;9;16;14;18;4;7;14;24;30;11;5;9;14
;;4;van Dijk, H.J.;103;7;5;15;4;39;0;14;1;1;4;3;1;8;1
;;5;Jansen-Baks, J.;60;14;2;5;6;4;4;1;2;4;2;4;0;6;6
;;6;Nederveen, J.;122;19;17;18;11;9;4;6;2;2;12;10;3;6;3
;;7;de Roover, P.;31;5;2;5;5;0;1;4;0;0;0;2;1;4;2
;;8;de Rover, P.A.C.;27;4;7;2;0;3;0;2;2;0;0;5;1;1;0
;;9;Letterie, P.;15;1;2;0;0;4;0;1;1;0;0;4;0;2;0
;;10;de Ruiter-Boon, T.J.P.;34;1;2;8;4;4;0;4;0;1;1;5;0;4;0
;;11;Versteeg, E.J.;4;0;0;1;0;1;0;0;0;0;0;0;0;2;0
;;12;Hoogeveen-Stigter, A.T.;12;2;0;0;0;8;0;1;0;0;0;0;0;1;0
;;13;Bode, B.;24;2;2;2;2;3;1;5;0;2;0;0;0;4;1
;;14;van Vliet, C.;38;9;1;7;3;1;3;2;0;4;2;3;0;3;0
;;15;Bangura-de Ruijter, M.G.J.;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;16;van Schoonhoven, J.;36;6;6;6;2;6;0;1;1;0;3;1;0;4;0
;;17;Pille, C.I.;21;4;0;3;2;4;0;0;1;1;2;0;1;3;0
;;18;Cluistra, G.P.;6;1;1;0;0;1;1;0;0;0;0;2;0;0;0
;;19;aan de Wiel, P.T.;10;0;4;0;0;0;0;0;1;0;0;4;1;0;0
;;20;Nederveen, G.J.;5;1;0;1;0;1;0;2;0;0;0;0;0;0;0
;;21;IJzerman-den Uil, J.W.;7;2;1;1;0;3;0;0;0;0;0;0;0;0;0
;;22;Bok, J.;11;2;2;0;0;1;1;1;0;3;0;0;0;1;0
;;23;Vermeij, A.;13;2;0;3;0;1;0;0;0;2;1;2;0;2;0
;;24;van Veen, H.;6;0;2;0;0;1;0;0;0;2;0;1;0;0;0
;;25;Stronks-Muilwijk, D.;23;1;0;6;2;4;0;1;2;1;2;1;0;3;0
;;26;Kamsteeg, J.A.;11;1;0;3;3;2;0;1;0;1;0;0;0;0;0
