Verkiezing;;Gemeenteraad Hendrik-Ido-Ambacht 2022;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Hendrik-Ido-Ambacht;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0531;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Emmastaete;SOL Admiraal (obs De Bron);St. Hervormde Jeugdfederatie;Wielstaete;Gereformeerde Kerk Open Hof;OBS De Bron;OBS De Bron/De Meander;Sporthal De Ridderhal;Postduivenhoudersvereniging De Luchtbode;Wijkgemeente De Ark;Flatgebouw De Zalmhaven;Zorgorganisatie De Blije Borgh;Sporthal De Sophiahal A;Sophiastaete;Yulius - De Volgerlanden;Sporthal De Sophiahal B;De Voorn;WC de Schoof;Louwersplein;Gemeentehuis;Yulius - De Volgerlanden;Gemeentehuis;Yulius - De Volgerlanden
Gebiednummer;;;;;1;2;3;4;6;7;8;9;10;12;13;14;15;16;17;18;19;20;22;23;301;318;401;418
Postcode;;;;;3342 AE;3341 XD;3342 TA;3341 TS;3341 SP;3342 BS;3343 CB;3343 CB;3341 BE;3343 LG;3344 RP;3344 HD;3341 GD;3344 PL;3344 PK;3344 DD;3344 PL;3344 JA;3341 CE;;3342 AE;3344 DD;3342 AE;3344 DD
;opgeroepenen;;;23816;1310;1236;1411;797;1115;1477;1402;879;1297;827;1015;1099;969;950;1182;923;949;979;1190;1069;618;256;591;275
;geldige stempas;;;12023;627;613;649;335;565;761;533;319;331;543;434;293;403;737;335;446;629;325;351;816;581;258;807;332
;geldig volmachtbewijs;;;1574;96;87;105;38;95;0;76;28;59;77;45;30;56;123;44;60;91;43;49;117;75;31;91;58
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;13597;723;700;754;373;660;761;609;347;390;620;479;323;459;860;379;506;720;368;400;933;656;289;898;390
;geldige stembiljetten;;;13555;723;698;753;371;660;760;607;347;389;616;477;319;458;856;376;504;717;368;400;927;656;289;896;388
;blanco stembiljetten;;;21;0;1;0;2;0;1;2;0;0;1;1;3;1;2;1;0;2;0;0;1;0;0;1;2
;ongeldige stembiljetten;;;20;1;0;1;0;0;0;1;0;1;3;1;1;0;2;2;2;1;0;0;4;0;0;0;0
;aangetroffen stembiljetten;;;13596;724;699;754;373;660;761;610;347;390;620;479;323;459;860;379;506;720;368;400;932;656;289;897;390
;meer stembiljetten dan toegelaten kiezers;;;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
