Verkiezing;;Gemeenteraad Hoeksche Waard 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Hoeksche Waard;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1963;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;De Drie Lelies;Sporthal Kees Verkerk;'t Huys te Hoecke;'t Weegje;Evangelische Kerk Ezra;V.V. 's-Gravendeel;Ons Gebouw;De Erve;De Tienvoet;Gymzaal Westmaas;Dorpshart;TC De Binnenmaas;Ontmoetingscentrum;Sportzaal Duyvesteyn;Gemeentehuis Maasdam;Het Numans-Dorps-huis;De Hoeksteen Numansdorp;De Ark Numansdorp;De Voorhof;Tuindorp;NLS gebouw;De Bongerd;MFA De Wurf;De Ark Zuid-Beijerland;De Eendrachtshoeve;Rehoboth;De Swaensvoet;De Hoeksteen Nieuw-Beijerland;Gemeentehuis Oud-Beijerland;Maranatha;Rembrandt;Korbatjo;De Boogerd;De Gravin;CBS De Hoeksteen;De Open Waard;Wijkgebouw;Paviljoen De Oude Tol;De Zuidwester;Bethelkerk;Salvatori;Verenigingsgebouw Mookhoek;Verenigingsgebouw Strijensas;Dorpshuis Streona;De Hoge Weide;14-3 Ons Gebouw;14-3 Dorpshart;14-3 Gemeentehuis Maasdam;14-3 De Voorhof;14-3 MFA De Wurf;14-3 Gemeentehuis Oud-Beijerland;14-3 De Gravin;14-3 Dorpshuis Streona;15-3 Ons Gebouw;15-3 Dorpshart;15-3 Gemeentehuis Maasdam;15-3 De Voorhof;15-3 MFA De Wurf;15-3 Gemeentehuis Oud-Beijerland;15-3 De Gravin;15-3 Dorpshuis Streona;14-3 NLS gebouw;14-3 De Eendrachtshoeve;14-3 De Swaensvoet;15-3 NLS gebouw;15-3 De Eendrachtshoeve;15-3 De Swaensvoet;14-3 Verkiezingsbus Oost;14-3 Verkiezingsbus West;15-3 Verkiezingsbus Oost;15-3 Verkiezingsbus West;Verkiezingsbus Oost;Verkiezingsbus West;Drive-through Noord;Drive-through Zuid
Gebiednummer;;;;;1;2;3;4;5;7;9;11;12;13;14;15;16;17;18;22;23;24;25;26;27;28;31;32;33;34;35;36;41;42;43;45;46;47;48;49;50;51;52;53;61;62;63;65;67;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;98;99;100;101;102;103;104;105;106;107;108;109;110;111
Postcode;;;;;3297 AM;3297 TB;3297 SE;3295 CT;3295 AD;3295 KK;3295 BN;3274 AK;3274 BN;3273 AL;3271 SH;3271 AH;3299 AP;3299 BS;3299 XG;3281 LK;3281 JH;3281 AW;3281 XP;3281 CV;3286 VT;3286 VR;3265 BT;3284 KJ;3284 XR;3267 AK;3264 AL;3264 AJ;3262 GM;3262 PG;3262 HW;3263 RK;3261 BG;3261 AZ;3263 BP;3262 DA;3261 EJ;3263 RA;3261 SJ;3261 WB;3291 AT;3293 AJ;3292 AB;3291 TP;3291 DA;3295 BN;3271 SH;3299 XG;3281 XP;3265 BT;3262 GM;3261 AZ;3291 TP;3295 BN;3271 SH;3299 XG;3281 XP;3265 BT;3262 GM;3261 AZ;3291 TP;3286 VT;3284 XR;3264 AL;3286 VT;3284 XR;3264 AL;3262 GM;3262 GM;3262 GM;3262 GM;3262 GM;3262 GM;3274 KE;3281 KV
;opgeroepenen;;;71579;1744;1575;1433;1343;1743;1835;1860;1544;1394;1784;1749;1800;1370;1226;1552;1540;1506;1470;1730;1539;1613;1629;1490;1460;1584;1545;1836;1313;1443;1739;1666;1679;1708;1593;1431;1689;1815;1273;1849;1887;1943;1039;716;1984;1918;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geldige stempas;;;33860;875;632;538;921;376;506;634;530;640;875;708;430;609;344;432;621;589;424;624;534;704;393;443;538;588;637;671;604;720;814;837;367;719;455;577;904;743;583;598;899;692;291;223;805;576;273;225;211;278;107;353;242;281;332;362;271;371;150;544;328;400;179;114;127;275;241;253;60;100;63;82;118;77;109;111
;geldig volmachtbewijs;;;4644;131;80;69;111;40;74;116;69;92;120;127;65;71;44;61;91;79;61;90;59;121;54;66;82;73;120;133;125;106;131;2;48;98;84;76;0;96;78;83;140;112;38;36;116;93;31;26;30;17;10;49;26;36;37;28;35;44;17;96;42;52;37;13;30;58;27;40;7;19;7;6;24;7;15;17
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;38504;1006;712;607;1032;416;580;750;599;732;995;835;495;680;388;493;712;668;485;714;593;825;447;509;620;661;757;804;729;826;945;839;415;817;539;653;904;839;661;681;1039;804;329;259;921;669;304;251;241;295;117;402;268;317;369;390;306;415;167;640;370;452;216;127;157;333;268;293;67;119;70;88;142;84;124;128
;geldige stembiljetten;;;38327;1003;707;605;1027;414;575;745;598;732;995;832;493;678;388;491;708;664;482;708;594;820;443;506;616;658;756;803;728;821;940;834;410;813;536;652;900;837;661;676;1034;798;329;258;911;666;301;251;240;294;115;401;268;317;365;388;304;410;166;637;369;452;216;126;156;332;268;290;67;118;69;88;142;80;124;128
;blanco stembiljetten;;;102;0;3;1;5;2;3;4;1;0;0;1;1;2;0;2;3;2;2;5;1;4;2;3;3;2;1;0;1;2;0;2;3;2;2;1;2;1;1;4;5;2;0;1;3;1;0;0;0;1;2;1;0;0;1;1;0;3;1;2;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0
;ongeldige stembiljetten;;;67;3;2;1;0;0;2;1;0;0;0;2;1;0;0;0;1;1;1;1;0;1;2;0;1;1;0;1;0;4;5;3;2;2;1;0;2;1;0;1;0;2;0;0;4;2;2;0;0;0;0;0;0;0;1;1;0;2;0;3;0;0;0;1;0;0;0;2;0;1;0;0;0;3;0;0
